ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
000050,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
000070,KOSPI,1021,금융,화학,1,1008,SECTOR_CONFLICT,True
000140,KOSPI,1021,금융,음료,1,1005,SECTOR_CONFLICT,True
000150,KOSPI,1013,전기전자,복합기업,1,1021,SECTOR_CONFLICT,True
000180,KOSPI,1026,일반서비스,종이와목재,1,1007,SECTOR_CONFLICT,True
000240,KOSPI,1021,금융,자동차부품,1,1015,SECTOR_CONFLICT,True
000320,KOSPI,1021,금융,건축자재,1,1010,SECTOR_CONFLICT,True
000390,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
000480,KOSPI,1010,비금속,비철금속,1,1011,SECTOR_CONFLICT,True
000590,KOSPI,1021,금융,철강,1,1011,SECTOR_CONFLICT,True
000640,KOSPI,1021,금융,제약,1,1009,SECTOR_CONFLICT,True
000650,KOSPI,1019,운송·창고,도로와철도운송,1,1026,SECTOR_CONFLICT,True
000670,KOSPI,1011,금속,핸드셋,1,1013,SECTOR_CONFLICT,True
000680,KOSPI,1016,유통,증권,1,1024,SECTOR_CONFLICT,True
000700,KOSPI,1026,일반서비스,항공화물운송과물류,1,1019,SECTOR_CONFLICT,True
000760,KOSPI,1016,유통,화학,1,1008,SECTOR_CONFLICT,True
000860,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
000880,KOSPI,1008,화학,복합기업,1,1021,SECTOR_CONFLICT,True
001230,KOSPI,1021,금융,철강,1,1011,SECTOR_CONFLICT,True
001390,KOSPI,1008,화학,자동차,1,1015,SECTOR_CONFLICT,True
001530,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
001560,KOSPI,1010,비금속,비철금속,1,1011,SECTOR_CONFLICT,True
001740,KOSPI,1016,유통,복합기업,1,1021,SECTOR_CONFLICT,True
001800,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
002030,KOSPI,1026,일반서비스,건축자재,1,1010,SECTOR_CONFLICT,True
002150,KOSPI,1026,일반서비스,건설,1,1018,SECTOR_CONFLICT,True
002230,KOSDAQ,2074,의료·정밀기기,전기제품,1,2072,SECTOR_CONFLICT,True
002350,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
002380,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
002620,KOSPI,1026,일반서비스,제약,1,1009,SECTOR_CONFLICT,True
002700,KOSPI,1016,유통,가정용기기와용품,1,1026,SECTOR_CONFLICT,True
002760,KOSPI,1008,화학,식품,1,1005,SECTOR_CONFLICT,True
002810,KOSPI,1016,유통,화학,1,1008,SECTOR_CONFLICT,True
002820,KOSPI,1008,화학,종이와목재,1,1007,SECTOR_CONFLICT,True
002870,KOSPI,1016,유통,포장재,1,1007,SECTOR_CONFLICT,True
003010,KOSPI,1016,유통,기계,1,1012,SECTOR_CONFLICT,True
003030,KOSPI,1021,금융,철강,1,1011,SECTOR_CONFLICT,True
003100,KOSDAQ,2029,운송·창고,운송인프라,1,2072,SECTOR_CONFLICT,True
003160,KOSPI,1014,의료·정밀기기,반도체와반도체장비,1,1013,SECTOR_CONFLICT,True
003380,KOSDAQ,2031,금융,식품,1,2056,SECTOR_CONFLICT,True
003670,KOSPI,1013,전기전자,화학,1,1008,SECTOR_CONFLICT,True
004060,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
004080,KOSPI,1016,유통,건강관리장비와용품,1,1014,SECTOR_CONFLICT,True
004090,KOSPI,1010,비금속,화학,1,1008,SECTOR_CONFLICT,True
004250,KOSPI,1008,화학,포장재,1,1007,SECTOR_CONFLICT,True
004270,KOSPI,1016,유통,전자장비와기기,1,1013,SECTOR_CONFLICT,True
004450,KOSPI,1011,금속,포장재,1,1007,SECTOR_CONFLICT,True
004490,KOSPI,1013,전기전자,자동차부품,1,1015,SECTOR_CONFLICT,True
004780,KOSDAQ,2068,금속,포장재,1,2062,SECTOR_CONFLICT,True
004830,KOSPI,1008,화학,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
004910,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
005250,KOSPI,1026,일반서비스,제약,1,1009,SECTOR_CONFLICT,True
005290,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
005320,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
005430,KOSPI,1019,운송·창고,운송인프라,1,1021,SECTOR_CONFLICT,True
005690,KOSPI,1013,전기전자,화학,1,1008,SECTOR_CONFLICT,True
005720,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
005740,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
005750,KOSPI,1010,비금속,건축제품,1,1011,SECTOR_CONFLICT,True
005810,KOSPI,1021,금융,비철금속,1,1011,SECTOR_CONFLICT,True
005820,KOSPI,1006,섬유·의류,포장재,1,1007,SECTOR_CONFLICT,True
005870,KOSPI,1013,전기전자,우주항공과국방,1,1015,SECTOR_CONFLICT,True
006040,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
006050,KOSDAQ,2067,비금속,건축제품,1,2065,SECTOR_CONFLICT,True
006060,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
006200,KOSPI,1021,금융,반도체와반도체장비,1,1013,SECTOR_CONFLICT,True
006260,KOSPI,1021,금융,전기장비,1,1013,SECTOR_CONFLICT,True
006840,KOSPI,1021,금융,화학,1,1008,SECTOR_CONFLICT,True
006910,KOSDAQ,2068,금속,전기장비,1,2072,SECTOR_CONFLICT,True
007110,KOSPI,1016,유통,건축자재,1,1010,SECTOR_CONFLICT,True
007340,KOSPI,1013,전기전자,자동차부품,1,1015,SECTOR_CONFLICT,True
007530,KOSDAQ,2068,금속,자동차부품,1,2075,SECTOR_CONFLICT,True
007540,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
007700,KOSPI,1021,금융,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
007860,KOSPI,1021,금융,자동차부품,1,1015,SECTOR_CONFLICT,True
008060,KOSPI,1021,금융,전자장비와기기,1,1013,SECTOR_CONFLICT,True
