ticker,authority_stage,production_stage,status
000050,transition,transition,MATCH
000370,transition,transition,MATCH
000700,transition,transition,MATCH
000850,transition,transition,MATCH
001210,transition,transition,MATCH
001260,transition,transition,MATCH
001450,early_trend,early_trend,MATCH
001540,early_trend,early_trend,MATCH
001800,transition,transition,MATCH
001940,transition,transition,MATCH
002170,transition,transition,MATCH
002460,transition,transition,MATCH
003100,transition,transition,MATCH
003120,transition,transition,MATCH
003300,transition,transition,MATCH
003480,transition,transition,MATCH
003490,transition,transition,MATCH
003650,early_trend,early_trend,MATCH
003800,transition,transition,MATCH
003830,transition,transition,MATCH
004000,transition,transition,MATCH
004150,transition,transition,MATCH
004590,transition,transition,MATCH
004690,transition,transition,MATCH
004700,transition,transition,MATCH
005430,early_trend,early_trend,MATCH
005670,transition,transition,MATCH
005720,transition,transition,MATCH
005750,transition,transition,MATCH
005810,transition,transition,MATCH
005990,transition,transition,MATCH
006040,transition,transition,MATCH
006280,transition,transition,MATCH
007070,transition,transition,MATCH
007160,transition,transition,MATCH
007330,transition,transition,MATCH
007390,transition,transition,MATCH
007700,transition,transition,MATCH
008370,transition,transition,MATCH
008830,transition,transition,MATCH
008930,transition,transition,MATCH
009160,transition,transition,MATCH
009190,transition,transition,MATCH
009450,transition,transition,MATCH
009680,transition,transition,MATCH
009770,transition,transition,MATCH
010400,transition,transition,MATCH
011200,transition,transition,MATCH
011230,transition,transition,MATCH
011760,transition,transition,MATCH
012750,transition,transition,MATCH
013030,transition,transition,MATCH
013700,transition,transition,MATCH
014440,transition,transition,MATCH
015230,transition,transition,MATCH
017650,transition,transition,MATCH
017890,transition,transition,MATCH
017940,transition,transition,MATCH
018120,transition,transition,MATCH
018670,transition,transition,MATCH
020760,transition,transition,MATCH
021240,transition,transition,MATCH
021320,transition,transition,MATCH
025000,transition,transition,MATCH
025540,transition,transition,MATCH
025890,transition,transition,MATCH
026910,transition,transition,MATCH
026960,transition,transition,MATCH
027410,transition,transition,MATCH
028100,transition,transition,MATCH
029530,transition,transition,MATCH
029780,transition,transition,MATCH
030000,transition,transition,MATCH
030190,transition,transition,MATCH
030200,transition,transition,MATCH
030210,transition,transition,MATCH
031510,transition,transition,MATCH
033560,early_trend,early_trend,MATCH
033920,transition,transition,MATCH
034310,transition,transition,MATCH
034590,transition,transition,MATCH
034950,transition,transition,MATCH
035420,transition,transition,MATCH
035510,transition,transition,MATCH
035610,transition,transition,MATCH
036000,transition,transition,MATCH
036190,transition,transition,MATCH
036570,transition,transition,MATCH
037710,transition,transition,MATCH
038390,transition,transition,MATCH
039420,transition,transition,MATCH
042420,transition,transition,MATCH
043360,transition,transition,MATCH
044450,transition,transition,MATCH
045340,transition,transition,MATCH
049180,transition,transition,MATCH
049960,transition,transition,MATCH
050120,transition,transition,MATCH
051390,transition,transition,MATCH
051500,transition,transition,MATCH
051600,transition,transition,MATCH
052330,transition,transition,MATCH
053060,transition,transition,MATCH
053260,transition,transition,MATCH
053350,transition,transition,MATCH
060980,transition,transition,MATCH
064960,transition,transition,MATCH
065690,transition,transition,MATCH
066620,transition,transition,MATCH
067290,transition,transition,MATCH
068270,transition,transition,MATCH
068930,transition,transition,MATCH
069510,transition,transition,MATCH
071200,early_trend,early_trend,MATCH
072130,transition,transition,MATCH
072870,transition,transition,MATCH
073240,transition,transition,MATCH
073560,transition,transition,MATCH
079160,transition,transition,MATCH
079960,transition,transition,MATCH
080010,transition,transition,MATCH
081660,transition,transition,MATCH
082640,transition,transition,MATCH
086060,early_trend,early_trend,MATCH
086450,transition,transition,MATCH
086820,transition,transition,MATCH
088790,transition,transition,MATCH
089860,early_trend,early_trend,MATCH
091590,transition,transition,MATCH
091970,transition,transition,MATCH
092130,transition,transition,MATCH
092790,transition,transition,MATCH
094840,early_trend,early_trend,MATCH
096530,transition,transition,MATCH
096760,transition,transition,MATCH
096770,transition,transition,MATCH
100220,transition,transition,MATCH
101680,transition,transition,MATCH
112290,transition,transition,MATCH
114450,transition,transition,MATCH
121440,early_trend,early_trend,MATCH
122350,transition,transition,MATCH
123330,transition,transition,MATCH
130580,transition,transition,MATCH
134060,transition,transition,MATCH
139480,transition,transition,MATCH
140860,transition,transition,MATCH
141000,transition,transition,MATCH
145020,transition,transition,MATCH
161890,early_trend,early_trend,MATCH
180640,transition,transition,MATCH
189330,transition,transition,MATCH
192080,transition,transition,MATCH
192400,transition,transition,MATCH
192440,transition,transition,MATCH
196170,transition,transition,MATCH
204620,transition,transition,MATCH
207940,transition,transition,MATCH
226400,transition,transition,MATCH
227840,transition,transition,MATCH
241710,transition,transition,MATCH
251970,transition,transition,MATCH
264660,transition,transition,MATCH
267290,transition,transition,MATCH
268280,transition,transition,MATCH
271560,transition,transition,MATCH
282330,transition,transition,MATCH
286750,transition,transition,MATCH
300720,transition,transition,MATCH
317400,early_trend,early_trend,MATCH
332370,transition,transition,MATCH
339950,transition,transition,MATCH
373220,transition,transition,MATCH
377450,transition,transition,MATCH
377740,transition,transition,MATCH
383220,transition,transition,MATCH
383800,transition,transition,MATCH
453340,transition,transition,MATCH
900070,transition,transition,MATCH
950190,transition,transition,MATCH
