ticker,all_sector_rs_rank_3m,all_sector_rs_rank_6m,all_sector_rs_rank_12m,all_sector_rs_percentile_3m,all_sector_rs_percentile_6m,all_sector_rs_percentile_12m
000020,1725.0,1126.0,1190.0,24.219780219780223,52.00511945392492,48.79414298018949
000040,1871.0,2100.0,2230.0,17.802197802197803,10.45221843003413,4.0051679586563305
000050,784.0,1694.0,1212.0,65.58241758241759,27.773037542662117,47.84668389319552
000070,1097.0,1597.0,1625.0,51.824175824175825,31.91126279863481,30.06029285099053
000080,1172.0,1401.0,1270.0,48.527472527472526,40.27303754266212,45.34883720930232
000100,1532.0,1351.0,1424.0,32.7032967032967,42.406143344709896,38.716623600344526
000120,1619.0,1824.0,1020.0,28.87912087912088,22.226962457337883,56.11541774332473
000140,1201.0,1817.0,1990.0,47.25274725274725,22.525597269624573,14.34108527131783
000150,1731.0,1344.0,1805.0,23.956043956043956,42.70477815699659,22.3083548664944
000180,1137.0,1757.0,1582.0,50.06593406593407,25.085324232081913,31.912144702842376
000210,1422.0,648.0,822.0,37.53846153846154,72.39761092150171,64.64254952627046
000220,1500.0,1066.0,1046.0,34.10989010989011,54.56484641638225,54.995693367786394
000230,2016.0,2020.0,1256.0,11.428571428571429,13.86518771331058,45.951765719207586
000240,689.0,1641.0,1598.0,69.75824175824175,30.034129692832767,31.223083548664945
000250,2183.0,2146.0,526.0,4.087912087912088,8.48976109215017,77.39018087855297
000270,970.0,1034.0,581.0,57.40659340659341,55.93003412969283,75.02153316106805
000300,,,,,,
000320,1644.0,2087.0,2040.0,27.780219780219777,11.006825938566552,12.187769164513352
000370,1076.0,1558.0,1529.0,52.74725274725275,33.575085324232084,34.194659776055126
000390,1673.0,1538.0,1006.0,26.505494505494504,34.42832764505119,56.71834625322998
000400,1254.0,1409.0,1538.0,44.92307692307692,39.93174061433447,33.807062876830315
000430,372.0,727.0,979.0,83.6923076923077,69.02730375426621,57.88113695090439
000440,1793.0,1507.0,1182.0,21.23076923076923,35.750853242320815,49.1386735572782
000480,606.0,508.0,460.0,73.4065934065934,78.3703071672355,80.23255813953489
000490,630.0,1731.0,1657.0,72.35164835164835,26.194539249146757,28.68217054263566
000500,1712.0,58.0,347.0,24.791208791208792,97.56825938566551,85.09905254091301
000520,1983.0,1919.0,1579.0,12.879120879120878,18.1740614334471,32.041343669250644
000540,1813.0,1961.0,2031.0,20.35164835164835,16.38225255972696,12.57536606373816
000590,1411.0,1953.0,2028.0,38.02197802197802,16.723549488054605,12.704565030146425
000640,1080.0,1831.0,1953.0,52.57142857142857,21.92832764505119,15.934539190353144
000650,2202.0,2161.0,20.0,3.2527472527472527,7.849829351535837,99.1817398794143
000660,1348.0,680.0,170.0,40.7912087912088,71.03242320819113,92.72179155900086
000670,1935.0,1837.0,1090.0,14.989010989010987,21.672354948805463,53.100775193798455
000680,1310.0,1617.0,1908.0,42.46153846153846,31.058020477815703,17.872523686477173
000700,426.0,761.0,629.0,81.31868131868131,67.57679180887372,72.95434969853575
000720,1418.0,1565.0,689.0,37.714285714285715,33.27645051194539,70.37037037037037
000760,1225.0,1899.0,1567.0,46.1978021978022,19.02730375426621,32.55813953488372
000810,684.0,1428.0,1150.0,69.97802197802197,39.12116040955632,50.51679586563308
000850,156.0,1391.0,1188.0,93.18681318681318,40.69965870307167,48.880275624461675
000860,1567.0,1868.0,1113.0,31.164835164835164,20.349829351535835,52.1102497846684
000880,,,,,,
000890,,1892.0,1659.0,,19.3259385665529,28.59603789836348
000910,1875.0,1577.0,1162.0,17.626373626373628,32.76450511945392,50.0
000950,384.0,1153.0,627.0,83.16483516483515,50.85324232081911,73.04048234280792
000970,354.0,826.0,1116.0,84.48351648351648,64.8037542662116,51.98105081826012
000990,2169.0,2132.0,1716.0,4.7032967032967035,9.08703071672355,26.14125753660637
001000,,,,,,
001020,,1555.0,1460.0,,33.70307167235495,37.166236003445306
001040,2123.0,2182.0,1879.0,6.725274725274725,6.953924914675767,19.12144702842377
001060,1600.0,1152.0,384.0,29.714285714285715,50.89590443686007,83.5055986218777
001070,869.0,833.0,656.0,61.846153846153854,64.50511945392492,71.79155900086133
001080,1105.0,1308.0,203.0,51.472527472527474,44.24061433447099,91.30060292850992
001120,1218.0,1509.0,1121.0,46.505494505494504,35.665529010238906,51.76571920757967
001130,,1666.0,1200.0,,28.96757679180887,48.36347975882859
001200,753.0,458.0,892.0,66.94505494505495,80.50341296928327,61.627906976744185
001210,41.0,1579.0,2234.0,98.24175824175823,32.67918088737201,3.832902670111973
001230,,1188.0,1665.0,,49.36006825938566,28.33763996554694
001250,1774.0,873.0,1486.0,22.065934065934066,62.79863481228669,36.04651162790697
001260,574.0,1990.0,1986.0,74.81318681318682,15.14505119453925,14.513350559862188
001270,479.0,1207.0,1371.0,78.98901098901099,48.54948805460751,40.99913867355728
001290,287.0,172.0,688.0,87.42857142857143,92.7047781569966,70.41343669250647
