ticker,market,effective_date,sector_code,sector_name,resolution_status,policy_version,source_authority,source_artifact_sha256
001000,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
014470,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
053050,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
054050,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
060900,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
066670,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
154030,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900070,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900100,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900110,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900120,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900250,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900260,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900270,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900290,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
900300,KOSDAQ,2026-08-14,,,UNMAPPED,MOST_SPECIFIC_NATIVE_SECTOR_V01,KRX_FROZEN_CANONICAL_SECTOR_MEMBERSHIP,263b6793e0cbf094748a5c87749e0db69e5b2dc91715a68ece73ab198ba5746b
