effective_date,ticker,market,sector_codes,sector_names
2025-08-14,000020,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,000040,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,000080,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,000100,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,000210,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,000220,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,000230,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,000250,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,000270,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,000300,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,000370,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,000390,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,000400,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,000430,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,000480,['KOSPI'],"['1010', '1027']","['비금속', '제조']"
2025-08-14,000490,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,000500,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,000520,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,000540,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,000660,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,000670,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,000810,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,000850,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,000860,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,000880,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,000890,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,000910,['KOSPI'],"['1010', '1027']","['비금속', '제조']"
2025-08-14,000950,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,000970,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,000990,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,001020,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,001060,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,001070,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,001080,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,001130,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
