official_idx_name,source_api,official_idx_class,classification,has_close
KRX 300 금융,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 산업재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 소재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 자유소비재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 정보기술,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 커뮤니케이션서비스,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 필수소비재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 300 헬스케어,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 건설,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 경기소비재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 기계장비,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 반도체,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 방송통신,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 보험,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 에너지화학,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 운송,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 유틸리티,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 은행,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 자동차,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 정보기술,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 증권,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 철강,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 필수소비재,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
KRX 헬스케어,krx_dd_trd,KRX,SECTOR_INDUSTRY,True
