date,market,ticker,name,raw_classification,adjusted_classification,krx_close,pykrx_raw_close,pykrx_adjusted_close,krx_volume,pykrx_raw_volume,pykrx_adjusted_volume,krx_trading_value,pykrx_raw_trading_value
2026-08-19,KOSPI,005930,삼성전자,EXACT_MATCH,EXACT_MATCH,247500,247500,247500,22788552,22788552,22788552,5682871706750,5682871706750
2026-08-20,KOSPI,005930,삼성전자,EXACT_MATCH,EXACT_MATCH,271000,271000,271000,26095919,26095919,26095919,6961393123500,6961393123500
2026-08-21,KOSPI,005930,삼성전자,EXACT_MATCH,EXACT_MATCH,281500,281500,281500,27746471,27746471,27746471,7703213942500,7703213942500
2026-08-19,KOSPI,000660,SK하이닉스,EXACT_MATCH,EXACT_MATCH,1500000,1500000,1500000,4223067,4223067,4223067,6408342771947,6408342771947
2026-08-20,KOSPI,000660,SK하이닉스,EXACT_MATCH,EXACT_MATCH,1691000,1691000,1691000,5452970,5452970,5452970,9109803915522,9109803915522
2026-08-21,KOSPI,000660,SK하이닉스,EXACT_MATCH,EXACT_MATCH,1730000,1730000,1730000,4274294,4274294,4274294,7430733958500,7430733958500
2026-08-19,KOSPI,035420,NAVER,EXACT_MATCH,EXACT_MATCH,208000,208000,208000,733375,733375,733375,151385300750,151385300750
2026-08-20,KOSPI,035420,NAVER,EXACT_MATCH,EXACT_MATCH,219500,219500,219500,961900,961900,961900,210505687250,210505687250
2026-08-21,KOSPI,035420,NAVER,EXACT_MATCH,EXACT_MATCH,222000,222000,222000,987136,987136,987136,217448570500,217448570500
2026-08-19,KOSPI,068270,셀트리온,EXACT_MATCH,EXACT_MATCH,194100,194100,194100,375772,375772,375772,72892370000,72892370000
2026-08-20,KOSPI,068270,셀트리온,EXACT_MATCH,EXACT_MATCH,194100,194100,194100,484272,484272,484272,95444351350,95444351350
2026-08-21,KOSPI,068270,셀트리온,EXACT_MATCH,EXACT_MATCH,192300,192300,192300,354956,354956,354956,67600091850,67600091850
2026-08-19,KOSPI,005380,현대차,EXACT_MATCH,EXACT_MATCH,414000,414000,414000,552901,552901,552901,228185152500,228185152500
2026-08-20,KOSPI,005380,현대차,EXACT_MATCH,EXACT_MATCH,417500,417500,417500,421243,421243,421243,176085186250,176085186250
2026-08-21,KOSPI,005380,현대차,EXACT_MATCH,EXACT_MATCH,415000,415000,415000,373056,373056,373056,154434939250,154434939250
2026-08-19,KOSDAQ,237690,에스티팜,EXACT_MATCH,EXACT_MATCH,99300,99300,99300,63936,63936,63936,6327580400,6327580400
2026-08-20,KOSDAQ,237690,에스티팜,EXACT_MATCH,EXACT_MATCH,110900,110900,110900,1411054,1411054,1411054,156810328850,156810328850
2026-08-21,KOSDAQ,237690,에스티팜,EXACT_MATCH,EXACT_MATCH,99700,99700,99700,419835,419835,419835,42444937950,42444937950
2026-08-19,KOSDAQ,028300,HLB,EXACT_MATCH,EXACT_MATCH,42100,42100,42100,652583,652583,652583,27407241000,27407241000
2026-08-20,KOSDAQ,028300,HLB,EXACT_MATCH,EXACT_MATCH,39900,39900,39900,1695039,1695039,1695039,68011947475,68011947475
2026-08-21,KOSDAQ,028300,HLB,EXACT_MATCH,EXACT_MATCH,38650,38650,38650,573253,573253,573253,22046429525,22046429525
2026-08-19,KOSDAQ,293490,카카오게임즈,EXACT_MATCH,EXACT_MATCH,8850,8850,8850,387260,387260,387260,3341246640,3341246640
2026-08-20,KOSDAQ,293490,카카오게임즈,EXACT_MATCH,EXACT_MATCH,8970,8970,8970,338925,338925,338925,2976064540,2976064540
2026-08-21,KOSDAQ,293490,카카오게임즈,EXACT_MATCH,EXACT_MATCH,8510,8510,8510,410284,410284,410284,3656289940,3656289940
