date,kospi_close,trading_value,v_kospi200_close
2010-01-04,1696.14,4358418151472.0,20.94
2010-01-05,1690.62,6821590785836.0,20.6
2010-01-06,1705.32,6386635236224.0,19.89
2010-01-07,1683.45,7493146674354.0,19.81
2010-01-08,1695.26,6960330612180.0,19.45
2010-01-11,1694.12,6933092763543.0,19.22
2010-01-12,1698.64,5323399481570.0,18.83
2010-01-13,1671.41,5277928437518.0,19.77
2010-01-14,1685.77,6215717255182.0,19.57
2010-01-15,1701.8,6477859278344.0,18.19
2010-01-18,1711.78,6328654130416.0,18.53
2010-01-19,1710.22,5690158062506.0,18.27
2010-01-20,1714.38,7283258937342.0,18.06
2010-01-21,1722.01,5796623496523.0,18.13
2010-01-22,1684.35,6689880118370.0,20.92
2010-01-25,1670.2,5832932658493.0,21.98
2010-01-26,1637.34,6109983682465.0,23.3
2010-01-27,1625.48,5757833837311.0,24.11
2010-01-28,1642.43,5466706426794.0,22.35
2010-01-29,1602.43,5724933218943.0,23.29
2010-02-01,1606.44,5105694335794.0,23.13
2010-02-02,1595.81,5002556626360.0,22.15
2010-02-03,1615.02,4453095560998.0,20.51
2010-02-04,1616.42,4090517377782.0,20.82
2010-02-05,1567.12,4935752385810.0,22.71
2010-02-08,1552.79,4176708723044.0,22.92
2010-02-09,1570.49,4304480778958.0,23.71
2010-02-10,1570.12,4181024744732.0,22.97
2010-02-11,1597.81,4399197406147.0,22.68
2010-02-12,1593.66,4237603856070.0,21.74
2010-02-16,1601.05,2729828749675.0,21.11
2010-02-17,1627.43,4102924844145.0,19.58
2010-02-18,1621.19,3279849193416.0,19.63
2010-02-19,1593.9,3773189132831.0,20.8
2010-02-22,1627.1,3450451620031.0,20.15
2010-02-23,1628.9,3517249459121.0,19.69
2010-02-24,1612.83,3887565935050.0,20.01
2010-02-25,1587.51,4001652066004.0,21.06
2010-02-26,1594.58,3197100724637.0,20.59
2010-03-02,1615.12,4190813099340.0,19.54
2010-03-03,1622.44,3290127512422.0,19.24
2010-03-04,1618.2,3305752748197.0,19.64
2010-03-05,1634.57,3451049433367.0,18.76
2010-03-08,1660.04,4862667635268.0,18.75
2010-03-09,1660.83,4556317524542.0,19.04
2010-03-10,1662.24,3942967867993.0,19.21
2010-03-11,1656.62,4791917697021.0,19.0
2010-03-12,1662.74,3772684285274.0,17.78
2010-03-15,1649.5,3421870999609.0,18.41
2010-03-16,1648.01,5002024886215.0,18.19
2010-03-17,1682.86,5769167400625.0,17.44
2010-03-18,1675.17,4793023881680.0,17.35
2010-03-19,1686.11,4275830641775.0,16.93
2010-03-22,1672.67,3831699461695.0,17.4
2010-03-23,1681.82,4767471035516.0,17.1
2010-03-24,1681.01,4530081241225.0,17.2
2010-03-25,1688.39,4551450872564.0,17.39
2010-03-26,1697.72,4162002604840.0,17.2
2010-03-29,1691.99,4202439038765.0,18.34
2010-03-30,1700.19,4813573013528.0,17.75
2010-03-31,1692.85,4841858103213.0,17.68
2010-04-01,1719.17,5995618053704.0,17.34
2010-04-02,1723.49,6343535653490.0,16.47
2010-04-05,1724.99,5660818004590.0,16.99
2010-04-06,1726.09,4865843389313.0,16.97
2010-04-07,1726.6,5651781337894.0,16.98
2010-04-08,1733.78,4739885124219.0,16.93
2010-04-09,1724.47,6125089221195.0,16.91
2010-04-12,1710.3,5908030449356.0,17.64
2010-04-13,1710.59,4444244059208.0,17.2
2010-04-14,1735.33,5798543328970.0,15.51
2010-04-15,1743.91,6929859864955.0,15.22
2010-04-16,1734.49,5090269827047.0,16.24
2010-04-19,1705.3,4386709650144.0,18.63
2010-04-20,1718.03,4987709610695.0,17.66
2010-04-21,1747.58,6072147188107.0,17.01
2010-04-22,1739.52,5816935466093.0,17.28
2010-04-23,1737.03,5530545383960.0,17.54
2010-04-26,1752.2,5247659534655.0,17.64
2010-04-27,1749.55,5536851411407.0,17.53
2010-04-28,1733.91,6535802055870.0,19.55
2010-04-29,1728.42,6556925689788.0,19.71
2010-04-30,1741.56,6699093138861.0,18.27
2010-05-03,1721.21,5507782132280.0,20.45
2010-05-04,1718.75,5362886514797.0,19.22
2010-05-06,1684.71,6358161504625.0,21.72
2010-05-07,1647.5,7455055658657.0,26.45
2010-05-10,1677.63,5558738319747.0,25.94
2010-05-11,1670.24,6500240078216.0,25.03
2010-05-12,1663.03,7300295215139.0,24.9
2010-05-13,1694.58,6022512009397.0,21.7
2010-05-14,1695.63,6904778577000.0,20.47
2010-05-17,1651.51,7130318241938.0,23.85
2010-05-18,1643.24,6816641271306.0,23.9
2010-05-19,1630.08,6755204526713.0,25.06
2010-05-20,1600.18,6557145055026.0,25.88
2010-05-24,1604.93,4793061868334.0,27.21
2010-05-25,1560.83,6841609199163.0,30.95
2010-05-26,1582.12,6574230388778.0,29.5
2010-05-27,1607.5,6207842227554.0,26.09
2010-05-28,1622.78,5960797460164.0,23.89
2010-05-31,1641.25,4419262530563.0,24.01
2010-06-01,1630.4,4894876435652.0,24.1
2010-06-03,1661.84,5175127858623.0,21.85
2010-06-04,1664.13,5132985538126.0,21.8
2010-06-07,1637.97,4868112365883.0,24.72
2010-06-08,1651.48,4993537984107.0,23.93
2010-06-09,1647.22,5471835835949.0,23.57
2010-06-10,1651.7,5406321292390.0,22.38
2010-06-11,1675.34,5382007574073.0,20.52
2010-06-14,1690.6,4722445169989.0,20.13
2010-06-15,1690.03,4701740511039.0,19.84
2010-06-16,1705.33,5504233056447.0,19.11
2010-06-17,1707.92,5588000524691.0,19.47
2010-06-18,1711.95,4547788423360.0,19.45
2010-06-21,1739.68,5980480453589.0,19.13
2010-06-22,1731.48,5296813119440.0,19.22
2010-06-23,1725.82,5001618703515.0,19.33
2010-06-24,1739.87,4439194305246.0,18.75
2010-06-25,1729.84,4691061671774.0,19.7
2010-06-28,1732.03,4031120509635.0,20.43
2010-06-29,1707.76,4954507073382.0,22.15
2010-06-30,1698.29,5394578002964.0,21.9
2010-07-01,1686.24,5827225925731.0,22.03
2010-07-02,1671.82,5543226949616.0,22.47
2010-07-05,1675.37,4173544924029.0,21.56
2010-07-06,1684.94,4884710848968.0,20.28
2010-07-07,1675.65,4616716987740.0,20.75
2010-07-08,1698.64,5108292706151.0,19.63
2010-07-09,1723.01,5576696230092.0,18.13
2010-07-12,1734.05,4671309131366.0,18.4
2010-07-13,1735.08,5666212890329.0,18.09
2010-07-14,1758.01,8072638996108.0,18.16
2010-07-15,1751.29,5568026712600.0,18.69
2010-07-16,1738.45,6029104097924.0,19.73
2010-07-19,1731.95,4548219225307.0,21.15
2010-07-20,1736.77,4871763363875.0,20.62
2010-07-21,1748.78,5846817355363.0,20.01
2010-07-22,1735.53,7167669583479.0,20.87
2010-07-23,1758.06,7029116974399.0,19.62
2010-07-26,1769.07,5160811292804.0,19.79
2010-07-27,1768.31,5841306579590.0,19.64
2010-07-28,1773.47,5260412301073.0,19.27
2010-07-29,1770.88,5437393714425.0,19.07
2010-07-30,1759.33,5338654481950.0,19.26
2010-08-02,1782.27,5817305885261.0,18.55
2010-08-03,1790.6,5608540957617.0,17.67
2010-08-04,1789.26,5778203224456.0,17.64
2010-08-05,1783.86,6246222825630.0,17.65
2010-08-06,1783.83,5688011404942.0,17.55
2010-08-09,1790.17,4131984668738.0,17.81
2010-08-10,1781.13,4963182592947.0,18.34
2010-08-11,1758.19,5456949826265.0,19.38
2010-08-12,1721.75,5412342467502.0,20.35
2010-08-13,1746.24,4469639577730.0,18.59
2010-08-16,1743.31,4183765365415.0,18.71
2010-08-17,1755.03,4543155147578.0,18.39
2010-08-18,1761.99,5019492667472.0,18.16
2010-08-19,1779.64,5246822455148.0,17.77
2010-08-20,1775.54,5123919754954.0,18.25
2010-08-23,1767.71,5310644404356.0,18.59
2010-08-24,1760.53,5149302348191.0,18.9
2010-08-25,1734.79,4769914387501.0,19.62
2010-08-26,1729.76,4634217942666.0,19.11
2010-08-27,1729.56,4085364696773.0,18.65
2010-08-30,1760.13,3953875506843.0,17.9
2010-08-31,1742.75,5071438159946.0,18.79
2010-09-01,1764.69,5853290142325.0,18.01
2010-09-02,1775.73,5675895038796.0,17.11
2010-09-03,1780.02,6049072141217.0,16.8
2010-09-06,1792.42,5452905377244.0,16.55
2010-09-07,1787.74,4825687631327.0,16.72
2010-09-08,1779.22,4994016840665.0,16.64
2010-09-09,1784.36,6081518267125.0,16.66
2010-09-10,1802.58,5579860525679.0,15.87
2010-09-13,1818.86,6855988120175.0,15.22
2010-09-14,1815.25,6868039805261.0,15.65
2010-09-15,1823.88,6651301647694.0,15.49
2010-09-16,1811.85,5959445566806.0,15.9
2010-09-17,1827.35,6824819627895.0,15.32
2010-09-20,1832.63,4214759578871.0,16.27
2010-09-24,1846.6,5669103761240.0,16.47
2010-09-27,1860.83,7001056312074.0,16.56
2010-09-28,1855.97,6434849651541.0,16.55
2010-09-29,1866.45,7329385880294.0,16.67
2010-09-30,1872.81,6284104811647.0,16.77
2010-10-01,1876.73,6897215805616.0,16.35
2010-10-04,1879.29,7240509138265.0,16.53
2010-10-05,1878.94,6415934040300.0,16.45
2010-10-06,1903.95,7689565688875.0,16.2
2010-10-07,1900.85,7611572431217.0,16.27
2010-10-08,1897.07,7112531238251.0,16.21
2010-10-11,1889.91,6177271844110.0,16.7
2010-10-12,1868.04,5921578753583.0,16.82
2010-10-13,1876.15,6027323410084.0,16.5
2010-10-14,1899.76,7568970179794.0,16.28
2010-10-15,1902.29,6374100809800.0,16.43
2010-10-18,1875.42,5666453352762.0,18.71
