일자,종가,대비,등락률,시가,고가,저가
"2011/12/29","26.40","0.05","0.19","26.77","27.12","25.96"
"2011/12/28","26.35","0.09","0.34","25.77","26.56","25.76"
"2011/12/27","26.26","1.08","4.29","25.24","27.73","25.02"
"2011/12/26","25.18","0.64","2.61","25.00","25.63","24.94"
"2011/12/23","24.54","0.58","-2.31","24.58","24.59","24.25"
"2011/12/22","25.12","0.25","1.01","24.84","25.12","24.57"
"2011/12/21","24.87","1.78","-6.68","25.30","25.40","24.83"
"2011/12/20","26.65","1.33","-4.75","27.45","28.10","26.25"
"2011/12/19","27.98","2.56","10.07","26.09","30.61","25.95"
"2011/12/16","25.42","1.84","-6.75","26.53","26.67","25.20"
"2011/12/15","27.26","0.14","-0.51","27.48","28.41","27.23"
"2011/12/14","27.40","0.63","-2.25","27.51","27.76","27.16"
"2011/12/13","28.03","0.40","-1.41","28.55","28.60","27.82"
"2011/12/12","28.43","2.64","-8.50","29.73","30.26","28.43"
"2011/12/09","31.07","1.58","5.36","30.58","31.53","30.15"
"2011/12/08","29.49","0.22","0.75","29.37","30.14","28.71"
"2011/12/07","29.27","0.63","2.20","28.50","29.31","28.23"
"2011/12/06","28.64","1.00","3.62","27.19","29.16","27.14"
"2011/12/05","27.64","0.97","3.64","26.50","27.64","26.49"
"2011/12/02","26.67","0.46","-1.70","26.53","27.13","26.42"
"2011/12/01","27.13","1.91","-6.58","27.27","27.46","26.64"
"2011/11/30","29.04","0.61","2.15","28.68","29.32","28.41"
"2011/11/29","28.43","1.82","-6.02","29.41","29.99","28.32"
"2011/11/28","30.25","2.38","-7.29","30.71","32.14","30.22"
"2011/11/25","32.63","1.03","-3.06","33.35","33.44","32.07"
"2011/11/24","33.66","1.21","-3.47","34.29","34.87","32.49"
"2011/11/23","34.87","0.49","-1.39","34.04","36.26","33.52"
"2011/11/22","35.36","0.81","-2.24","36.97","37.52","35.33"
"2011/11/21","36.17","0.01","0.03","37.99","38.38","36.17"
"2011/11/18","36.16","1.30","3.73","35.05","36.98","35.05"
"2011/11/17","34.86","0.57","-1.61","35.67","36.86","34.56"
"2011/11/16","35.43","3.09","9.55","32.46","35.77","31.93"
"2011/11/15","32.34","0.87","2.76","32.14","32.69","31.77"
