date,v_kospi200_close,change,change_pct,open,high,low,source_file
2010-01-04,20.94,0.59,2.9,21.6,21.77,20.88,v_kospi200_2010_2011_official.csv
2010-01-05,20.6,0.34,-1.62,21.15,21.17,20.44,v_kospi200_2010_2011_official.csv
2010-01-06,19.89,0.71,-3.45,20.17,20.17,19.74,v_kospi200_2010_2011_official.csv
2010-01-07,19.81,0.08,-0.4,19.85,19.88,19.34,v_kospi200_2010_2011_official.csv
2010-01-08,19.45,0.36,-1.82,19.58,19.99,19.24,v_kospi200_2010_2011_official.csv
2010-01-11,19.22,0.23,-1.18,20.05,20.14,19.02,v_kospi200_2010_2011_official.csv
2010-01-12,18.83,0.39,-2.03,19.02,19.23,18.7,v_kospi200_2010_2011_official.csv
2010-01-13,19.77,0.94,4.99,19.3,19.9,19.01,v_kospi200_2010_2011_official.csv
2010-01-14,19.57,0.2,-1.01,19.46,20.1,19.23,v_kospi200_2010_2011_official.csv
2010-01-15,18.19,1.38,-7.05,19.47,19.67,18.19,v_kospi200_2010_2011_official.csv
2010-01-18,18.53,0.34,1.87,19.35,19.43,18.52,v_kospi200_2010_2011_official.csv
2010-01-19,18.27,0.26,-1.4,18.52,18.67,18.11,v_kospi200_2010_2011_official.csv
2010-01-20,18.06,0.21,-1.15,18.12,18.6,17.93,v_kospi200_2010_2011_official.csv
2010-01-21,18.13,0.07,0.39,18.7,18.7,18.12,v_kospi200_2010_2011_official.csv
2010-01-22,20.92,2.79,15.39,19.29,23.0,19.28,v_kospi200_2010_2011_official.csv
2010-01-25,21.98,1.06,5.07,22.94,23.08,21.65,v_kospi200_2010_2011_official.csv
2010-01-26,23.3,1.32,6.01,21.98,23.75,21.6,v_kospi200_2010_2011_official.csv
2010-01-27,24.11,0.81,3.48,23.51,24.41,23.05,v_kospi200_2010_2011_official.csv
2010-01-28,22.35,1.76,-7.3,23.53,23.57,21.83,v_kospi200_2010_2011_official.csv
2010-01-29,23.29,0.94,4.21,23.44,23.69,22.67,v_kospi200_2010_2011_official.csv
2010-02-01,23.13,0.16,-0.69,23.62,24.04,22.88,v_kospi200_2010_2011_official.csv
2010-02-02,22.15,0.98,-4.24,22.26,22.79,21.54,v_kospi200_2010_2011_official.csv
2010-02-03,20.51,1.64,-7.4,21.18,21.54,20.51,v_kospi200_2010_2011_official.csv
2010-02-04,20.82,0.31,1.51,20.44,21.26,20.37,v_kospi200_2010_2011_official.csv
2010-02-05,22.71,1.89,9.08,23.32,23.76,22.56,v_kospi200_2010_2011_official.csv
2010-02-08,22.92,0.21,0.92,23.02,23.62,22.76,v_kospi200_2010_2011_official.csv
2010-02-09,23.71,0.79,3.45,22.76,23.71,22.46,v_kospi200_2010_2011_official.csv
2010-02-10,22.97,0.74,-3.12,22.92,23.17,22.38,v_kospi200_2010_2011_official.csv
2010-02-11,22.68,0.29,-1.26,22.3,22.68,21.58,v_kospi200_2010_2011_official.csv
2010-02-12,21.74,0.94,-4.14,21.74,22.68,21.36,v_kospi200_2010_2011_official.csv
2010-02-16,21.11,0.63,-2.9,21.85,22.0,21.11,v_kospi200_2010_2011_official.csv
2010-02-17,19.58,1.53,-7.25,20.24,20.27,19.44,v_kospi200_2010_2011_official.csv
2010-02-18,19.63,0.05,0.26,19.71,19.93,19.6,v_kospi200_2010_2011_official.csv
2010-02-19,20.8,1.17,5.96,20.01,21.63,19.96,v_kospi200_2010_2011_official.csv
2010-02-22,20.15,0.65,-3.13,19.77,20.25,19.72,v_kospi200_2010_2011_official.csv
2010-02-23,19.69,0.46,-2.28,20.14,20.16,19.69,v_kospi200_2010_2011_official.csv
