source_provider,source_product,source_screen_id,requested_date,effective_date,retrieved_at,source_file,sha256,row_count,raw_schema,normalization_version,normalized_file,normalized_sha256,retrieval_status
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2020-03-27,2020-03-27,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20200327.csv,7c68cc55b7359b3d9eac8d84deeb11e8ee8b52e72be0dea26ab0cde012e75c76,2479,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20200327.csv,f59737f015092e5019a873588c4e8051acf88623e9816c2fe8a045cccf33200c,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2020-06-26,2020-06-26,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20200626.csv,ad4b3b064c8c05bd84bca4c0dd9c9b22f5a2e7283c9e5ea061d670abb4da3a03,2475,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20200626.csv,c27fbe328047b580fd19a69289cdac09aeb9cdd14429e0dd6987dad8c45dbd0c,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2020-09-25,2020-09-25,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20200925.csv,a5fc7fcbc59ad6ae517a5f13f576db383ba1f4c8b33bcb8b6a9c8b1e6e284fce,2500,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20200925.csv,72b8d6df6e56a1229ea46a4dd67c0d2b8eb4dfed58b1cfac9e075eb226822e8b,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2020-12-25,2020-12-24,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20201224.csv,5a7eccadc61fbea1614485b9ab93605af2926bbf94aaab2470a6191c2aa0996a,2530,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20201224.csv,e486b6fa6acc2484a3dea044c7d3ac10dcd5a303fbbc54b61d937bcd5f67bd73,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2021-03-26,2021-03-26,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20210326.csv,788de5899c5d4fafa2a93cb8b901763fd5d2e5128c2db4a5084d4165f5704f43,2558,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20210326.csv,3ffc5477de5f0f11caab43f806ae4b429458b5a8457a654f231290fe815a4617,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2021-06-25,2021-06-25,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20210625.csv,1e9af5416efbc43706212f2710d2620376a01319b80d13a9d06d8d8a03d20200,2573,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20210625.csv,43d1c81093b076bde143e63b2a96c0a670096bf9556d05fe461f1a107dc43753,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2021-09-24,2021-09-24,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20210924.csv,eae28c9fe5e953b76881b7c70535135dbb650f7c25d1424fb958f0afa32032ee,2581,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20210924.csv,4b52931a9bad5dbb820a4c2e255a9a262c7e55f7b737d08ab80a6d469a3a9658,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2021-12-31,2021-12-30,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20211230.csv,772fd9158cfb6132962ee613eee508e824c049c45c436732160c8abfe36f71db,2610,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20211230.csv,7e575aba6fbf04fba9d25ade9ec27a3d91c99200996cd85edda813b6832da4b6,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2022-03-25,2022-03-25,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20220325.csv,8ecf574040ab33d9ec608959a984afbfd1e41a1855ccbd3f13dabcd10e867394,2623,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20220325.csv,36c0ba48acac2c9e56f2b4d24c08473b16c8c38daea0edb7aa0731c803ea071c,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2022-06-24,2022-06-24,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20220624.csv,57f03bf357567a11e9fe7488be50f69d641356a526ec5a9e8f691e942886ab93,2629,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20220624.csv,cf76fac2463072e58764831ac93b663ac135aff9cebee92eb96cbdc94a1aa4f1,SUCCESS
