reference_quarter,calendar_candidate_date,completed_weekly_reference_date,requested_date,effective_date,date_resolution_status,source_provider,source_product,row_count,source_file,sha256
2020 Q1,2020-03-27,2020-03-27,2020-03-27,2020-03-27,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2479,artifacts/investability/history/source/krx_market_cap_20200327.csv,7c68cc55b7359b3d9eac8d84deeb11e8ee8b52e72be0dea26ab0cde012e75c76
2020 Q2,2020-06-26,2020-06-26,2020-06-26,2020-06-26,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2475,artifacts/investability/history/source/krx_market_cap_20200626.csv,ad4b3b064c8c05bd84bca4c0dd9c9b22f5a2e7283c9e5ea061d670abb4da3a03
2020 Q3,2020-09-25,2020-09-25,2020-09-25,2020-09-25,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2500,artifacts/investability/history/source/krx_market_cap_20200925.csv,a5fc7fcbc59ad6ae517a5f13f576db383ba1f4c8b33bcb8b6a9c8b1e6e284fce
2020 Q4,2020-12-25,2020-12-18,2020-12-18,2020-12-18,PRIOR_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2524,artifacts/investability/history/source/krx_market_cap_20201218.csv,7644cb9d843426b47200bf1c762e0049762aa32fd924c214271bf7effbdef6e2
2021 Q1,2021-03-26,2021-03-26,2021-03-26,2021-03-26,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2558,artifacts/investability/history/source/krx_market_cap_20210326.csv,788de5899c5d4fafa2a93cb8b901763fd5d2e5128c2db4a5084d4165f5704f43
2021 Q2,2021-06-25,2021-06-25,2021-06-25,2021-06-25,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2573,artifacts/investability/history/source/krx_market_cap_20210625.csv,1e9af5416efbc43706212f2710d2620376a01319b80d13a9d06d8d8a03d20200
2021 Q3,2021-09-24,2021-09-24,2021-09-24,2021-09-24,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2581,artifacts/investability/history/source/krx_market_cap_20210924.csv,eae28c9fe5e953b76881b7c70535135dbb650f7c25d1424fb958f0afa32032ee
2021 Q4,2021-12-31,2021-12-24,2021-12-24,2021-12-24,PRIOR_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2610,artifacts/investability/history/source/krx_market_cap_20211224.csv,04caaf2442cb63f1b52aed78419720019f706216db92d49b9a00358500deb911
2022 Q1,2022-03-25,2022-03-25,2022-03-25,2022-03-25,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2623,artifacts/investability/history/source/krx_market_cap_20220325.csv,8ecf574040ab33d9ec608959a984afbfd1e41a1855ccbd3f13dabcd10e867394
2022 Q2,2022-06-24,2022-06-24,2022-06-24,2022-06-24,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2629,artifacts/investability/history/source/krx_market_cap_20220624.csv,57f03bf357567a11e9fe7488be50f69d641356a526ec5a9e8f691e942886ab93
2022 Q3,2022-09-30,2022-09-30,2022-09-30,2022-09-30,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2651,artifacts/investability/history/source/krx_market_cap_20220930.csv,56f8db25046286b84cb215ea8de6a08e6353dda7256633598df17649fd1ae635
2022 Q4,2022-12-30,2022-12-23,2022-12-23,2022-12-23,PRIOR_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2689,artifacts/investability/history/source/krx_market_cap_20221223.csv,fda6daf22570a76df51c0d6753774dc437aeffdde2d4dd2834121afb9593dae3
2023 Q1,2023-03-31,2023-03-31,2023-03-31,2023-03-31,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2712,artifacts/investability/history/source/krx_market_cap_20230331.csv,8a83a5d90f58327610cfa5c54a64b7722d26e0b5dd33cc1613953489adb36b05
2023 Q2,2023-06-30,2023-06-30,2023-06-30,2023-06-30,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2730,artifacts/investability/history/source/krx_market_cap_20230630.csv,5d72e4b9e3ba72f5eaeb190da0a01a44fa1824450fd78ef48e34ccd213e28504
2023 Q3,2023-09-22,2023-09-22,2023-09-22,2023-09-22,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2752,artifacts/investability/history/source/krx_market_cap_20230922.csv,94cf07875733ce91c965712da2977e00a85eebaeaf74f320809f9b5dc9e5dc37
2023 Q4,2023-12-29,2023-12-22,2023-12-22,2023-12-22,PRIOR_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2788,artifacts/investability/history/source/krx_market_cap_20231222.csv,72d5965dc97b809571488db2b03ee79a5ffd4c701bfb55cadac2d722e794bd31
2024 Q1,2024-03-29,2024-03-29,2024-03-29,2024-03-29,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2802,artifacts/investability/history/source/krx_market_cap_20240329.csv,e8c952d0ddc23221f8c389132a42f810dcb3b063c7ad018d036b854e506aabfe
2024 Q2,2024-06-28,2024-06-28,2024-06-28,2024-06-28,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2817,artifacts/investability/history/source/krx_market_cap_20240628.csv,a9568c837d83f097f8104345fea359ff3230b3cbe58babc116a78bf5d3990762
2024 Q3,2024-09-27,2024-09-27,2024-09-27,2024-09-27,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2834,artifacts/investability/history/source/krx_market_cap_20240927.csv,d3af764c0090af1ce642f0afaa8eb48f13197e1559ebef98adb438d4af9fa2c2
2024 Q4,2024-12-27,2024-12-27,2024-12-27,2024-12-27,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2866,artifacts/investability/history/source/krx_market_cap_20241227.csv,39359486da9f40e9a7eb0ca3a20a1ebdf7ae4123cce309751f99571f78cdb126
2025 Q1,2025-03-28,2025-03-28,2025-03-28,2025-03-28,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2879,artifacts/investability/history/source/krx_market_cap_20250328.csv,3475f30c8b46faf16edb969b358a842bc4b248249a3e469f6276dbfbc9028813
2025 Q2,2025-06-27,2025-06-27,2025-06-27,2025-06-27,EXACT_COMPLETED_WEEK,KRX,ALL_STOCK_MARKET_DATA,2875,artifacts/investability/history/source/krx_market_cap_20250627.csv,2ce977814ec85892eed7a4f3d4f8de7ad3ea6ee0119341c50595043eca4b2243
