ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
060310,3S,KOSDAQ,KOSDAQ,2590,511600,1342272225,132309222780,51084642,2024-06-28
095570,AJ네트웍스,KOSPI,KOSPI,4395,42962,188079375,198885875805,45252759,2024-06-28
006840,AK홀딩스,KOSPI,KOSPI,14410,1900,27342470,190897354010,13247561,2024-06-28
054620,APS,KOSDAQ,KOSDAQ,7720,130281,1011796380,153583386120,19894221,2024-06-28
265520,AP시스템,KOSDAQ,KOSDAQ,25750,133913,3469514550,393496590750,15281421,2024-06-28
211270,AP위성,KOSDAQ,KOSDAQ,14480,115086,1651298370,218391761920,15082304,2024-06-28
109960,AP헬스케어,KOSDAQ,KOSDAQ,655,84265,56029221,74770325695,114153169,2024-06-28
139050,BF랩스,KOSDAQ,KOSDAQ,2805,0,0,24247965555,8644551,2024-06-28
027410,BGF,KOSPI,KOSPI,3515,40332,140509060,336444520365,95716791,2024-06-28
282330,BGF리테일,KOSPI,KOSPI,103300,86796,8914484900,1785427489800,17283906,2024-06-28
126600,BGF에코머티리얼즈,KOSDAQ,KOSDAQ,4205,42335,177374500,227209921375,54033275,2024-06-28
138930,BNK금융지주,KOSPI,KOSPI,8470,736031,6197371120,2728089069860,322088438,2024-06-28
001460,BYC,KOSPI,KOSPI,35700,1090,38795450,222987555000,6246150,2024-06-28
001465,BYC우,KOSPI,KOSPI,16000,19426,307916370,34461600000,2153850,2024-06-28
013720,CBI,KOSDAQ,KOSDAQ,1217,164514,200682998,54312441512,44628136,2024-06-28
083790,CG인바이츠,KOSDAQ,KOSDAQ,2690,146441,397702775,206845349580,76894182,2024-06-28
001040,CJ,KOSPI,KOSPI,121500,83142,9998701800,3545005257000,29176998,2024-06-28
079160,CJ CGV,KOSPI,KOSPI,5620,225572,1264139920,930556216760,165579398,2024-06-28
035760,CJ ENM,KOSDAQ GLOBAL,KOSDAQ,84200,53647,4577525200,1846434766800,21929154,2024-06-28
311690,CJ 바이오사이언스,KOSDAQ,KOSDAQ,12520,3885,48506480,114088525040,9112502,2024-06-28
00104K,CJ4우(전환),KOSPI,KOSPI,86100,7266,617460400,363902683200,4226512,2024-06-28
000120,CJ대한통운,KOSPI,KOSPI,95100,65917,6279684100,2169453914400,22812344,2024-06-28
011150,CJ씨푸드,KOSPI,KOSPI,5060,6910188,36023878720,181809711380,35930773,2024-06-28
011155,CJ씨푸드1우,KOSPI,KOSPI,21400,821,17676800,4280000000,200000,2024-06-28
001045,CJ우,KOSPI,KOSPI,60100,1608,96289700,135839402300,2260223,2024-06-28
097950,CJ제일제당,KOSPI,KOSPI,385500,43021,16453635500,5803388703000,15054186,2024-06-28
