ticker,name,market,asset_type,as_of,official_stage,candidate_state,pattern_a_score,close,market_cap,market_cap_eok,shares_outstanding,avg_trading_value_20d,avg_trading_value_20d_eok,median_trading_value_20d,avg_trading_value_60d,avg_trading_value_60d_eok,median_trading_value_60d,trading_days_20d,trading_days_60d,data_ready,missing_reason,review_status,manual_pattern_fit,manual_stage_fit,manual_notes
001540,안국약품,KOSDAQ,COMMON,2026-08-14,early_trend,candidate,97.4527038834332,11830.0,154291828600.0,1542.92,13042420,1399721282.5,14.0,1034258157.5,2212024488.3333335,22.12,1183765722.5,20,60,True,,REVIEWED,GOOD_FIT,MATCH,"Good Pattern A structure. The stock is near the beginning of a larger trend rather than heavily progressed. Watch whether the 12,000 KRW area turns into support."
003100,선광,KOSDAQ,COMMON,2026-08-14,transition,candidate,71.37753729343403,21650.0,142890000000.0,1428.9,6600000,1029880177.0,10.3,367210215.0,680177327.4166666,6.8,375097690.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly long term decline not clearly finished. Base forming. Long MAs not rising yet. Current around 21,000 KRW versus resistance around 24,000 KRW. Weekly lows recently rising, although one May low briefly broke the pattern. MA alignment improved only through MA120 while MA200 remains overhead. Still incomplete, but appropriate for TRANSITION. Watch 24,000 KRW."
003800,에이스침대,KOSDAQ,COMMON,2026-08-14,transition,candidate,82.00029173407705,33350.0,369851500000.0,3698.51,11090000,102634883.75,1.03,73838712.5,169095415.83333334,1.69,130396000.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Base exists. Long MAs still tangled. Current around 33,000 KRW versus resistance around 35,000 KRW. Weekly lows rising. MA alignment transitioning positively. Steady approach toward resistance. Appropriate TRANSITION."
004590,한국가구,KOSDAQ,COMMON,2026-08-14,transition,candidate,79.9812142757694,5690.0,85350000000.0,853.5,15000000,221466042.0,2.21,188275502.5,452449237.6666667,4.52,267928305.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Base formed. Long MAs rising. Around 6,000 KRW is a very long term resistance area. 2021 breakout failed badly. Current price around 5,700 KRW. Weekly lows are not clearly rising. MAs are aligned but price has been mostly horizontal. Several resistance attempts occurred. Still fits TRANSITION because price is near a major long term decision area, but quality is only borderline."
005670,푸드웰,KOSDAQ,COMMON,2026-08-14,transition,candidate,64.5647815421553,6690.0,66900000000.0,669.0,10000000,201221502.0,2.01,129297950.0,204013213.5,2.04,129297950.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"This is not primarily a long term decline structure. It has been in a more than 10 year box range. Base exists. Long MAs are flat. Current around 6,700 KRW versus resistance around 7,500 KRW. Weekly lows are rising. MAs are aligned. Price has been approaching resistance. Still inside the long term box, but recent structure supports TRANSITION."
005990,매일홀딩스,KOSDAQ,COMMON,2026-08-14,transition,candidate,87.86655057247829,10770.0,143222734080.0,1432.23,13298304,26577364.25,0.27,20928905.0,59441380.916666664,0.59,33430185.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Long decline may have ended, but base is ambiguous. Recent low is slightly lower. MAs remain tangled. Current around 10,700 KRW versus resistance around 14,000 KRW. Weekly lows are lower or unchanged. MAs tangled. No meaningful approach toward resistance. Closer to BASE."
007330,푸른저축은행,KOSDAQ,COMMON,2026-08-14,transition,candidate,78.75461047751185,10100.0,152336280000.0,1523.36,15082800,102879534.5,1.03,90199035.0,396190670.5833333,3.96,151023555.0,20,60,True,,REVIEWED,NOT_FIT,TOO_EARLY,"Long term decline has not ended. No sufficient base. Long MAs still declining. Current around 10,000 KRW versus resistance around 12,000 KRW. Monthly chart alone is enough to reject. Closer to BASE or WEAK."
007390,네이처셀,KOSDAQ,COMMON,2026-08-14,transition,candidate,76.61073923767214,23400.0,1507780310400.0,15077.8,64435056,8983439508.75,89.83,8376333712.5,19909461153.25,199.09,10539621075.0,20,60,True,,REVIEWED,BORDERLINE,MATCH,"Monthly decline ended. Base exists. Long MAs rising. Current around 23,000 KRW versus resistance around 32,000 KRW. Weekly lows rising. MA alignment transitioning positively. Price is volatile. Base appears to be finishing, but chart is not clean because of volatility. Still acceptable as TRANSITION."
008370,원풍,KOSDAQ,COMMON,2026-08-14,transition,candidate,74.40175513017763,4965.0,59580000000.0,595.8,12000000,15022807.6,0.15,12889497.5,31737321.233333334,0.32,19092130.5,20,60,True,,REVIEWED,BORDERLINE,MATCH,"More than 10 year horizontal box. Base exists. Long MAs flat. Current around 4,900 KRW versus resistance around 5,700 KRW. Weekly lows rising. MAs technically aligned but still feel tangled. One breakout attempt occurred last year. Long box plus rising lows supports TRANSITION, though not a clean Pattern A."
008830,대동기어,KOSDAQ,COMMON,2026-08-14,transition,candidate,65.00618366606908,6760.0,99745963200.0,997.46,14755320,4307926982.75,43.08,702888425.0,2384862481.5,23.85,980734605.0,20,60,True,,REVIEWED,NOT_FIT,TOO_LATE,Monthly decline ended. Base is ambiguous. Long MAs flat. Price already reached historical new highs and is now falling. Weekly lows are not rising. Moving averages are turning bearish. Uptrend has been damaged. April 2021 would have been much closer to the ideal Pattern A location. This is a post trend degradation or old transition recycle false positive.
