scenario_id,description,mcap_min_eok,close_min_krw,tv20_min_eok,universe_remaining,universe_removed,universe_remaining_pct,candidate_remaining,candidate_removed,candidate_remaining_pct,transition_remaining,transition_removed,early_remaining,early_removed,human42_remaining,human42_removed,human42_good_fit_remaining,human42_good_fit_removed,human42_not_fit_remaining,human42_not_fit_removed
BASE_ALL,No Filter (Base Candidate Pool),0,0,0,2528,0,100.0,180,0,100.0,168,0,12,0,42,0,9,0,15,0
MCAP_300,Market Cap >= 300억원,300,0,0,2168,360,85.76,172,8,95.56,160,8,12,0,41,1,9,0,14,1
MCAP_500,Market Cap >= 500억원,500,0,0,1838,690,72.71,163,17,90.56,152,16,11,1,38,4,9,0,11,4
MCAP_1000,"Market Cap >= 1,000억원",1000,0,0,1299,1229,51.38,135,45,75.0,125,43,10,2,27,15,9,0,6,9
MCAP_2000,"Market Cap >= 2,000억원",2000,0,0,872,1656,34.49,97,83,53.89,89,79,8,4,16,26,7,2,0,15
PRICE_1000,"Close Price >= 1,000원",0,1000,0,2347,181,92.84,179,1,99.44,167,1,12,0,42,0,9,0,15,0
PRICE_2000,"Close Price >= 2,000원",0,2000,0,1987,541,78.6,169,11,93.89,157,11,12,0,41,1,9,0,14,1
PRICE_3000,"Close Price >= 3,000원",0,3000,0,1674,854,66.22,159,21,88.33,147,21,12,0,38,4,9,0,11,4
PRICE_5000,"Close Price >= 5,000원",0,5000,0,1297,1231,51.31,139,41,77.22,129,39,10,2,34,8,9,0,8,7
TV20_100M,20D Avg TV >= 1억원,0,0,1,1979,549,78.28,159,21,88.33,147,21,12,0,36,6,9,0,10,5
TV20_300M,20D Avg TV >= 3억원,0,0,3,1446,1082,57.2,121,59,67.22,110,58,11,1,23,19,8,1,5,10
TV20_500M,20D Avg TV >= 5억원,0,0,5,1197,1331,47.35,94,86,52.22,85,83,9,3,16,26,7,2,2,13
TV20_1B,20D Avg TV >= 10억원,0,0,10,872,1656,34.49,72,108,40.0,65,103,7,5,14,28,6,3,2,13
COMBO_M500_P1000,"MCap >= 500억 & Price >= 1,000원",500,1000,0,1785,743,70.61,162,18,90.0,151,17,11,1,38,4,9,0,11,4
COMBO_M500_TV500M,MCap >= 500억 & 20D TV >= 5억원,500,0,5,1101,1427,43.55,94,86,52.22,85,83,9,3,16,26,7,2,2,13
COMBO_M500_P1000_TV500M,"MCap >= 500억 & Price >= 1,000원 & 20D TV >= 5억원",500,1000,5,1091,1437,43.16,93,87,51.67,84,84,9,3,16,26,7,2,2,13
COMBO_M1000_P2000_TV1B,"MCap >= 1,000억 & Price >= 2,000원 & 20D TV >= 10억원",1000,2000,10,734,1794,29.03,64,116,35.56,57,111,7,5,12,30,6,3,0,15
