ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
005930,52400,312816605620000,42186279,2207004262250,5969782550,2025-01-31
000660,199200,145018071108000,11871995,2370677638450,728002365,2025-01-31
373220,352000,82368000000000,147908,51977272500,234000000,2025-01-31
207940,1081000,76939094000000,82686,89389904000,71174000,2025-01-31
005380,206000,43139735346000,986621,202431528500,209416191,2025-01-31
000270,102000,40562608464000,909716,92553488500,397672632,2025-01-31
068270,179700,38467775926800,519162,93360165800,214066644,2025-01-31
105560,91700,36086556389100,2113398,192672876550,393528423,2025-01-31
005935,43000,35384128100000,1824214,78432307800,822886700,2025-01-31
035420,216500,34301612232000,1964710,423400867000,158437008,2025-01-31
329180,311000,27608439076000,400124,123749604000,88773116,2025-01-31
055550,51100,25726056107500,1386966,70985872549,503445325,2025-01-31
012330,263500,24504207269000,288546,76052252500,92995094,2025-01-31
138040,114200,21780237018800,362422,40894890800,190720114,2025-01-31
005490,260500,21523650208500,210802,54903019000,82624377,2025-01-31
028260,119900,21316314429300,630392,74755729300,177784107,2025-01-31
196170,371500,19807944602000,507713,186146521500,53318828,2025-01-31
096770,127500,19256933940000,176246,22464628500,151034776,2025-01-31
012450,400000,18232464400000,419665,168562884200,45581161,2025-01-31
000810,381500,18073500315500,272051,99597792750,47374837,2025-01-31
032830,89100,17820000000000,630866,54276662700,200000000,2025-01-31
042660,57200,17526846136800,8325636,485008068800,306413394,2025-01-31
259960,364000,17438393336000,244919,87620500000,47907674,2025-01-31
086790,60500,17378073240000,1308593,78796480000,287240880,2025-01-31
010130,824000,17059505192000,35526,29292426000,20703283,2025-01-31
035720,38350,17014442186950,6846406,260138650100,443662117,2025-01-31
011200,19040,16774992003840,2315366,43744014630,881039496,2025-01-31
051910,237500,16765681462500,257381,61173819000,70592343,2025-01-31
009540,232000,16419362912000,340308,79278025000,70773116,2025-01-31
034020,23900,15309411389400,15303404,361243404300,640561146,2025-01-31
006400,222000,15265725660000,403390,89516630000,68764530,2025-01-31
267260,410000,14779325350000,911560,369923913000,36047135,2025-01-31
033780,110600,13865092168200,305920,33581662300,125362497,2025-01-31
066570,84200,13779145938800,506930,42621437800,163647814,2025-01-31
015760,21050,13513343820850,805990,16899685400,641964077,2025-01-31
247540,131000,12811976064000,485819,63149273000,97801344,2025-01-31
402340,94100,12566872069600,596452,55325992200,133548056,2025-01-31
024110,15530,12384023745570,1723738,26462764240,797425869,2025-01-31
030200,48000,12097040880000,679942,32543024814,252021685,2025-01-31
