ticker,name,market,entry_execution_date,entry_open_price,pattern_a_stage_at_entry,coverage_path,policy_a_status,policy_a_exit_reason,policy_a_terminal_return_pct,policy_a_terminal_giveback_pct,policy_b_status,policy_b_exit_reason,policy_b_terminal_return_pct,policy_b_terminal_giveback_pct,paired_return_delta_pct,paired_giveback_delta_pct,exit4_triggered,policy_b_better,policy_b_equal,policy_b_worse
000070,삼양홀딩스,KOSPI,2025-06-16,57321.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,5.02,26.69,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,5.02,26.69,0.0,0.0,False,False,True,False
000120,CJ대한통운,KOSPI,2026-02-09,114300.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-32.46,67.19,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-32.46,67.19,0.0,0.0,False,False,True,False
000150,두산,KOSPI,2017-06-05,90195.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,-11.86,75.95,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,9.21,22.17,21.07,-53.78,True,True,False,False
000210,DL,KOSPI,2025-07-07,50100.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,3.59,51.5,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,3.59,51.5,0.0,0.0,False,False,True,False
000240,한국앤컴퍼니,KOSPI,2024-09-19,18000.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,65.83,2.5,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,65.83,2.5,0.0,0.0,False,False,True,False
000270,기아,KOSPI,2019-01-21,35800.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,119.27,65.65,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,115.08,69.84,-4.19,4.19,True,False,False,True
000370,한화손해보험,KOSPI,2025-06-16,5510.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,26.86,69.15,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,26.86,69.15,0.0,0.0,False,False,True,False
000430,대원강업,KOSPI,2026-06-08,4630.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-11.77,45.68,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-11.77,45.68,0.0,0.0,False,False,True,False
000490,대동,KOSPI,2025-02-17,13280.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.5,41.72,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.5,41.72,0.0,0.0,False,False,True,False
000520,삼일제약,KOSPI,2024-09-19,13210.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,-23.39,71.01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-6.21,53.83,17.18,-17.18,True,True,False,False
