ticker,name,market,total_trades,first_entry_date,last_exit_date,last_trade_status,sequential_cumulative_return_pct,loss_guard_count,positive_trade_count,win_rate_pct,trade_ids
000070,삼양홀딩스,KOSPI,1,2025-06-16,2026-07-01,REALIZED,-3.53,0,0,0.0,000070_01
000120,CJ대한통운,KOSPI,1,2026-02-02,2026-05-20,REALIZED,-14.5,1,0,0.0,000120_01
000150,두산,KOSPI,5,2017-06-05,2023-05-04,REALIZED,-48.06,4,1,20.0,"000150_01,000150_02,000150_03,000150_04,000150_05"
000210,DL,KOSPI,3,2025-06-02,2026-06-09,REALIZED,-42.34,3,0,0.0,"000210_01,000210_02,000210_03"
000240,한국앤컴퍼니,KOSPI,1,2024-09-19,2025-12-01,REALIZED,65.83,0,1,100.0,000240_01
000270,기아,KOSPI,4,2019-01-21,2026-06-01,REALIZED,154.6,1,3,75.0,"000270_01,000270_02,000270_03,000270_04"
000370,한화손해보험,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,26.86,0,1,100.0,000370_01
000430,대원강업,KOSPI,1,2026-06-08,2026-06-25,REALIZED,-15.12,1,0,0.0,000430_01
000490,대동,KOSPI,1,2025-02-17,2025-03-24,REALIZED,-17.09,1,0,0.0,000490_01
000520,삼일제약,KOSPI,1,2024-09-19,2024-12-02,REALIZED,-6.21,0,0,0.0,000520_01
000640,동아쏘시오홀딩스,KOSPI,2,2024-08-19,2026-04-06,REALIZED,-28.92,2,0,0.0,"000640_01,000640_02"
000660,SK하이닉스,KOSPI,5,2019-04-08,2024-05-02,REALIZED,20.78,3,2,40.0,"000660_01,000660_02,000660_03,000660_04,000660_05"
000670,영풍,KOSPI,2,2025-11-17,2026-08-03,REALIZED,-55.08,1,0,0.0,"000670_01,000670_02"
000700,유수홀딩스,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,2.97,0,1,100.0,000700_01
000720,현대건설,KOSPI,3,2017-05-02,2025-10-01,REALIZED,25.2,1,1,33.33,"000720_01,000720_02,000720_03"
000810,삼성화재,KOSPI,3,2018-10-01,2024-07-01,REALIZED,24.17,2,1,33.33,"000810_01,000810_02,000810_03"
000990,DB하이텍,KOSPI,1,2025-09-22,2026-03-03,REALIZED,61.94,0,1,100.0,000990_01
001040,CJ,KOSPI,3,2021-01-18,2024-08-01,REALIZED,-9.05,2,1,33.33,"001040_01,001040_02,001040_03"
001120,LX인터내셔널,KOSPI,2,2021-01-11,2026-07-01,REALIZED,36.45,0,2,100.0,"001120_01,001120_02"
001200,유진투자증권,KOSPI,2,2025-07-14,2026-03-05,REALIZED,-27.16,2,0,0.0,"001200_01,001200_02"
001230,동국홀딩스,KOSPI,1,2026-02-23,2026-06-02,REALIZED,-17.54,1,0,0.0,001230_01
001250,GS글로벌,KOSPI,2,2024-09-02,2024-10-18,REALIZED,-30.17,2,0,0.0,"001250_01,001250_02"
001290,상상인증권,KOSPI,1,2025-07-14,2025-07-25,REALIZED,-16.33,1,0,0.0,001290_01
001390,KG케미칼,KOSPI,1,2025-12-01,2026-03-05,REALIZED,-12.55,1,0,0.0,001390_01
001450,현대해상,KOSPI,1,2025-07-07,,OPEN_AT_CUTOFF,65.81,0,1,100.0,001450_01
001500,현대차증권,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,9.13,0,1,100.0,001500_01
001510,SK증권,KOSPI,1,2025-06-02,,OPEN_AT_CUTOFF,105.88,0,1,100.0,001510_01
001540,안국약품,KOSDAQ,2,2025-12-08,,OPEN_AT_CUTOFF,0.38,1,1,50.0,"001540_01,001540_02"
001680,대상,KOSPI,1,2025-03-04,2026-01-08,REALIZED,-16.08,1,0,0.0,001680_01
