sample_id,episode_id,ticker,name,market,reference_date,source_cohort,source_reason,weekly_stage_at_reference,trigger_event_observed,trigger_event_date,human_label,human_confidence,human_notes,pattern_a_stage_at_reference,pattern_a_candidate_state_at_reference,pattern_a_score_at_reference,pattern_a_transition_first_after_reference,pattern_a_early_trend_first_after_reference,lead_weeks_to_pattern_a_transition,lead_weeks_to_pattern_a_early_trend,completed_monthly_bars_at_reference,monthly_history_status,human_review_eligible,pit_data_start,pit_data_end,outcome_review_end,data_status,quality_flags
000050_20251024,000050_E01,000050,경방,KOSPI,2025-10-24,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,34.42680085676249,2025-12-12,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,50,OK,True,2021-08-17,2025-10-24,2026-08-14,OK,
000250_20251226,000250_E01,000250,삼천당제약,KOSDAQ,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,10.31880438569339,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,52,OK,True,2021-08-17,2025-12-26,2026-08-14,OK,
000250_20260327,000250_E02,000250,삼천당제약,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,FAILED_BREAKOUT,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
000370_20250509,000370_E01,000370,한화손해보험,KOSPI,2025-05-09,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,49.13737899159818,2025-06-13,2025-07-04,NOT_EVALUATED,NOT_EVALUATED,45,OK,True,2021-08-17,2025-05-09,2026-05-08,OK,
000500_20260327,000500_E01,000500,가온전선,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
000650_20250926,000650_E01,000650,천일고속,KOSPI,2025-09-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,39.30338571895568,2025-12-05,2025-12-05,NOT_EVALUATED,NOT_EVALUATED,49,OK,True,2021-08-17,2025-09-26,2026-08-14,OK,
000650_20251226,000650_E02,000650,천일고속,KOSPI,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,FAILED_BREAKOUT,UNLABELED,UNLABELED,,UNLABELED,,,early_trend,candidate,40.77970561990719,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,52,OK,True,2021-08-17,2025-12-26,2026-08-14,OK,
000660_20260327,000660_E01,000660,SK하이닉스,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,142,OK,True,2014-05-26,2026-03-27,2026-08-14,OK,
000700_20260109,000700_E01,000700,유수홀딩스,KOSPI,2026-01-09,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,65.19724483406387,2026-02-13,2026-04-03,NOT_EVALUATED,NOT_EVALUATED,53,OK,True,2021-08-17,2026-01-09,2026-08-14,OK,
000720_20251226,000720_E01,000720,현대건설,KOSPI,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,16.786881355669244,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,139,OK,True,2014-05-26,2025-12-26,2026-08-14,OK,
000850_20250919,000850_E01,000850,화천기공,KOSPI,2025-09-19,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,41.88633025415596,2025-12-12,2026-02-06,NOT_EVALUATED,NOT_EVALUATED,49,OK,True,2021-08-17,2025-09-19,2026-08-14,OK,
001210_20250314,001210_E01,001210,금호전기,KOSPI,2025-03-14,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,39.49401097055858,2025-05-02,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-14,2026-03-13,OK,
001260_20250926,001260_E01,001260,남광토건,KOSPI,2025-09-26,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,62.54548017580511,2025-12-26,2026-05-08,NOT_EVALUATED,NOT_EVALUATED,49,OK,True,2021-08-17,2025-09-26,2026-08-14,OK,
001450_20260116,001450_E01,001450,현대해상,KOSPI,2026-01-16,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,59.02678078481231,2026-02-20,2026-06-12,NOT_EVALUATED,NOT_EVALUATED,53,OK,True,2021-08-17,2026-01-16,2026-08-14,OK,
001540_20260213,001540_E01,001540,안국약품,KOSDAQ,2026-02-13,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,62.41457858769936,2026-05-08,2026-06-05,NOT_EVALUATED,NOT_EVALUATED,54,OK,True,2021-08-17,2026-02-13,2026-08-14,OK,
001570_20240927,001570_E01,001570,금양,KOSPI,2024-09-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,NEGATIVE_CONTROL,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,37,OK,True,2021-08-17,2024-09-27,2025-03-21,OK,
001800_20250321,001800_E01,001800,오리온홀딩스,KOSPI,2025-03-21,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,62.73150958727548,2025-04-25,2025-06-13,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-21,2026-03-20,OK,
001820_20260327,001820_E01,001820,삼화콘덴서,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,early_trend,candidate,71.3317775931944,2026-04-03,2026-04-03,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
002070_20260327,002070_E01,002070,비비안,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,NEGATIVE_CONTROL,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
002170_20250321,002170_E01,002170,SYTS,KOSPI,2025-03-21,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,58.93216526577482,2025-06-13,2025-07-04,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-21,2026-03-20,OK,
002460_20250509,002460_E01,002460,HS화성,KOSPI,2025-05-09,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_EARLY,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,50.33442378673175,2025-06-13,2025-12-05,NOT_EVALUATED,NOT_EVALUATED,45,OK,True,2021-08-17,2025-05-09,2026-05-08,OK,
002630_20241227,002630_E01,002630,오리엔트바이오,KOSPI,2024-12-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,transition,candidate,16.898156148993348,2025-01-03,2025-01-03,NOT_EVALUATED,NOT_EVALUATED,40,OK,True,2021-08-17,2024-12-27,2025-12-26,OK,
003060_20260327,003060_E01,003060,에이프로젠바이오로직스,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
003100_20250822,003100_E01,003100,선광,KOSDAQ,2025-08-22,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,39.76697306531869,2025-12-12,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,48,OK,True,2021-08-17,2025-08-22,2026-08-14,OK,
003120_20260327,003120_E01,003120,일성아이에스,KOSPI,2026-03-27,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,55.785908030531616,2026-07-31,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
003480_20250207,003480_E01,003480,한진중공업홀딩스,KOSPI,2025-02-07,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,52.365252438954286,2025-04-25,2025-06-13,NOT_EVALUATED,NOT_EVALUATED,42,OK,True,2021-08-17,2025-02-07,2026-02-06,OK,
003490_20250905,003490_E01,003490,대한항공,KOSPI,2025-09-05,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,UNLABELED,UNLABELED,,UNLABELED,,,base,watch,64.33936975968587,2025-10-10,2026-03-06,NOT_EVALUATED,NOT_EVALUATED,49,OK,True,2021-08-17,2025-09-05,2026-08-14,OK,
006800_20251226,006800_E01,006800,미래에셋증권,KOSPI,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,52,OK,True,2021-08-17,2025-12-26,2026-08-14,OK,
006910_20251226,006910_E01,006910,보성파워텍,KOSDAQ,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,STRONG_UPTREND_ALREADY_EXTENDED,UNLABELED,UNLABELED,,UNLABELED,,,early_trend,candidate,93.40172895237173,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,52,OK,True,2021-08-17,2025-12-26,2026-08-14,OK,
008490_20250328,008490_E01,008490,서흥,KOSPI,2025-03-28,INDEPENDENT_NEGATIVE_AMBIGUOUS,LONG_DOWNTREND_BOUNCE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2025-09-05,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-28,2026-03-27,OK,
009470_20250627,009470_E01,009470,삼화전기,KOSPI,2025-06-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,LONG_DOWNTREND_BOUNCE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2025-07-04,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,46,OK,True,2021-08-17,2025-06-27,2026-06-26,OK,
009730_20260327,009730_E01,009730,이렘,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,NEGATIVE_CONTROL,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
009830_20250328,009830_E01,009830,한화솔루션,KOSPI,2025-03-28,INDEPENDENT_NEGATIVE_AMBIGUOUS,LONG_DOWNTREND_BOUNCE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2026-02-06,2026-03-06,NOT_EVALUATED,NOT_EVALUATED,130,OK,True,2014-05-26,2025-03-28,2026-03-27,OK,
011080_20260327,011080_E01,011080,형지I&C,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,NEGATIVE_CONTROL,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
011330_20260327,011330_E01,011330,유니켐,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,NEGATIVE_CONTROL,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
011700_20250328,011700_E01,011700,한신기계,KOSPI,2025-03-28,INDEPENDENT_NEGATIVE_AMBIGUOUS,LONG_DOWNTREND_BOUNCE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2026-03-06,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-28,2026-03-27,OK,
025560_20260327,025560_E01,025560,미래산업,KOSPI,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2026-07-03,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
026910_20260327,026910_E01,026910,광진실업,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2026-06-05,2026-07-03,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
032580_20260327,032580_E01,032580,피델릭스,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,11.333054708672686,2026-06-05,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
032820_20260327,032820_E01,032820,우리기술,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,FAILED_BREAKOUT,UNLABELED,UNLABELED,,UNLABELED,,,progressed,late,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
033640_20250328,033640_E01,033640,네패스,KOSDAQ,2025-03-28,INDEPENDENT_NEGATIVE_AMBIGUOUS,LONG_DOWNTREND_BOUNCE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,0.0,2025-10-31,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,43,OK,True,2021-08-17,2025-03-28,2026-03-27,OK,
036170_20251226,036170_E01,036170,에이치엠넥스,KOSDAQ,2025-12-26,INDEPENDENT_NEGATIVE_AMBIGUOUS,AMBIGUOUS_STRUCTURE,UNLABELED,UNLABELED,,UNLABELED,,,weak,blocked,61.467138862065426,2026-01-09,2026-03-06,NOT_EVALUATED,NOT_EVALUATED,52,OK,True,2021-08-17,2025-12-26,2026-08-14,OK,
036170_20260327,036170_E02,036170,에이치엠넥스,KOSDAQ,2026-03-27,INDEPENDENT_NEGATIVE_AMBIGUOUS,FAILED_BREAKOUT,UNLABELED,UNLABELED,,UNLABELED,,,early_trend,candidate,51.12437724511122,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EVALUATED,NOT_EVALUATED,55,OK,True,2021-08-17,2026-03-27,2026-08-14,OK,
