sample_id,ticker,name,reference_date,weekly_stage_at_reference,trigger_event_observed,trigger_event_date,human_label,human_confidence,human_notes
000050_20251024,000050,경방,2025-10-24,UNLABELED,UNLABELED,,UNLABELED,,
000250_20251226,000250,삼천당제약,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
000370_20250509,000370,한화손해보험,2025-05-09,UNLABELED,UNLABELED,,UNLABELED,,
000650_20250926,000650,천일고속,2025-09-26,UNLABELED,UNLABELED,,UNLABELED,,
000650_20251226,000650,천일고속,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
000700_20260109,000700,유수홀딩스,2026-01-09,UNLABELED,UNLABELED,,UNLABELED,,
000810_20180629,000810,삼성화재,2018-06-29,UNLABELED,UNLABELED,,UNLABELED,,
000850_20250919,000850,화천기공,2025-09-19,UNLABELED,UNLABELED,,UNLABELED,,
001210_20250314,001210,금호전기,2025-03-14,UNLABELED,UNLABELED,,UNLABELED,,
001260_20250926,001260,남광토건,2025-09-26,UNLABELED,UNLABELED,,UNLABELED,,
001450_20260116,001450,현대해상,2026-01-16,UNLABELED,UNLABELED,,UNLABELED,,
001540_20260213,001540,안국약품,2026-02-13,UNLABELED,UNLABELED,,UNLABELED,,
001570_20240927,001570,금양,2024-09-27,UNLABELED,UNLABELED,,UNLABELED,,
001800_20250321,001800,오리온홀딩스,2025-03-21,UNLABELED,UNLABELED,,UNLABELED,,
002070_20260327,002070,비비안,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
002170_20250321,002170,SYTS,2025-03-21,UNLABELED,UNLABELED,,UNLABELED,,
002460_20250509,002460,HS화성,2025-05-09,UNLABELED,UNLABELED,,UNLABELED,,
003060_20260327,003060,에이프로젠바이오로직스,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
003100_20250822,003100,선광,2025-08-22,UNLABELED,UNLABELED,,UNLABELED,,
003120_20260327,003120,일성아이에스,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
003480_20250207,003480,한진중공업홀딩스,2025-02-07,UNLABELED,UNLABELED,,UNLABELED,,
003490_20250905,003490,대한항공,2025-09-05,UNLABELED,UNLABELED,,UNLABELED,,
006260_20200925,006260,LS,2020-09-25,UNLABELED,UNLABELED,,UNLABELED,,
006260_20221223,006260,LS,2022-12-23,UNLABELED,UNLABELED,,UNLABELED,,
008490_20250328,008490,서흥,2025-03-28,UNLABELED,UNLABELED,,UNLABELED,,
009150_20260327,009150,삼성전기,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
009470_20250627,009470,삼화전기,2025-06-27,UNLABELED,UNLABELED,,UNLABELED,,
009730_20260327,009730,이렘,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
009830_20250328,009830,한화솔루션,2025-03-28,UNLABELED,UNLABELED,,UNLABELED,,
011070_20200925,011070,LG이노텍,2020-09-25,UNLABELED,UNLABELED,,UNLABELED,,
011200_20221223,011200,HMM,2022-12-23,UNLABELED,UNLABELED,,UNLABELED,,
011210_20180629,011210,현대위아,2018-06-29,UNLABELED,UNLABELED,,UNLABELED,,
011330_20260327,011330,유니켐,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
012170_20250328,012170,아센디오,2025-03-28,UNLABELED,UNLABELED,,UNLABELED,,
012450_20230630,012450,한화에어로스페이스,2023-06-30,UNLABELED,UNLABELED,,UNLABELED,,
032580_20260327,032580,피델릭스,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
032820_20251226,032820,우리기술,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
032820_20260327,032820,우리기술,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
034220_20200925,034220,LG디스플레이,2020-09-25,UNLABELED,UNLABELED,,UNLABELED,,
036170_20251226,036170,에이치엠넥스,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
036170_20260327,036170,에이치엠넥스,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
042700_20221223,042700,한미반도체,2022-12-23,UNLABELED,UNLABELED,,UNLABELED,,
043220_20241227,043220,티에스넥스젠,2024-12-27,UNLABELED,UNLABELED,,UNLABELED,,
043260_20251226,043260,성호전자,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
046970_20260327,046970,우리로,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
048430_20240927,048430,유라테크,2024-09-27,UNLABELED,UNLABELED,,UNLABELED,,
049470_20250926,049470,비트플래닛,2025-09-26,UNLABELED,UNLABELED,,UNLABELED,,
049800_20250627,049800,우진플라임,2025-06-27,UNLABELED,UNLABELED,,UNLABELED,,
051910_20230630,051910,LG화학,2023-06-30,UNLABELED,UNLABELED,,UNLABELED,,
054220_20240927,054220,비츠로시스,2024-09-27,UNLABELED,UNLABELED,,UNLABELED,,
058860_20260327,058860,KTis,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
065170_20251226,065170,비엘팜텍,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
065170_20260327,065170,비엘팜텍,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
065500_20241227,065500,오리엔트정공,2024-12-27,UNLABELED,UNLABELED,,UNLABELED,,
068240_20250926,068240,다원시스,2025-09-26,UNLABELED,UNLABELED,,UNLABELED,,
068270_20180629,068270,셀트리온,2018-06-29,UNLABELED,UNLABELED,,UNLABELED,,
069540_20260327,069540,빛과전자,2026-03-27,UNLABELED,UNLABELED,,UNLABELED,,
076610_20251226,076610,해성옵틱스,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
078930_20230630,078930,GS,2023-06-30,UNLABELED,UNLABELED,,UNLABELED,,
084670_20251226,084670,동양고속,2025-12-26,UNLABELED,UNLABELED,,UNLABELED,,
