sample_id,asset_type,file_path,sha256,data_start,data_end,reference_date,human_exposure_phase
INV_OOS_B_001,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/001_INV_OOS_B_001_monthly.png,3dece62df85c7399821f22423910a3de985628b5e027b06240221019aef14515,2021-08-31,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_001,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/001_INV_OOS_B_001_weekly.png,b2f008b2b9828a0984a7c969a78349c1cf09a3f34a68dc4c812ef5592b1a5eb4,2021-08-20,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_001,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/001_INV_OOS_B_001_daily.png,176e56324dcde2854bc1780df2951800fa07463107e8c92114781ab4a284b1e3,2021-08-17,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_001,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/001_INV_OOS_B_001_outcome.png,f2faa3072055a7303f4bee6ec2ab378d49d79d85850d658671390a0583d59c25,2023-06-30,2024-07-26,2023-06-30,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_002,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/002_INV_OOS_B_002_monthly.png,8d4e8fe19300918077a049d3a8c4315ef318f9f1539a8539ec81777972f3b51d,2021-08-31,2023-03-31,2023-03-31,PASS_A
INV_OOS_B_002,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/002_INV_OOS_B_002_weekly.png,6003df76e53e5ceae68fdc4c0c57edbaaa77eaac5d6e4ef1f42b617c5e2101cf,2021-08-20,2023-03-31,2023-03-31,PASS_A
INV_OOS_B_002,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/002_INV_OOS_B_002_daily.png,342361fb86a9fbe6a4c0d6e04c73f9f3ff3ae95439b495047394bfcb99747067,2021-08-17,2023-03-31,2023-03-31,PASS_A
INV_OOS_B_002,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/002_INV_OOS_B_002_outcome.png,f000980ec7a250f6836bc4ac9c4021aaeb0a8505e97819087788fe657fc7eff6,2023-03-31,2024-05-03,2023-03-31,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_003,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/003_INV_OOS_B_003_monthly.png,6e4f86ec158cec60f8d1b599fd8566e5c44b3188e75fd3ce30422ad2e46489b1,2021-08-31,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_003,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/003_INV_OOS_B_003_weekly.png,d1f3c9e1bd96829b265cc42cde4af4a2085575a3e34e1c38ceef61074fb9b515,2021-08-20,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_003,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/003_INV_OOS_B_003_daily.png,6fff1e80892e669c95eb83e4406dcb717de030df5945e5b0c7e5ab9c138aa9ff,2021-08-17,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_003,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/003_INV_OOS_B_003_outcome.png,eff7cab6cd37bf3c7eb7c125288585bc1048511a82933babfda8e2a1acffcc76,2023-06-30,2024-07-26,2023-06-30,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_004,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/004_INV_OOS_B_004_monthly.png,4a4c17c49ddbbbf58b0536102e2813f4fb73ca85324a4bcea90894f64a29c613,2021-08-31,2022-09-30,2022-09-30,PASS_A
INV_OOS_B_004,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/004_INV_OOS_B_004_weekly.png,334baf598695fc0201380111d6043f2a9063b5e560b75a0490a0cf865bd39b92,2021-08-20,2022-09-30,2022-09-30,PASS_A
INV_OOS_B_004,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/004_INV_OOS_B_004_daily.png,7c041e5d517e67629f818de25788fd3c989b3855aaa77f969a1f626133adfa75,2021-08-17,2022-09-30,2022-09-30,PASS_A
