review_order,oos_sample_id,source_sample_id,ticker,name,reference_date,outcome_review_end,weekly_stage_at_reference,weekly_stage_confidence,human_trigger_event_observed,human_trigger_event_date,human_label,human_outcome_confidence,review_note,stage_review_status,outcome_review_status
1,OOS_A_001,084670_20251226,084670,동양고속,2025-12-26,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
2,OOS_A_002,049470_20250926,049470,비트플래닛,2025-09-26,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
3,OOS_A_003,068240_20250926,068240,다원시스,2025-09-26,2026-03-16,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
4,OOS_A_004,051910_20230630,051910,LG화학,2023-06-30,2024-06-28,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
5,OOS_A_005,054220_20240927,054220,비츠로시스,2024-09-27,2025-09-26,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
6,OOS_A_006,049800_20250627,049800,우진플라임,2025-06-27,2026-06-26,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
7,OOS_A_007,046970_20260327,046970,우리로,2026-03-27,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
8,OOS_A_008,065170_20251226,065170,비엘팜텍,2025-12-26,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
9,OOS_A_009,065170_20260327,065170,비엘팜텍,2026-03-27,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
10,OOS_A_010,043260_20251226,043260,성호전자,2025-12-26,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
11,OOS_A_011,078930_20230630,078930,GS,2023-06-30,2024-06-28,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
12,OOS_A_012,043220_20241227,043220,티에스넥스젠,2024-12-27,2025-12-09,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
13,OOS_A_013,058860_20260327,058860,KTis,2026-03-27,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
14,OOS_A_014,068270_20180629,068270,셀트리온,2018-06-29,2019-06-28,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
15,OOS_A_015,042700_20221223,042700,한미반도체,2022-12-23,2023-12-22,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
16,OOS_A_016,048430_20240927,048430,유라테크,2024-09-27,2025-09-26,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
17,OOS_A_017,076610_20251226,076610,해성옵틱스,2025-12-26,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
18,OOS_A_018,065500_20241227,065500,오리엔트정공,2024-12-27,2025-12-26,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
19,OOS_A_019,069540_20260327,069540,빛과전자,2026-03-27,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
20,OOS_A_020,036170_20260327,036170,에이치엠넥스,2026-03-27,2026-08-14,UNLABELED,UNLABELED,UNLABELED,,UNLABELED,UNLABELED,,PENDING,PENDING
