ticker,name,trade_id,exit_type,first_progressed_effective_trading_date,exit_signal_date,exit_execution_date,progressed_to_exit3_signal_days,price_hwm_date,price_hwm_to_exit3_signal_days,price_hwm_to_exit3_execution_days,close_drawdown_at_exit3_signal,drawdown_at_exit3_execution,terminal_return,progressed_terminal_return_pct
000240,한국앤컴퍼니,000240_01,EXIT3_PROGRESSED_TO_EARLY_TREND,2024-11-29,2025-11-30,2025-12-01,366,2025-11-28,2,3,0.0,0.0,65.83,73.24
000270,기아,000270_03,EXIT3_PROGRESSED_TO_TRANSITION,2024-05-31,2025-01-31,2025-02-03,245,2024-06-19,226,229,-22.9,-24.26,22.94,-14.87
000670,영풍,000670_02,EXIT3_PROGRESSED_TO_WEAK,2026-02-27,2026-07-31,2026-08-03,154,2026-05-06,86,89,-51.93,-53.64,-45.64,-49.77
002230,피에스텍,002230_01,EXIT3_PROGRESSED_TO_WEAK,2026-01-30,2026-06-30,2026-07-01,151,2026-02-02,148,149,-70.32,-70.23,10.1,-67.62
003230,삼양식품,003230_03,EXIT3_PROGRESSED_TO_TRANSITION,2020-07-31,2021-02-28,2021-03-02,212,2020-08-07,205,207,-31.15,-30.75,-13.27,-26.39
005930,삼성전자,005930_02,EXIT3_PROGRESSED_TO_TRANSITION,2021-03-31,2022-02-28,2022-03-02,334,2021-04-06,328,330,-16.16,-15.93,12.97,-11.18
005940,NH투자증권,005940_01,EXIT3_PROGRESSED_TO_EARLY_TREND,2017-08-31,2018-06-30,2018-07-02,303,2018-05-28,33,35,-12.32,-12.61,12.45,7.97
006730,서부T&D,006730_01,EXIT3_PROGRESSED_TO_TRANSITION,2025-10-31,2025-11-30,2025-12-01,30,2025-11-21,9,10,-12.17,-9.47,42.79,24.78
010130,고려아연,010130_03,EXIT3_PROGRESSED_TO_WEAK,2022-03-31,2025-01-31,2025-02-03,1037,2024-12-05,57,60,-58.8,-59.65,49.44,37.95
010950,S-Oil,010950_01,EXIT3_PROGRESSED_TO_EARLY_TREND,2018-01-31,2018-08-31,2018-09-03,212,2018-03-02,182,185,-5.16,-5.56,22.3,-3.25
030200,KT,030200_01,EXIT3_PROGRESSED_TO_TRANSITION,2022-01-28,2025-11-30,2025-12-01,1402,2025-07-15,138,139,-13.7,-13.87,57.93,60.96
032640,LG유플러스,032640_01,EXIT3_PROGRESSED_TO_EARLY_TREND,2017-08-31,2018-01-31,2018-02-01,153,2018-01-19,12,13,-8.33,-8.33,-8.33,3.62
034220,LG디스플레이,034220_02,EXIT3_PROGRESSED_TO_WEAK,2026-06-30,2026-07-31,2026-08-03,31,2026-06-30,31,34,-20.12,-22.29,-24.64,-22.29
034830,한국토지신탁,034830_01,EXIT3_PROGRESSED_TO_WEAK,2026-04-30,2026-06-30,2026-07-01,61,2026-04-30,61,62,-30.43,-30.43,-5.12,-30.43
036200,유니셈,036200_01,EXIT3_PROGRESSED_TO_TRANSITION,2026-03-31,2026-04-30,2026-05-04,30,2026-04-27,3,7,-5.35,-3.29,46.69,37.91
039830,오로라,039830_01,EXIT3_PROGRESSED_TO_WEAK,2025-08-29,2026-03-31,2026-04-01,214,2025-10-13,169,170,-63.52,-63.24,40.48,-54.41
041920,메디아나,041920_02,EXIT3_PROGRESSED_TO_WEAK,2026-02-27,2026-07-31,2026-08-03,154,2026-04-01,121,124,-62.43,-63.39,14.29,-61.17
052020,에스티큐브,052020_01,EXIT3_PROGRESSED_TO_WEAK,2026-04-30,2026-07-31,2026-08-03,92,2026-04-30,92,95,-65.92,-66.49,-34.29,-66.49
055550,신한지주,055550_02,EXIT3_PROGRESSED_TO_EARLY_TREND,2024-10-31,2025-07-31,2025-08-01,273,2025-07-14,17,18,-5.29,-6.96,79.81,30.21
064820,케이프,064820_01,EXIT3_PROGRESSED_TO_TRANSITION,2025-01-31,2025-04-30,2025-05-02,89,2025-02-04,85,87,-11.34,-12.02,-13.9,-9.93
068270,셀트리온,068270_01,EXIT3_PROGRESSED_TO_TRANSITION,2018-01-31,2019-04-30,2019-05-02,454,2018-03-05,421,423,-42.23,-42.23,95.1,-31.65
074600,원익QnC,074600_02,EXIT3_PROGRESSED_TO_BASE,2026-06-30,2026-07-31,2026-08-03,31,2026-07-01,30,33,-32.97,-34.06,-20.59,-30.87
086520,에코프로,086520_01,EXIT3_PROGRESSED_TO_TRANSITION,2017-08-31,2019-02-28,2019-03-04,546,2018-10-22,129,133,-28.87,-28.27,115.87,1.49
129920,대성하이텍,129920_01,EXIT3_PROGRESSED_TO_WEAK,2026-04-30,2026-06-30,2026-07-01,61,2026-05-15,46,47,-53.58,-53.07,-49.4,-52.54
138080,오이솔루션,138080_01,EXIT3_PROGRESSED_TO_WEAK,2026-04-30,2026-07-31,2026-08-03,92,2026-05-07,85,88,-70.93,-70.83,14.13,-59.3
140860,파크시스템스,140860_01,EXIT3_PROGRESSED_TO_TRANSITION,2025-07-31,2025-12-31,2026-01-02,153,2025-09-19,103,105,-26.15,-26.15,4.97,-24.28
174900,앱클론,174900_01,EXIT3_PROGRESSED_TO_WEAK,2026-01-30,2026-07-31,2026-08-03,182,2026-03-13,140,143,-77.89,-77.95,0.82,-68.96
181710,NHN,181710_01,EXIT3_PROGRESSED_TO_EARLY_TREND,2025-12-30,2026-01-31,2026-02-02,32,2026-01-06,25,27,-7.18,-9.2,44.95,8.78
200670,휴메딕스,200670_03,EXIT3_PROGRESSED_TO_WEAK,2025-08-29,2026-03-31,2026-04-01,214,2025-09-16,196,197,-51.59,-50.43,-36.51,-36.74
228760,지노믹트리,228760_01,EXIT3_PROGRESSED_TO_BASE,2026-02-27,2026-03-31,2026-04-01,32,2026-02-27,32,33,-17.11,-15.47,-23.74,-15.47
263750,펄어비스,263750_02,EXIT3_PROGRESSED_TO_WEAK,2026-05-29,2026-06-30,2026-07-01,32,2026-05-29,32,33,-17.07,-16.84,-21.09,-16.84
264660,씨앤지하이테크,264660_02,EXIT3_PROGRESSED_TO_TRANSITION,2026-05-29,2026-07-31,2026-08-03,63,2026-05-29,63,66,-25.14,-25.14,-29.8,-25.14
389500,에스비비테크,389500_01,EXIT3_PROGRESSED_TO_WEAK,2026-02-27,2026-07-31,2026-08-03,154,2026-05-13,79,82,-71.48,-69.92,-33.26,-48.3
397030,에이프릴바이오,397030_01,EXIT3_PROGRESSED_TO_WEAK,2025-12-30,2026-07-31,2026-08-03,213,2026-05-12,80,83,-69.78,-70.12,-6.81,-60.11
