feature_a,feature_b,spearman_corr
distance_to_prior_20d_high_pct,close_breakout_strength_20d,1.0
dma5_slope_1d,daily_return_5d,0.9992494605497702
dma20_slope_1d,daily_return_20d,0.9983114446529081
days_since_20d_close_breakout,days_since_20d_high,0.9921698929854903
close_breakout_strength_20d,pullback_from_20d_high_pct,0.9855534709193245
distance_to_prior_20d_high_pct,pullback_from_20d_high_pct,0.9855534709193245
post_breakout_close_hold_ratio_20d,days_closed_above_breakout_level_20d,0.9766402531158601
recent_10d_max_runup,post_breakout_min_low_vs_level_pct_20d,-0.9441176470588235
atr_14_pct,realized_volatility_20d,0.9377110694183864
close_vs_dma20_pct,dma5_vs_dma20_pct,0.9347091932457786
daily_return_10d,daily_low_slope_10d,0.9337711069418386
distance_to_prior_20d_high_pct,post_breakout_min_low_vs_level_pct_20d,0.9264705882352942
post_breakout_min_low_vs_level_pct_20d,pullback_from_20d_high_pct,0.9264705882352942
close_breakout_strength_20d,post_breakout_min_low_vs_level_pct_20d,0.9264705882352942
post_breakout_min_close_vs_level_pct_20d,post_breakout_min_low_vs_level_pct_20d,0.9205882352941176
distance_to_prior_10d_high_pct,pullback_from_20d_high_pct,0.9063789868667917
distance_to_prior_10d_high_pct,post_breakout_min_low_vs_level_pct_20d,0.9058823529411765
close_vs_dma20_pct,daily_low_slope_10d,0.9048780487804878
distance_to_prior_10d_high_pct,close_breakout_strength_20d,0.8956848030018761
distance_to_prior_10d_high_pct,distance_to_prior_20d_high_pct,0.8956848030018761
close_vs_dma60_pct,close_vs_dma120_pct,0.8941838649155722
close_vs_dma120_pct,close_vs_dma200_pct,0.8928705440900563
close_vs_dma200_pct,dma60_vs_dma120_pct,0.8887429643527205
close_vs_dma20_pct,daily_return_10d,0.8861163227016886
recent_10d_max_runup,post_breakout_min_close_vs_level_pct_20d,-0.8852941176470588
dma5_vs_dma20_pct,daily_low_slope_10d,0.8682926829268293
recent_5d_max_runup,close_vs_recent_5d_high_pct,-0.8666447779129247
close_vs_dma20_pct,range_position_20d,0.8632270168855535
close_vs_dma60_pct,dma20_vs_dma60_pct,0.8592870544090057
distance_to_prior_20d_high_pct,post_breakout_min_close_vs_level_pct_20d,0.8588235294117647
close_breakout_strength_20d,post_breakout_min_close_vs_level_pct_20d,0.8588235294117647
post_breakout_min_close_vs_level_pct_20d,pullback_from_20d_high_pct,0.8588235294117647
rolling_low_5d_change,days_since_10d_low,0.8562633013161225
dma5_vs_dma20_pct,daily_return_10d,0.8521575984990619
