feature_name,count,missing_count,mean,median,std,min,max,p25,p75,BORDERLINE_TRIGGER_n,BORDERLINE_TRIGGER_median,BORDERLINE_TRIGGER_iqr,FALSE_TRIGGER_n,FALSE_TRIGGER_median,FALSE_TRIGGER_iqr,GOOD_TRIGGER_n,GOOD_TRIGGER_median,GOOD_TRIGGER_iqr,NO_SETUP_n,NO_SETUP_median,NO_SETUP_iqr,TOO_EARLY_n,TOO_EARLY_median,TOO_EARLY_iqr,TOO_EXTENDED_n,TOO_EXTENDED_median,TOO_EXTENDED_iqr,TOO_LATE_n,TOO_LATE_median,TOO_LATE_iqr,STAGE_EXTENDED_n,STAGE_EXTENDED_median,STAGE_EXTENDED_iqr,STAGE_SETUP_n,STAGE_SETUP_median,STAGE_SETUP_iqr,STAGE_TREND_n,STAGE_TREND_median,STAGE_TREND_iqr,STAGE_TRIGGER_n,STAGE_TRIGGER_median,STAGE_TRIGGER_iqr,STAGE_WATCH_n,STAGE_WATCH_median,STAGE_WATCH_iqr,GROUP_POSITIVE_STRUCTURE_n,GROUP_POSITIVE_STRUCTURE_median,GROUP_POSITIVE_STRUCTURE_iqr,GROUP_FAILED_STRUCTURE_n,GROUP_FAILED_STRUCTURE_median,GROUP_FAILED_STRUCTURE_iqr,GROUP_EARLY_OR_NONE_n,GROUP_EARLY_OR_NONE_median,GROUP_EARLY_OR_NONE_iqr,GROUP_LATE_OR_EXTENDED_n,GROUP_LATE_OR_EXTENDED_median,GROUP_LATE_OR_EXTENDED_iqr,cliffs_delta_GOOD_TRIGGER_vs_NO_SETUP,median_diff_GOOD_TRIGGER_vs_NO_SETUP,standardized_effect_GOOD_TRIGGER_vs_NO_SETUP,cliffs_delta_GOOD_TRIGGER_vs_TOO_EARLY,median_diff_GOOD_TRIGGER_vs_TOO_EARLY,standardized_effect_GOOD_TRIGGER_vs_TOO_EARLY,cliffs_delta_GOOD_TRIGGER_vs_FALSE_TRIGGER,median_diff_GOOD_TRIGGER_vs_FALSE_TRIGGER,standardized_effect_GOOD_TRIGGER_vs_FALSE_TRIGGER,cliffs_delta_GOOD_TRIGGER_vs_TOO_EXTENDED,median_diff_GOOD_TRIGGER_vs_TOO_EXTENDED,standardized_effect_GOOD_TRIGGER_vs_TOO_EXTENDED,cliffs_delta_SETUP_GOOD_vs_WATCH_EARLY_NONE,median_diff_SETUP_GOOD_vs_WATCH_EARLY_NONE,standardized_effect_SETUP_GOOD_vs_WATCH_EARLY_NONE,n_SETUP_GOOD,n_WATCH_EARLY_NONE,cliffs_delta_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE,median_diff_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE,standardized_effect_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE
close_vs_dma5_pct,40,0,-0.005280993431402495,-0.004104083169981565,0.027782601133882628,-0.07619423608369524,0.0864745011086474,-0.019104330582998263,0.005048153713988812,6,-0.0045313053594036035,0.02329434767640773,4,-0.02259843549292745,0.02003797647766667,9,-0.008403322819628856,0.01634791857233231,9,-0.0017174753112924046,0.03624275661688714,8,-0.0026962868480726043,0.005075659605166649,3,-0.018099547511312264,0.048244900797717705,1,-0.07619423608369524,0.0,3,-0.018099547511312264,0.048244900797717705,10,-0.005379541093826823,0.015719610148060004,2,-0.04229877945166205,0.033895456632033194,1,0.018711018711018657,0.0,24,-0.0031913356452291097,0.023434427701480742,15,-0.008403322819628856,0.018743737568979735,4,-0.02259843549292745,0.02003797647766667,17,-0.0022675736961451642,0.017269919671516143,4,-0.022694139952839254,0.04324071498348159,-0.08641975308641975,-0.006685847508336451,-0.31180406176634146,0.027777777777777776,-0.005707035971556251,-0.3719661602445845,0.6111111111111112,0.014195112673298593,0.7211616233670808,0.18518518518518517,0.009696224691683408,0.44748734699622916,-0.08928571428571429,-0.007463049567964675,-0.39951578548263483,7,16,-0.050980392156862744,-0.006135749123483691,-0.33273247000848843
close_vs_dma20_pct,40,0,0.001587844325519744,-0.013255761472671712,0.11364151660204201,-0.1167226617535494,0.6202364222534511,-0.05727806868268931,0.025845768891859022,6,-0.027873929352476567,0.061155313559235425,4,-0.03495161107551137,0.0343367964821831,9,-0.012935555296585521,0.08002810715788988,9,-0.059565334048832796,0.1086317998837606,8,0.0028189891087634367,0.03140239515737603,3,0.021957967857773486,0.02568148766979178,1,0.041991361268201466,0.0,3,0.021957967857773486,0.02568148766979178,10,-0.020342392242331808,0.05656096663721913,2,0.044566176686050674,0.0025748154178492078,1,0.048626798240399394,0.0,24,-0.017032976465983174,0.07760987698108218,15,-0.01905829596412556,0.07568496496049265,4,-0.03495161107551137,0.0343367964821831,17,-0.0043892516861149256,0.1020255483696576,4,0.025382276109956692,0.02127340043968609,0.18518518518518517,0.046629778752247275,0.477640789578275,-0.1111111111111111,-0.015754544405348958,-0.29947016727434156,0.2777777777777778,0.022016055778925847,0.3588958995722288,-0.25925925925925924,-0.03489352315435901,-0.5772294027834078,-0.10714285714285714,-0.01876661952064168,-0.23420580429686347,7,16,-0.027450980392156862,-0.014669044278010634,-0.1702081925918612
close_vs_dma60_pct,40,0,0.09725111876495038,-0.011739820552241875,0.5284864356201268,-0.3200043769833206,2.817871925980034,-0.0752404173739572,0.040095355687970236,6,-0.006886363777051818,0.06188475345144631,4,-0.013911984759351903,0.09076530359244991,9,-0.01225114854517606,0.10064667557013696,9,-0.13090488796092625,0.17781164840276031,8,-0.009056498506615662,0.047756504760838536,3,0.25955306181677473,0.7380360297432875,1,0.7859982318108674,0.0,3,0.25955306181677473,0.7380360297432875,10,-0.011739820552241875,0.04998082540910878,2,0.45947532805418057,0.3265229037566868,1,0.035879969463855854,0.0,24,-0.035579673772576814,0.12319914271146917,15,-0.01122849255930769,0.07555518304125824,4,-0.013911984759351903,0.09076530359244991,17,-0.045978349435455756,0.18013616516934472,4,0.522775646813821,0.7638518923672133,0.6049382716049383,0.11865373941575019,0.75658961393104,0.08333333333333333,-0.003194650038560398,-0.04018903455621464,0.05555555555555555,0.0016608362141758426,0.016501650002522607,-0.7037037037037037,-0.2718042103619508,-2.4195800479123655,0.26785714285714285,0.052218580044349316,0.38710867999493986,7,16,0.38823529411764707,0.034749856876148066,0.2963020323238363
close_vs_dma120_pct,40,0,0.19322435766012597,-0.01590083833329642,0.8557728056587088,-0.39371977309788286,4.218838409053087,-0.08736438245878667,0.060376826946887285,6,-0.010076613874210882,0.05896049259446759,4,-0.005625421266478914,0.1282179891995903,9,0.007272263332482876,0.13091819800427207,9,-0.200230505955186,0.2338324382333492,8,-0.018920534004037426,0.03510536954447818,3,0.5065477550760651,1.3915999193353148,1,1.7179147167144984,0.0,3,0.5065477550760651,1.3915999193353148,10,-0.023460524665136206,0.04980696781212471,2,0.9985300205032381,0.7193846962112603,1,0.08045202584754851,0.0,24,-0.019882243733344573,0.16236870291232594,15,-0.008521989565874355,0.09783670136568728,4,-0.005625421266478914,0.1282179891995903,17,-0.08679665738161568,0.2407767715421405,4,1.1122312358952817,1.6043251808964825,0.654320987654321,0.20750276928766886,0.988334231714012,0.3055555555555556,0.0261927973365203,0.31425517693910604,0.1111111111111111,0.01289768459896179,0.09851712592729787,-0.7777777777777778,-0.4992754917435822,-2.6557327562257753,0.39285714285714285,0.08965106131436879,0.5152783327848133,7,16,0.4980392156862745,0.07827466781574133,0.6947610729248008
close_vs_dma200_pct,40,0,0.23915833757925045,-0.009735200118240528,0.9752276133432459,-0.46749712632069895,4.007267492402167,-0.12036312152254292,0.10516086723062551,6,-0.011213900898391471,0.16320185610058088,4,-0.015549144313534657,0.2583947945187436,9,0.03601786190531553,0.09059799351471698,9,-0.2949817656647574,0.34017987542042294,8,-0.030650530022692468,0.05121216217636537,3,0.8565931515668748,1.9154469849277256,1,2.5032824558908295,0.0,3,0.8565931515668748,1.9154469849277256,10,0.01194228698264943,0.055491807560369116,2,1.481673924918308,1.0216085309725216,1,0.10441201329802219,0.0,24,-0.06279977028651557,0.23157550538885893,15,0.020131279718833994,0.10753922760033252,4,-0.015549144313534657,0.2583947945187436,17,-0.08855097808491685,0.29331282350483834,4,1.6799378037288522,2.192740470706829,0.7530864197530864,0.33099962757007295,1.0368274572402711,0.6666666666666666,0.066668391928008,0.5592383853864095,0.2222222222222222,0.05156700621885019,0.5297787328820865,-0.9259259259259259,-0.8205752896615592,-3.5873002306326116,0.6607142857142857,0.110052688345883,0.4947501816663956,7,16,0.5686274509803921,0.10868225780375085,0.6488922860533801
dma5_vs_dma20_pct,40,0,0.0061286506697384585,-0.0050317813600440076,0.0963495816372574,-0.14389409766651928,0.49127882946185,-0.04037586538525023,0.023478139120985786,6,-0.029046001890713657,0.054913458343793686,4,-0.013268614205827922,0.02309613525446491,9,-0.003379559491900719,0.05319056570628988,9,-0.04971056871755086,0.12893557466629813,8,0.010183543573164089,0.02875435640139251,3,0.0048651039363114545,0.03928798338189654,1,0.1279333838001513,0.0,3,0.0048651039363114545,0.03928798338189654,10,-0.01419871469948858,0.054273438938484436,2,0.09197420554033431,0.03595917825981698,1,0.029366306027820643,0.0,24,-0.011119456660500404,0.06957625844043192,15,-0.018497757847533602,0.0635551836491457,4,-0.013268614205827922,0.02309613525446491,17,-0.002676372979338426,0.09034792118224133,4,0.022830503342736286,0.06837646106333306,0.1111111111111111,0.046331009225650144,0.5627811630759639,-0.1111111111111111,-0.013563103065064808,-0.2926348872779412,0.1111111111111111,0.009889054713927203,0.18991129128605597,-0.1111111111111111,-0.008244663428212173,-0.14546107474259026,-0.10714285714285714,-0.01862608464252208,-0.2583687264054485,7,16,-0.0196078431372549,-0.015821384868195176,-0.22613013153853695
dma20_vs_dma60_pct,40,0,0.07278410558556013,-0.005582429978603254,0.34166818505208557,-0.29849086576648143,1.4138379024701506,-0.036265434399613466,0.03177069906076635,6,0.024160588515386272,0.033911345463672415,4,0.014968654649928803,0.04844672004661432,9,0.008443513548893833,0.024685720696928537,9,-0.12307601811729174,0.18191570770053034,8,-0.028848921730582733,0.018548633033563272,3,0.23249008416368389,0.6916461217544503,1,0.7140240295631046,0.0,3,0.23249008416368389,0.6916461217544503,10,0.0026244982508946135,0.02397301702591309,2,0.3979861686159767,0.31603786094712794,1,-0.012155734335545287,0.0,24,-0.02560287584067822,0.09147091057133866,15,0.013525179856115122,0.03951025206825581,4,0.014968654649928803,0.04844672004661432,17,-0.03422459893048124,0.10222352501480869,4,0.47325705686339425,0.7069735199267907,0.5555555555555556,0.13151953166618557,1.0656515061318461,0.5555555555555556,0.037292435279476566,0.8041753940733324,-0.2777777777777778,-0.00652514110103497,-0.2614499326680773,-0.8518518518518519,-0.22404657061479005,-3.155863882672715,0.5178571428571429,0.04674978341763952,0.5365416371843845,7,16,0.6,0.047749778786596364,0.6866488669580557
dma60_vs_dma120_pct,40,0,0.03398750751599343,0.012847011627395766,0.15349819838778622,-0.19538322269161135,0.5520373294790466,-0.03575056054839379,0.05230591725306716,6,0.009625582711232372,0.023860854931957526,4,0.05880507518190681,0.1357959258081947,9,0.04302820567788568,0.027254525019668296,9,-0.10840569206539452,0.1305128035205022,8,-0.03285844953864814,0.04860419029743457,3,0.1960970924901142,0.2443565820978325,1,0.5217902617735168,0.0,3,0.1960970924901142,0.2443565820978325,10,0.007551250461175274,0.06791612973336258,2,0.3254136829720913,0.19637657880142556,1,0.04302820567788568,0.0,24,0.00011958556468744108,0.10576409384569982,15,0.024212682553015785,0.051204651695106074,4,0.05880507518190681,0.1357959258081947,17,-0.03818357288620067,0.11431264351587933,4,0.3589436771318155,0.36644816801146823,0.5061728395061729,0.1514338977432802,1.0811844585151824,0.75,0.07588665521653382,0.973308110419931,0.0,-0.01577686950402113,-0.37127762016055765,-0.9259259259259259,-0.15306888681222852,-2.9485850765970696,0.5535714285714286,0.06953330676380837,0.7072236032094771,7,16,0.5686274509803921,0.06239625543921645,0.8361979001507753
dma5_slope_1d,40,0,-0.004197721180031514,-0.0024237160504663735,0.013907414100897809,-0.04210526315789476,0.04096941719561453,-0.011062046988623203,0.0019844194918204883,6,-0.0018661358546901985,0.007447170568898098,4,-0.0100235754326235,0.006594204867194586,9,-0.0010652463382156974,0.00395993477754486,9,-0.0007530120481927804,0.017730450306895573,8,0.001189754614590477,0.0051503623701903145,3,-0.01361303280517745,0.019079812639885563,1,-0.03797949107481957,0.0,3,-0.01361303280517745,0.019079812639885563,10,-0.0009568913065707285,0.0034515035250965442,2,-0.02437889829910489,0.013600592775714682,1,0.009797060881735487,0.0,24,-0.0011962252198848833,0.012104738633121781,15,-0.0010652463382156974,0.006322702483141096,4,-0.0100235754326235,0.006594204867194586,17,-0.0007530120481927804,0.010119768047784694,4,-0.02579626193999851,0.027814750022174373,-0.08641975308641975,-0.0003122342900229169,-0.022391786866918582,-0.2222222222222222,-0.0022550009528061743,-0.3023727820017775,0.7222222222222222,0.008958329094407802,0.9021689094933529,0.7777777777777778,0.012547786466961752,1.1761003091542686,-0.17857142857142858,-0.0011222663256799659,-0.12350986506540233,7,16,-0.1843137254901961,-0.0003122342900229169,-0.03142514680297605
dma20_slope_1d,40,0,0.0012126562386063327,-0.0006575000772699457,0.016159263195223508,-0.026117344123597563,0.08255402926305422,-0.004143790242391837,0.002635367634760466,6,0.0006475167047748087,0.005494623961006445,4,-0.0011621892928831978,0.004676968339775989,9,-0.0006162695152013287,0.0035037266845601156,9,-0.006915162759318694,0.005103509382338167,8,-0.0003596221412288103,0.0023800260118574113,3,0.002549606473783328,0.020590250634913265,1,0.015418701392656997,0.0,3,0.002549606473783328,0.020590250634913265,10,-0.0006575000772699457,0.003049393806214329,2,0.01172776520995844,0.0036909361826985565,1,0.004838420643928032,0.0,24,-0.002331551732809911,0.008327972527332195,15,-0.0006162695152013287,0.005409871406185485,4,-0.0011621892928831978,0.004676968339775989,17,-0.0020178725857595836,0.008342033167291762,4,0.008984153933220163,0.019946946506611885,0.5555555555555556,0.006298893244117365,0.8551839693857234,0.0,-0.00025664737397251836,-0.07501999072968088,0.16666666666666666,0.0005459197776818692,0.13484789976090875,-0.25925925925925924,-0.0031658759889846566,-0.5851920267169544,0.19642857142857142,0.0023443874238901485,0.417508472038955,7,16,0.3254901960784314,0.001401603070558255,0.205178507455969
