feature_a,feature_b,spearman_corr
ma_spread_pct,max_ma_gap_pct,1.0
close_above_ma_count,close_below_ma_count,-1.0
return_12m,ma12_slope_1m,0.9994371482176361
return_6m,ma6_slope_1m,0.999249530956848
return_24m,ma24_slope_1m,0.9953095684803002
monthly_down_month_ratio_6m,monthly_up_month_ratio_6m,-0.9756577903456086
ma_spread_pct,min_ma_gap_pct,0.9686679174484053
max_ma_gap_pct,min_ma_gap_pct,0.9686679174484053
return_12m,close_vs_ma24_pct,0.9671669793621013
close_vs_ma24_pct,ma12_slope_1m,0.9651031894934334
close_vs_ma12_pct,ma6_slope_1m,0.9602251407129456
return_6m,close_vs_ma12_pct,0.9583489681050656
return_12m,close_vs_ma12_pct,0.9427767354596623
close_vs_ma12_pct,ma12_slope_1m,0.9418386491557224
close_vs_ma12_pct,close_vs_ma24_pct,0.9393996247654784
range_position_12m,range_position_24m,0.9380863039399625
close_vs_ma24_pct,range_position_24m,0.9345215759849906
drawdown_from_12m_high,drawdown_from_24m_high,0.9317073170731708
close_vs_ma12_pct,range_position_12m,0.9187617260787992
close_vs_ma6_pct,recent_3m_return,0.9170731707317074
return_12m,range_position_24m,0.9144465290806755
ma12_slope_1m,range_position_24m,0.9140712945590994
close_vs_ma12_pct,range_position_24m,0.9106941838649155
return_6m,close_vs_ma24_pct,0.900375234521576
close_vs_ma24_pct,ma6_slope_1m,0.900375234521576
range_position_24m,range_position_36m,0.8866791744840525
drawdown_from_36m_high,range_position_36m,0.877485928705441
return_6m,return_12m,0.8741088180112571
return_12m,ma6_slope_1m,0.8741088180112571
ma6_slope_1m,ma12_slope_1m,0.8707317073170732
return_6m,ma12_slope_1m,0.8705440900562852
ma6_slope_1m,range_position_12m,0.8649155722326454
return_6m,range_position_12m,0.8619136960600375
close_vs_ma6_pct,range_position_12m,0.8606003752345216
close_vs_ma24_pct,higher_monthly_low_count_12m,0.8572546488449628
return_12m,higher_monthly_low_count_12m,0.8564892429084942
ma12_slope_1m,higher_monthly_low_count_12m,0.8551497825196739
close_vs_ma12_pct,higher_monthly_low_count_12m,0.8532362676785021
close_vs_ma24_pct,range_position_12m,0.8530956848030019
close_below_ma_count,range_position_24m,-0.8525490207420711
close_above_ma_count,range_position_24m,0.8525490207420711
