feature_a,timeframe_a,feature_b,timeframe_b,spearman_corr,abs_corr,semantic_overlap,recommended_action,notes
wma52_slope_1w,WEEKLY,close_vs_dma200_pct,DAILY,0.9054409005628518,0.9054409005628518,MA_OR_PRICE_LOCATION,STRONG_REDUNDANCY_REVIEWED,"selection=SECONDARY/DIAGNOSTIC; correlation is evidence, not an automatic drop rule"
wma12_vs_wma26_pct,WEEKLY,close_vs_dma200_pct,DAILY,0.8598499061913696,0.8598499061913696,MA_OR_PRICE_LOCATION,STRONG_REDUNDANCY_REVIEWED,"selection=SECONDARY/DIAGNOSTIC; correlation is evidence, not an automatic drop rule"
rolling_low_4w_change,WEEKLY,dma20_vs_dma60_pct,DAILY,0.8388367729831144,0.8388367729831144,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=DIAGNOSTIC/DIAGNOSTIC; correlation is evidence, not an automatic drop rule"
close_vs_ma24_pct,MONTHLY,wma52_slope_1w,WEEKLY,0.8275797373358349,0.8275797373358349,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=DROP/SECONDARY; correlation is evidence, not an automatic drop rule"
close_vs_ma24_pct,MONTHLY,close_vs_wma200_pct,WEEKLY,0.7993325917686318,0.7993325917686318,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=DROP/PRIMARY; correlation is evidence, not an automatic drop rule"
recent_3m_return,MONTHLY,wma12_vs_wma26_pct,WEEKLY,0.7943714821763602,0.7943714821763602,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=DIAGNOSTIC/SECONDARY; correlation is evidence, not an automatic drop rule"
range_position_24m,MONTHLY,close_vs_wma200_pct,WEEKLY,0.7850945494994438,0.7850945494994438,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=PRIMARY/PRIMARY; correlation is evidence, not an automatic drop rule"
range_position_24m,MONTHLY,wma52_slope_1w,WEEKLY,0.7801125703564727,0.7801125703564727,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=PRIMARY/SECONDARY; correlation is evidence, not an automatic drop rule"
post_breakout_min_low_vs_level_pct_26w,WEEKLY,close_vs_dma200_pct,DAILY,0.7701754385964912,0.7701754385964912,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=CONDITIONAL/DIAGNOSTIC; correlation is evidence, not an automatic drop rule"
post_breakout_min_low_vs_level_pct_26w,WEEKLY,dma20_vs_dma60_pct,DAILY,0.7631578947368421,0.7631578947368421,MA_OR_PRICE_LOCATION,MODERATE_REDUNDANCY_REVIEWED,"selection=CONDITIONAL/DIAGNOSTIC; correlation is evidence, not an automatic drop rule"
