sample_id,ticker,reference_date,human_label,failure_type,fast_stage,fast_score,pattern_a_stage,pattern_a_candidate_active,evidence,severity,interpretation,production_rule_change_recommended
000050_20251024,000050,2025-10-24,TOO_EARLY,NO_CLEAR_FAILURE,WATCH,43.02,base,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000250_20251226,000250,2025-12-26,TOO_EXTENDED,FAST_HIGH_SCORE_BAD_OUTCOME,SETUP,71.61,progressed,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
000250_20251226,000250,2025-12-26,TOO_EXTENDED,PATTERN_A_NO_CATCHUP,SETUP,71.61,progressed,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
000250_20251226,000250,2025-12-26,TOO_EXTENDED,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,71.61,progressed,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
000370_20250509,000370,2025-05-09,BORDERLINE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,54.37,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000650_20250926,000650,2025-09-26,TOO_EARLY,FAST_TOO_EARLY_CONTEXT,SETUP,45.17,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000650_20251226,000650,2025-12-26,TOO_EXTENDED,FAST_TOO_LATE_CONTEXT,EXTENDED,48.0,early_trend,True,reference status=PATTERN_A_ONLY_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000650_20251226,000650,2025-12-26,TOO_EXTENDED,PATTERN_A_ALREADY_ACTIVE,EXTENDED,48.0,early_trend,True,reference status=PATTERN_A_ONLY_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000700_20260109,000700,2026-01-09,BORDERLINE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,66.88,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000810_20180629,000810,2018-06-29,TOO_EARLY,FAST_TOO_EARLY_CONTEXT,SETUP,53.92,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000810_20180629,000810,2018-06-29,TOO_EARLY,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,53.92,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000850_20250919,000850,2025-09-19,TOO_EARLY,FAST_TOO_EARLY_CONTEXT,TRIGGER,79.05,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000850_20250919,000850,2025-09-19,TOO_EARLY,FAST_HIGH_SCORE_BAD_OUTCOME,TRIGGER,79.05,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
000850_20250919,000850,2025-09-19,TOO_EARLY,FAST_DIRECT_JUMP_NO_TRIGGER,TRIGGER,79.05,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
001210_20250314,001210,2025-03-14,NO_SETUP,NO_CLEAR_FAILURE,SETUP,34.31,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
001260_20250926,001260,2025-09-26,NO_SETUP,FAST_DIRECT_JUMP_NO_TRIGGER,WATCH,46.96,base,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
001450_20260116,001450,2026-01-16,GOOD_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,62.56,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
001540_20260213,001540,2026-02-13,GOOD_TRIGGER,NO_CLEAR_FAILURE,TRIGGER,82.05,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
001570_20240927,001570,2024-09-27,NO_SETUP,PATTERN_A_NO_CATCHUP,WATCH,35.31,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
001800_20250321,001800,2025-03-21,GOOD_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,TREND,74.62,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
002070_20260327,002070,2026-03-27,NO_SETUP,PATTERN_A_NO_CATCHUP,WATCH,26.65,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
002170_20250321,002170,2025-03-21,TOO_EARLY,FAST_DIRECT_JUMP_NO_TRIGGER,WATCH,68.62,base,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
002460_20250509,002460,2025-05-09,BORDERLINE_TRIGGER,NO_CLEAR_FAILURE,TREND,79.13,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
003060_20260327,003060,2026-03-27,NO_SETUP,PATTERN_A_NO_CATCHUP,WATCH,19.45,weak,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
003100_20250822,003100,2025-08-22,FALSE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,WATCH,53.38,base,False,reference status=NEITHER_ACTIVE_AT_REFERENCE; catchup=NEITHER_ACTIVE_AT_REFERENCE,DESCRIPTIVE,research evidence only; no contract retuning,NO
003120_20260327,003120,2026-03-27,NO_SETUP,FAST_HIGH_SCORE_BAD_OUTCOME,SETUP,70.56,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
003480_20250207,003480,2025-02-07,BORDERLINE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,TREND,78.63,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
003490_20250905,003490,2025-09-05,GOOD_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,75.92,base,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
006260_20200925,006260,2020-09-25,BORDERLINE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,54.65,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
006260_20221223,006260,2022-12-23,GOOD_TRIGGER,PATTERN_A_ALREADY_ACTIVE,TRIGGER,70.35,early_trend,True,reference status=BOTH_ACTIVE_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
006260_20221223,006260,2022-12-23,GOOD_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,TRIGGER,70.35,early_trend,True,reference status=BOTH_ACTIVE_AT_REFERENCE; catchup=PATTERN_A_ALREADY_ACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
008490_20250328,008490,2025-03-28,FALSE_TRIGGER,FAST_FALSE_TRIGGER_CONTEXT,SETUP,52.32,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
008490_20250328,008490,2025-03-28,FALSE_TRIGGER,FAST_DIRECT_JUMP_NO_TRIGGER,SETUP,52.32,weak,False,reference status=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE; catchup=FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,DESCRIPTIVE,research evidence only; no contract retuning,NO
009150_20260327,009150,2026-03-27,TOO_EXTENDED,FAST_TOO_LATE_CONTEXT,EXTENDED,59.91,progressed,False,reference status=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW; catchup=PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,DESCRIPTIVE,research evidence only; no contract retuning,NO
