sample_id,ticker,name,reference_date,human_stage,human_label,fast_score,fast_score_status,fast_stage,fast_stage_status,monthly_permission_state,daily_risk_state,pattern_a_score,pattern_a_stage,pattern_a_candidate_active,pattern_a_status,reference_comparison_status,pattern_a_next_candidate_date,reference_to_pattern_a_candidate_weeks,reference_catchup_status
000050_20251024,000050,경방,2025-10-24,WATCH,TOO_EARLY,43.02,READY,WATCH,READY,PERMITTED_REGIME,NORMAL,34.42680085676249,base,False,READY,NEITHER_ACTIVE_AT_REFERENCE,2025-12-12,7.0,NEITHER_ACTIVE_AT_REFERENCE
000250_20251226,000250,삼천당제약,2025-12-26,EXTENDED,TOO_EXTENDED,71.61,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,10.31880438569339,progressed,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
000370_20250509,000370,한화손해보험,2025-05-09,SETUP,BORDERLINE_TRIGGER,54.37,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,49.13737899159818,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-06-13,5.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
000650_20250926,000650,천일고속,2025-09-26,WATCH,TOO_EARLY,45.17,READY,SETUP,READY,EARLY_REGIME,NORMAL,39.30338571895568,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-12-05,10.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
000650_20251226,000650,천일고속,2025-12-26,EXTENDED,TOO_EXTENDED,48.0,READY,EXTENDED,READY,LATE_OR_EXTENDED_REGIME,EXTREME,40.77970561990719,early_trend,True,READY,PATTERN_A_ONLY_AT_REFERENCE,,0.0,PATTERN_A_ALREADY_ACTIVE
000700_20260109,000700,유수홀딩스,2026-01-09,SETUP,BORDERLINE_TRIGGER,66.88,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,65.19724483406387,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-02-13,5.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
000810_20180629,000810,삼성화재,2018-06-29,SETUP,TOO_EARLY,53.92,READY,SETUP,READY,EARLY_REGIME,NORMAL,55.218324593104015,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2018-08-31,9.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
000850_20250919,000850,화천기공,2025-09-19,WATCH,TOO_EARLY,79.05,READY,TRIGGER,READY,PERMITTED_REGIME,NORMAL,41.88633025415596,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-12-12,12.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
001210_20250314,001210,금호전기,2025-03-14,WATCH,NO_SETUP,34.31,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,39.49401097055858,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-05-02,7.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
001260_20250926,001260,남광토건,2025-09-26,WATCH,NO_SETUP,46.96,READY,WATCH,READY,PERMITTED_REGIME,NORMAL,62.54548017580511,base,False,READY,NEITHER_ACTIVE_AT_REFERENCE,2025-12-26,13.0,NEITHER_ACTIVE_AT_REFERENCE
001450_20260116,001450,현대해상,2026-01-16,SETUP,GOOD_TRIGGER,62.56,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,59.02678078481231,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-02-20,5.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
001540_20260213,001540,안국약품,2026-02-13,TRIGGER,GOOD_TRIGGER,82.05,READY,TRIGGER,READY,PERMITTED_REGIME,NORMAL,62.41457858769936,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-05-08,12.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
001570_20240927,001570,금양,2024-09-27,WATCH,NO_SETUP,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,0.0,progressed,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
