feature_name,count,missing_count,mean,median,std,min,max,p25,p75,BORDERLINE_TRIGGER_n,BORDERLINE_TRIGGER_median,BORDERLINE_TRIGGER_iqr,FALSE_TRIGGER_n,FALSE_TRIGGER_median,FALSE_TRIGGER_iqr,GOOD_TRIGGER_n,GOOD_TRIGGER_median,GOOD_TRIGGER_iqr,NO_SETUP_n,NO_SETUP_median,NO_SETUP_iqr,TOO_EARLY_n,TOO_EARLY_median,TOO_EARLY_iqr,TOO_EXTENDED_n,TOO_EXTENDED_median,TOO_EXTENDED_iqr,TOO_LATE_n,TOO_LATE_median,TOO_LATE_iqr,STAGE_EXTENDED_n,STAGE_EXTENDED_median,STAGE_EXTENDED_iqr,STAGE_SETUP_n,STAGE_SETUP_median,STAGE_SETUP_iqr,STAGE_TREND_n,STAGE_TREND_median,STAGE_TREND_iqr,STAGE_TRIGGER_n,STAGE_TRIGGER_median,STAGE_TRIGGER_iqr,STAGE_WATCH_n,STAGE_WATCH_median,STAGE_WATCH_iqr,GROUP_POSITIVE_STRUCTURE_n,GROUP_POSITIVE_STRUCTURE_median,GROUP_POSITIVE_STRUCTURE_iqr,GROUP_FAILED_STRUCTURE_n,GROUP_FAILED_STRUCTURE_median,GROUP_FAILED_STRUCTURE_iqr,GROUP_EARLY_OR_NONE_n,GROUP_EARLY_OR_NONE_median,GROUP_EARLY_OR_NONE_iqr,GROUP_LATE_OR_EXTENDED_n,GROUP_LATE_OR_EXTENDED_median,GROUP_LATE_OR_EXTENDED_iqr,cliffs_delta_GOOD_TRIGGER_vs_NO_SETUP,median_diff_GOOD_TRIGGER_vs_NO_SETUP,standardized_effect_GOOD_TRIGGER_vs_NO_SETUP,cliffs_delta_GOOD_TRIGGER_vs_TOO_EARLY,median_diff_GOOD_TRIGGER_vs_TOO_EARLY,standardized_effect_GOOD_TRIGGER_vs_TOO_EARLY,cliffs_delta_GOOD_TRIGGER_vs_FALSE_TRIGGER,median_diff_GOOD_TRIGGER_vs_FALSE_TRIGGER,standardized_effect_GOOD_TRIGGER_vs_FALSE_TRIGGER,cliffs_delta_GOOD_TRIGGER_vs_TOO_EXTENDED,median_diff_GOOD_TRIGGER_vs_TOO_EXTENDED,standardized_effect_GOOD_TRIGGER_vs_TOO_EXTENDED,cliffs_delta_SETUP_GOOD_vs_WATCH_EARLY_NONE,median_diff_SETUP_GOOD_vs_WATCH_EARLY_NONE,standardized_effect_SETUP_GOOD_vs_WATCH_EARLY_NONE,n_SETUP_GOOD,n_WATCH_EARLY_NONE,cliffs_delta_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE,median_diff_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE,standardized_effect_POSITIVE_STRUCTURE_vs_EARLY_OR_NONE
close_vs_wma12_pct,40,0,0.0696177383863206,-0.009764633743726325,0.4110698848111607,-0.2968560575446537,2.1719876416065915,-0.063335208516585,0.04052311705219175,6,-0.007272732342106902,0.057480256098380866,4,-0.018096290915353752,0.09727425216144045,9,-0.01492537313432829,0.09216763730148247,9,-0.12778297474275024,0.19273894350867038,8,-0.00445123131009767,0.04505340424925261,3,0.2314968077559707,0.5463341131545018,1,0.6317991631799162,0.0,3,0.2314968077559707,0.5463341131545018,10,-0.012697162402529105,0.0440138599461945,2,0.38848558766097496,0.24331357551894128,1,0.028871391076115582,0.0,24,-0.033785582144747084,0.11773628756537655,15,-0.01046895167072992,0.08333858294012081,4,-0.018096290915353752,0.09727425216144045,17,-0.034401508011310034,0.18731704533479132,4,0.4316479854679435,0.57339382314521,0.5555555555555556,0.11285760160842195,0.7644377164082737,0.05555555555555555,-0.01047414182423062,-0.16553914828145078,0.05555555555555555,0.003170917781025462,0.03287474959576881,-0.7037037037037037,-0.246422180890299,-2.3022494011577757,0.21428571428571427,0.023412161066595105,0.18219577608509874,7,16,0.3333333333333333,0.023932556340580113,0.24034835579602398
close_vs_wma26_pct,40,0,0.18060088201058608,-0.01330706704866641,0.7995732871769692,-0.38768880948513884,3.979421777348712,-0.08333822449527933,0.05924125611045006,6,-0.011131503170034196,0.051181595577512146,4,-0.00174503585172886,0.12912485435514343,9,0.009491492082226882,0.12846791930423895,9,-0.19636334118029064,0.23853083943487463,8,-0.018426044472334424,0.030867476853221082,3,0.49847947624928635,1.23679043435403,1,1.6571166528366161,0.0,3,0.49847947624928635,1.23679043435403,10,-0.019617361686762924,0.05106778921049657,2,0.9725708760858045,0.6845457767508116,1,0.0782396088019559,0.0,24,-0.018426044472334424,0.16346062430648517,15,-0.0040455120101138276,0.08749907393396561,4,-0.00174503585172886,0.12912485435514343,17,-0.08217903659292958,0.23492784952524048,4,1.0777980645429512,1.4873730996175123,0.6790123456790124,0.20585483326251752,0.9799766736156703,0.3611111111111111,0.027917536554561306,0.32552277673886804,0.1111111111111111,0.011236527933955742,0.08746563340335022,-0.7777777777777778,-0.48898798416705946,-2.7310824112719465,0.44642857142857145,0.09830882842073829,0.5681491373149656,7,16,0.5450980392156862,0.07813352458281575,0.699204367406657
close_vs_wma52_pct,40,0,0.25361185610667897,0.01024727999296704,0.997677600269564,-0.4786336606278523,4.122942407947129,-0.1336858895220192,0.12464017415142326,6,0.001465005060414637,0.1646298870919177,4,-0.0322322151155941,0.30842506606192954,9,0.07043861079406488,0.1468436949955454,9,-0.3226137529934998,0.4013191617300953,8,-0.026502645847661654,0.066993880560451,3,1.0101719976128765,1.9663083265588872,1,2.9171122564279206,0.0,3,1.0101719976128765,1.9663083265588872,10,0.023815557459657466,0.08909712053493646,2,1.7268056873621058,1.190306569065815,1,0.13970478604443115,0.0,24,-0.05690209398673379,0.3048874618855447,15,0.032039115624882264,0.15662268207944802,4,-0.0322322151155941,0.30842506606192954,17,-0.06333456973293772,0.31731136765925716,4,1.9636421270203985,2.4133593573907266,0.654320987654321,0.3930523637875647,1.0204456265531816,0.7222222222222222,0.09694125664172654,0.6834967359300076,0.4444444444444444,0.10267082590965898,0.8436347558902537,-0.8518518518518519,-0.9397333868188116,-3.730687236344405,0.625,0.10536363675439653,0.3990950469696545,7,16,0.5529411764705883,0.09537368535781998,0.46477358675034136
close_vs_wma200_pct,30,10,0.43678903885930054,-0.04813185854940111,1.7174360925873213,-0.8404225802445321,7.302524109252701,-0.26214347521253645,0.24118422270183004,3,-0.1350843320206513,0.24562920730751192,3,-0.30714067041344306,0.31847943492589936,8,0.12846442100616506,0.4520913955630135,6,-0.5817983775205676,0.4793009343348742,6,-0.13011893261848706,0.19246522582463826,3,1.716447337537359,2.083346284115451,1,7.302524109252701,0.0,3,1.716447337537359,2.083346284115451,8,-0.025977139041110597,0.2699441580559815,2,4.414725853818778,2.887798255433923,1,0.09825797855782037,0.0,16,-0.24603012398158652,0.4447194431310566,11,-0.019845537603325414,0.35252715373791926,3,-0.30714067041344306,0.31847943492589936,12,-0.20494315506837718,0.5021324766976376,4,3.492897074983169,4.214642072432372,0.7916666666666666,0.7102627985267327,1.235343481305255,0.5833333333333334,0.2585833536246521,0.6854942598070429,0.75,0.4356050914196081,1.2199690637404117,-0.9166666666666666,-1.5879829165311938,-1.2449058972858233,0.6666666666666666,0.28321608444527885,0.7079334551663885,6,11,0.5303030303030303,0.18509761746505177,0.5198482571387617
wma12_vs_wma26_pct,40,0,0.04573994876476615,0.017050718503502926,0.1905581502437191,-0.2270117819832448,0.6878568853982889,-0.0348413767241304,0.05485842679284891,6,0.011635698995689059,0.04064147560586301,4,0.06858146853167124,0.12847211676123044,9,0.04798288508557458,0.027131797673048297,9,-0.12008550477582058,0.14545190666800334,8,-0.03323783428061705,0.050739554438685,3,0.21679525826770973,0.31112090524947333,1,0.6283355898152598,0.0,3,0.21679525826770973,0.31112090524947333,10,0.011941032137550933,0.0722146125663449,2,0.3765396856272406,0.2517959041880193,1,0.04798288508557458,0.0,24,0.0019123772317792276,0.13025913374087755,15,0.028117300352674013,0.049943752647258144,4,0.06858146853167124,0.12847211676123044,17,-0.03918017804556062,0.12610846732052228,4,0.4225654240414848,0.4642157012853993,0.5061728395061729,0.16806838986139516,1.1151774586502885,0.7222222222222222,0.08122071936619163,0.9980673480964383,-0.05555555555555555,-0.020598583446096663,-0.5953398808334442,-0.9259259259259259,-0.16881237318213516,-3.189441319503143,0.5535714285714286,0.07244724190112456,0.7086501840188237,7,16,0.5843137254901961,0.06729747839823463,0.7487602954901242
wma52_vs_wma200_pct,30,10,-0.0013605779043411573,-0.05756941640192714,0.41568563156063343,-0.6989862757361707,1.1195522532264395,-0.2597464814126428,0.18882632929269166,3,-0.29508331463214044,0.19335919797800338,3,-0.37853583728318696,0.4928422713544158,8,0.023029997626779652,0.23029363360020302,6,-0.20816541861017757,0.4633230925715436,6,-0.12373634321732097,0.1649141055386981,3,0.35135070071774965,0.2713371387033572,1,1.1195522532264395,0.0,3,0.35135070071774965,0.2713371387033572,8,-0.03125216340596182,0.13073906150354478,2,0.8820765003312262,0.2374757528952134,1,-0.03636626606654858,0.0,16,-0.2485316031941313,0.3096827432630961,11,-0.03654355996232028,0.19190450430635209,3,-0.37853583728318696,0.4928422713544158,12,-0.12373634321732097,0.2221630114957991,4,0.5589017426583153,0.5352699994194166,0.7083333333333334,0.23119541623695722,1.1338028378616607,0.5416666666666666,0.14676634084410062,0.6987255831818016,0.5,0.4015658349099666,1.2732638225765966,-0.6666666666666666,-0.32832070309097,-0.7276169436702176,0.6363636363636364,0.17597588713705825,0.5826953293995504,6,11,0.3939393939393939,0.08719278325500068,0.31880135154128203
wma12_slope_1w,40,0,0.014339471380455068,0.0001707854075296833,0.06733763917679837,-0.045886075949367,0.35035263732988975,-0.006849319131289666,0.006840579308381112,6,0.0035883902043756244,0.005097416281475975,4,0.0042778636638731715,0.009219218993496814,9,0.003409028426898386,0.010852741899766039,9,-0.01722626854846021,0.026472465701973702,8,-0.0029234777755683394,0.0052130557706163705,3,0.04034440344403456,0.0912296787549528,1,0.12902273398287578,0.0,3,0.04034440344403456,0.0912296787549528,10,-0.0003145431889045591,0.005970346332646342,2,0.07076855188365705,0.05825418209921873,1,0.006555772994129239,0.0,24,-0.0029234777755683394,0.019168708943560375,15,0.003409028426898386,0.008455643335972762,4,0.0042778636638731715,0.009219218993496814,17,-0.00637259782933397,0.023732652804179466,4,0.08468356871345517,0.11212358728160732,0.6049382716049383,0.020635296975358597,0.912188496642659,0.3055555555555556,0.006332506202466726,0.5516326357331556,-0.1111111111111111,-0.0008688352369747854,-0.08005674925278704,-0.6296296296296297,-0.036935375017136174,-2.2237632006380363,0.4107142857142857,0.005564021819051745,0.32845198225637384,7,16,0.5294117647058824,0.009781626256232356,0.619325469243981
wma26_slope_1w,40,0,0.009479015722550475,-0.00039334156643122675,0.042594107842177,-0.02873814733770974,0.20248060120975153,-0.005101289671179815,0.006997524559685109,6,-0.0019752272559206974,0.007787229242579741,4,0.002325759691705509,0.011586240946351217,9,0.00044280442804423004,0.00931463334493654,9,-0.017623604465709763,0.022916176657165166,8,-0.00039334156643122675,0.005867239615302888,3,0.033246432491767175,0.061944887618490485,1,0.0919973292636398,0.0,3,0.033246432491767175,0.061944887618490485,10,-0.0012192880110925008,0.004737944227443336,2,0.05668245863899213,0.035314870624647665,1,0.004202275839274794,0.0,24,-0.001357944062860439,0.016163498650154512,15,0.00032642402480820287,0.01047756724341703,4,0.002325759691705509,0.011586240946351217,17,-0.0034523528020808936,0.0184060430660139,4,0.06262188087770348,0.0750356163881497,0.5061728395061729,0.018066408893753994,0.9787386982159834,0.2222222222222222,0.0008361459944754568,0.0987131733489742,0.1111111111111111,-0.001882955263661279,-0.18951793432470715,-0.9259259259259259,-0.032803628063722945,-2.017329362304231,0.26785714285714285,0.0028508472575425325,0.2137499905312454,7,16,0.30980392156862746,0.0037787768268890964,0.4343200637514538
wma52_slope_1w,40,0,0.0054852322491836,0.001097831696818652,0.023241596485477592,-0.024957316460781254,0.09724349157733547,-0.004520495953984266,0.005253257310400827,6,0.0008751045523787138,0.004549449690254254,4,-0.003549414164605913,0.01499065874330649,9,0.005052850080572213,0.004889762980151646,9,-0.008079671874785643,0.01498891186656326,8,-0.001227328477659162,0.002362771002804215,3,0.027276553692994643,0.04475973441139103,1,0.07466027344182447,0.0,3,0.027276553692994643,0.04475973441139103,10,0.0012193111087467345,0.004693237952105966,2,0.04642202157790154,0.028238251863922925,1,0.006050000000000111,0.0,24,-0.0011814391217659925,0.010808514759340165,15,0.0012907123633767448,0.00470003939977881,4,-0.003549414164605913,0.01499065874330649,17,-0.0012472382581427688,0.010263860873455988,4,0.050968413567409554,0.05791765701731788,0.5061728395061729,0.013132521955357856,1.0633846141766004,0.8333333333333334,0.006280178558231375,1.0031803395653516,0.6111111111111112,0.008602264245178126,1.7850529787934077,-0.8518518518518519,-0.02222370361242243,-1.8128984458380508,0.5892857142857143,0.0032552646929634443,0.3657088882206963,7,16,0.4980392156862745,0.0025379506215195136,0.3615865812873229
wma200_slope_1w,30,10,0.0016123726517944064,-0.000753656731850294,0.009808504560565303,-0.012303243368802286,0.03882097751829572,-0.0025941918998054203,0.002596818863607464,3,-0.0009941540343960664,0.0023849455348042836,3,-0.0031226946202090877,0.0016467930256544028,8,0.00036039577051233396,0.004624748162134679,6,-0.004273345544112017,0.006072247020594473,6,-0.001356473865591623,0.002055752736070948,3,0.008983548580630885,0.008915566864426405,1,0.03882097751829572,0.0,3,0.008983548580630885,0.008915566864426405,8,-4.0242549841362774e-05,0.002231593536652282,2,0.023837789477823,0.014983188040472717,1,-0.0015726886760200065,0.0,16,-0.00251659946577798,0.003030463522201682,11,-0.0004224337151802482,0.003472655582339279,3,-0.0031226946202090877,0.0016467930256544028,12,-0.002309502735258373,0.0037900826223501716,4,0.017829815868888765,0.020763407954887292,0.75,0.004633741314624351,1.1145260590448023,0.3333333333333333,0.001716869636103957,0.3815456657700359,0.6666666666666666,0.0034830903907214217,0.8552347720388819,-0.9166666666666666,-0.00862315281011855,-0.8863907711434051,0.5454545454545454,0.0027796129391503555,0.7398083004218583,6,11,0.4393939393939394,0.0018870690200781248,0.5849592567670393
