date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,000020,-82614400.0,60092050.0,142706450.0
2026-05-13,000040,-6769872.0,14876246.0,21646118.0
2026-05-13,000050,-52413260.0,338691270.0,391104530.0
2026-05-13,000070,-303156450.0,138044400.0,441200850.0
2026-05-13,000080,-125212240.0,964276700.0,1089488940.0
2026-05-13,000087,55240.0,82910.0,27670.0
2026-05-13,000100,-1983307250.0,11672901350.0,13656208600.0
2026-05-13,000105,-34988200.0,55324700.0,90312900.0
2026-05-13,000120,847878100.0,5199810250.0,4351932150.0
2026-05-13,000140,-74421215.0,9399370.0,83820585.0
2026-05-13,000150,4306350500.0,40638002000.0,36331651500.0
2026-05-13,000155,1997977000.0,7160252500.0,5162275500.0
2026-05-13,000157,149020000.0,367606000.0,218586000.0
2026-05-13,000180,-28128950.0,27949030.0,56077980.0
2026-05-13,0001A0,-120916725.0,1219071915.0,1339988640.0
2026-05-13,000210,2279015600.0,5243508800.0,2964493200.0
2026-05-13,000215,35012850.0,55883850.0,20871000.0
2026-05-13,000220,-77620935.0,12771445.0,90392380.0
2026-05-13,000225,-239980.0,238325.0,478305.0
2026-05-13,000230,-140321345.0,115016385.0,255337730.0
2026-05-13,000240,-429850.0,1091576600.0,1092006450.0
2026-05-13,000250,-8099393500.0,30097509500.0,38196903000.0
2026-05-13,000270,46733211750.0,183272556100.0,136539344350.0
2026-05-13,000320,142303500.0,302789840.0,160486340.0
2026-05-13,000370,202887205.0,1528644310.0,1325757105.0
2026-05-13,000390,-107916025.0,536155780.0,644071805.0
2026-05-13,000400,-87298918.0,281705340.0,369004258.0
2026-05-13,000430,66005160.0,224150780.0,158145620.0
2026-05-13,000440,392076290.0,806044810.0,413968520.0
2026-05-13,000480,-59287615.0,18181430.0,77469045.0
2026-05-13,000490,-436548920.0,841428550.0,1277977470.0
2026-05-13,0004V0,-1136704315.0,3199668200.0,4336372515.0
2026-05-13,0004Y0,0.0,0.0,0.0
2026-05-13,000500,-8280474250.0,9455039000.0,17735513250.0
2026-05-13,000520,-52930990.0,304157260.0,357088250.0
2026-05-13,000540,20834905.0,140938885.0,120103980.0
2026-05-13,000590,8019750.0,11950750.0,3931000.0
2026-05-13,000640,-22635250.0,1056221000.0,1078856250.0
2026-05-13,000650,92750400.0,227153000.0,134402600.0
2026-05-13,000660,-1720383862000.0,3547290451912.0,5267674313912.0
2026-05-13,000670,125026850.0,639110650.0,514083800.0
2026-05-13,000680,91264223.0,394096420.0,302832197.0
2026-05-13,000700,-32694270.0,23732020.0,56426290.0
2026-05-13,000720,35966871400.0,68964293458.0,32997422058.0
2026-05-13,000725,-200446850.0,184942600.0,385389450.0
2026-05-13,000760,4675050.0,13636420.0,8961370.0
2026-05-13,0007C0,112791325.0,1111806600.0,999015275.0
2026-05-13,0007J0,62979360.0,576259950.0,513280590.0
2026-05-13,000810,4397428750.0,48285276750.0,43887848000.0
2026-05-13,000815,4013307750.0,5367509750.0,1354202000.0
2026-05-13,000850,-31938525.0,62886425.0,94824950.0
2026-05-13,000860,-103266270.0,61795130.0,165061400.0
2026-05-13,000880,3390853300.0,29435838400.0,26044985100.0
2026-05-13,00088K,-1045874825.0,755953875.0,1801828700.0
2026-05-13,0008Z0,2819835150.0,7758310575.0,4938475425.0
2026-05-13,000910,172060099.0,553167808.0,381107709.0
2026-05-13,000950,145350.0,3212400.0,3067050.0
2026-05-13,000970,-67249570.0,50340400.0,117589970.0
2026-05-13,000990,-6686106850.0,70113922550.0,76800029400.0
2026-05-13,0009K0,-3613497600.0,1103283025.0,4716780625.0
2026-05-13,001000,8876151.0,12968073.0,4091922.0
2026-05-13,001040,6174737250.0,16882781000.0,10708043750.0
2026-05-13,001045,-181244800.0,25904600.0,207149400.0
2026-05-13,00104K,-153915800.0,208061400.0,361977200.0
2026-05-13,001060,-683517825.0,1162905450.0,1846423275.0
2026-05-13,001070,-47238320.0,5809090.0,53047410.0
2026-05-13,001080,387142835.0,1017782790.0,630639955.0
2026-05-13,0010F0,421096174.0,1324223354.0,903127180.0
2026-05-13,0010V0,-16536800.0,11193920.0,27730720.0
2026-05-13,001120,1059828075.0,5216426000.0,4156597925.0
2026-05-13,0011A0,-61146750.0,509243125.0,570389875.0
2026-05-13,0011T0,-96969335.0,8542547510.0,8639516845.0
2026-05-13,001200,-73966585.0,3406412570.0,3480379155.0
2026-05-13,001210,-320527.0,187321990.0,187642517.0
2026-05-13,001250,48840028.0,2816923421.0,2768083393.0
2026-05-13,001260,-58005300.0,79731240.0,137736540.0
2026-05-13,001270,21275800.0,189268400.0,167992600.0
2026-05-13,001275,-34475700.0,0.0,34475700.0
2026-05-13,001290,20803315.0,239427540.0,218624225.0
2026-05-13,001340,-559177030.0,520529100.0,1079706130.0
2026-05-13,001360,-451757778.0,210987830.0,662745608.0
2026-05-13,001380,-104721514.0,187832118.0,292553632.0
2026-05-13,001390,-746017890.0,629672520.0,1375690410.0
2026-05-13,0013V0,272334495.0,838032300.0,565697805.0
