ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
095570,4120,186441367080,74190,304551315,45252759,2026-09-17
006840,6830,90480841630,14465,98973210,13247561,2026-09-17
027410,3730,357023630430,64556,240702700,95716791,2026-09-17
282330,143500,2480240511000,29199,4162882550,17283906,2026-09-17
138930,15720,4823520885720,908032,14391306420,306839751,2026-09-17
001460,37250,232669087500,2135,78924650,6246150,2026-09-17
001465,26950,58046257500,1182,31838700,2153850,2026-09-17
001040,131200,3828022137600,105351,13909969450,29176998,2026-09-17
079160,5250,869309684250,317975,1682546385,165582797,2026-09-17
00104K,129600,547755955200,2835,366208000,4226512,2026-09-17
000120,71200,1624238892800,28694,2051757800,22812344,2026-09-17
011150,1929,69310461117,28682,55384637,35930773,2026-09-17
011155,5900,1180000000,1330,7837140,200000,2026-09-17
001045,68300,154373230900,2939,199754000,2260223,2026-09-17
097950,176400,2655558410400,55649,9801615000,15054186,2026-09-17
097955,116900,155176917700,4936,578607600,1327433,2026-09-17
000480,4360,204442536400,26019,111842594,46890490,2026-09-17
000590,67500,77927535000,64,4318700,1154482,2026-09-17
012030,1622,326304119326,357325,581887011,201173933,2026-09-17
005830,192800,12628467287200,186253,36082579800,65500349,2026-09-17
016610,10180,432104240020,46246,469347400,42446389,2026-09-17
000990,124500,5416321206000,723420,91414636413,43504588,2026-09-17
000300,4200,174035631000,0,0,41437055,2026-09-17
001530,27200,563464891200,17713,477015525,20715621,2026-09-17
015590,2105,112399228340,48209,101693932,53396308,2026-09-17
000210,54300,1137904501200,47051,2563437650,20955884,2026-09-17
000215,25400,42827321000,2004,50939250,1686115,2026-09-17
375500,84000,3250264332000,317260,27171541650,38693623,2026-09-17
37550L,52000,109821452000,5700,297169800,2111951,2026-09-17
37550K,27000,57074895000,5081,137750250,2113885,2026-09-17
007340,48100,2814372606500,114258,5464337550,58510865,2026-09-17
004840,3990,76896732360,9671,38732810,19272364,2026-09-17
155660,4445,71120000000,12023,52612340,16000000,2026-09-17
069730,5250,75600000000,10342,54430110,14400000,2026-09-17
017860,12090,213432435060,42083,506951355,17653634,2026-09-17
092780,3155,41546491300,45535,144694917,13168460,2026-09-17
017940,95600,655816000000,7302,691762600,6860000,2026-09-17
365550,3095,761645455000,237548,734444611,246089000,2026-09-17
383220,68900,2639357467500,40303,2755848150,38307075,2026-09-17
007700,13660,534302253220,4557,62147985,39114367,2026-09-17
114090,9000,556701030000,130646,1177508415,61855670,2026-09-17
078930,114000,10590086430000,359993,40980834200,92895495,2026-09-17
006360,36600,3132282534000,708363,25949637375,85581490,2026-09-17
001250,2570,212111773480,220589,571160495,82533764,2026-09-17
007070,24000,2006577960000,171899,4115129850,83607415,2026-09-17
078935,61000,108560236000,2942,179823200,1779676,2026-09-17
499790,39150,776377425150,20741,814106150,19830841,2026-09-17
012630,26950,1610039380950,77727,2108462650,59741721,2026-09-17
039570,7590,197018191590,12971,98139950,25957601,2026-09-17
089470,3830,122177000000,57771,222947680,31900000,2026-09-17
267270,142100,6749378550600,332870,47719102300,47497386,2026-09-17
009540,348500,24664430926000,201990,70141517797,70773116,2026-09-17
267250,222500,17575961412500,127879,28488101500,78993085,2026-09-17
443060,242000,10849697320000,73421,17682262000,44833460,2026-09-17
071970,51400,1743564843000,227091,11652817700,33921495,2026-09-17
