ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status,is_investable
033560,블루콤,KOSDAQ,early_trend,candidate,97.99849587607686,783.18,4.17,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (783.2억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
001540,안국약품,KOSDAQ,early_trend,candidate,97.4527038834332,1542.92,14.0,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
121440,골프존홀딩스,KOSDAQ,early_trend,candidate,97.07617195846515,3075.68,19.99,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
071200,인피니트헬스케어,KOSDAQ,early_trend,candidate,91.53986221405818,2556.75,8.26,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
003650,미창석유,KOSPI,early_trend,candidate,91.29534286584358,2564.28,4.85,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
161890,한국콜마,KOSPI,early_trend,candidate,85.0160696146914,32268.14,507.67,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
005430,한국공항,KOSPI,early_trend,candidate,82.91330668374464,2729.4,14.69,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
089860,롯데렌탈,KOSPI,early_trend,candidate,77.79038102158971,16339.22,63.86,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
086060,진바이오텍,KOSDAQ,early_trend,candidate,73.81157812590835,404.7,1.12,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (404.7억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
001450,현대해상,KOSPI,early_trend,candidate,71.13760805511733,38660.08,238.91,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
