ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status
000250,삼천당제약,KOSDAQ,weak,blocked,0.0,44334.62,527.36,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
000440,중앙에너비스,KOSDAQ,weak,blocked,0.0,764.69,6.28,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (764.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
001000,신라섬유,KOSDAQ,weak,blocked,5.65919510825427,116.53,4.91,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (116.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
001540,안국약품,KOSDAQ,early_trend,candidate,97.4527038834332,1542.92,14.0,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
001810,무림SP,KOSDAQ,weak,blocked,3.4367560211639985,260.56,0.2,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (260.6억),2026-08-14,2026-08-14,True,2026-08-14,OK
001840,이화공영,KOSDAQ,weak,blocked,0.0,625.89,,DATA_UNAVAILABLE,REQUIRED_METRIC_UNAVAILABLE,2026-08-14,2026-01-23,True,2026-01-23,OK
002230,피에스텍,KOSDAQ,weak,blocked,0.0,1003.95,4.08,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
002290,삼일기업공사,KOSDAQ,weak,blocked,66.77200918749583,408.58,0.61,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (408.6억),2026-08-14,2026-08-14,True,2026-08-14,OK
002680,한탑,KOSDAQ,weak,blocked,0.0,170.63,24.59,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (170.6억),2026-08-14,2026-08-14,True,2026-08-14,OK
002800,신신제약,KOSDAQ,weak,blocked,31.407033679729896,688.74,1.2,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (688.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
003100,선광,KOSDAQ,transition,candidate,71.37753729343403,1428.9,10.3,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
003310,대주산업,KOSDAQ,weak,blocked,0.0,601.67,21.2,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (601.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
003380,하림지주,KOSDAQ,progressed,late,0.0,12578.23,60.64,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
003800,에이스침대,KOSDAQ,transition,candidate,82.00029173407705,3698.51,1.03,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),2026-08-14,2026-08-14,True,2026-08-14,OK
004590,한국가구,KOSDAQ,transition,candidate,79.9812142757694,853.5,2.21,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (853.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
004650,창해에탄올,KOSDAQ,weak,blocked,66.9548228370197,865.78,2.46,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (865.8억),2026-08-14,2026-08-14,True,2026-08-14,OK
004780,대륙제관,KOSDAQ,base,watch,63.57615894039731,649.65,2.93,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (649.6억),2026-08-14,2026-08-14,True,2026-08-14,OK
005160,동국산업,KOSDAQ,weak,blocked,0.0,1456.46,1.29,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.29억),2026-08-14,2026-08-14,True,2026-08-14,OK
005290,동진쎄미켐,KOSDAQ,progressed,late,20.35420929253071,22146.52,179.59,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
005670,푸드웰,KOSDAQ,transition,candidate,64.5647815421553,669.0,2.01,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (669.0억),2026-08-14,2026-08-14,True,2026-08-14,OK
005710,대원산업,KOSDAQ,progressed,late,19.543267494532543,2286.29,1.35,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.35억),2026-08-14,2026-08-14,True,2026-08-14,OK
005860,한일사료,KOSDAQ,weak,blocked,0.0,965.39,90.23,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (965.4억),2026-08-14,2026-08-14,True,2026-08-14,OK
005990,매일홀딩스,KOSDAQ,transition,candidate,87.86655057247829,1432.23,0.27,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.27억),2026-08-14,2026-08-14,True,2026-08-14,OK
006050,국영지앤엠,KOSDAQ,weak,blocked,0.0,170.99,,DATA_UNAVAILABLE,REQUIRED_METRIC_UNAVAILABLE,2026-08-14,2026-08-06,True,2026-08-06,OK
006140,피제이전자,KOSDAQ,weak,blocked,27.176650806683984,753.66,2.48,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (753.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
006620,동구바이오제약,KOSDAQ,weak,blocked,0.0,1114.4,3.91,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
006730,서부T&D,KOSDAQ,progressed,late,2.479358289497398,6504.82,49.39,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
006910,보성파워텍,KOSDAQ,progressed,late,0.0,3886.17,100.7,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
006920,모헨즈,KOSDAQ,weak,blocked,43.37085906747904,375.1,4.21,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (375.1억),2026-08-14,2026-08-14,True,2026-08-14,OK
007330,푸른저축은행,KOSDAQ,transition,candidate,78.75461047751185,1523.36,1.03,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.03억),2026-08-14,2026-08-14,True,2026-08-14,OK
007370,진양제약,KOSDAQ,weak,blocked,28.75786144878966,572.45,0.64,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (572.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
007390,네이처셀,KOSDAQ,transition,candidate,76.61073923767214,15077.8,89.83,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
007530,와이엠,KOSDAQ,weak,blocked,0.0,342.05,0.39,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (342.1억),2026-08-14,2026-08-14,True,2026-08-14,OK
007680,대원,KOSDAQ,weak,blocked,36.76529607898891,459.49,0.81,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (459.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
007720,소노스퀘어,KOSDAQ,weak,blocked,0.4212253829322403,293.73,0.63,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (293.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
007770,한일화학,KOSDAQ,weak,blocked,0.0,238.68,0.15,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (238.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
007820,엠엑스로보틱스,KOSDAQ,weak,blocked,13.77131036264214,891.51,53.09,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (891.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
008290,원풍물산,KOSDAQ,weak,blocked,0.0,88.71,13.09,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (88.7억),2026-08-14,2026-08-14,True,2026-08-14,OK
008370,원풍,KOSDAQ,transition,candidate,74.40175513017763,595.8,0.15,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (595.8억),2026-08-14,2026-08-14,True,2026-08-14,OK
008470,부스타,KOSDAQ,base,watch,49.567554471755926,329.47,1.01,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (329.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
008830,대동기어,KOSDAQ,transition,candidate,65.00618366606908,997.46,43.08,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (997.5억),2026-08-14,2026-08-14,True,2026-08-14,OK
009300,삼아제약,KOSDAQ,weak,blocked,0.0,865.05,0.5,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (865.0억),2026-08-14,2026-08-14,True,2026-08-14,OK
009520,포스코엠텍,KOSDAQ,weak,blocked,0.0,5163.7,18.83,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
