scenario_id,description,mcap_min_eok,close_min_krw,tv20_min_eok,universe_total,universe_unavailable,universe_threshold_failed,universe_remaining,universe_removed,universe_remaining_pct,candidate_total,candidate_unavailable,candidate_threshold_failed,candidate_remaining,candidate_removed,candidate_remaining_pct,transition_remaining,transition_removed,early_remaining,early_removed,human42_remaining,human42_removed,human42_good_fit_remaining,human42_good_fit_removed,human42_not_fit_remaining,human42_not_fit_removed
BASE_ALL,No Filter (Base Candidate Pool),0,0,0,2528,0,0,2528,0,100.0,180,0,0,180,0,100.0,168,0,12,0,42,0,9,0,15,0
MCAP_300,Market Cap >= 300억원,300,0,0,2528,0,360,2168,360,85.76,180,0,8,172,8,95.56,160,8,12,0,41,1,9,0,14,1
MCAP_500,Market Cap >= 500억원,500,0,0,2528,0,690,1838,690,72.71,180,0,17,163,17,90.56,152,16,11,1,38,4,9,0,11,4
MCAP_1000,"Market Cap >= 1,000억원",1000,0,0,2528,0,1229,1299,1229,51.38,180,0,45,135,45,75.0,125,43,10,2,27,15,9,0,6,9
MCAP_2000,"Market Cap >= 2,000억원",2000,0,0,2528,0,1656,872,1656,34.49,180,0,83,97,83,53.89,89,79,8,4,16,26,7,2,0,15
PRICE_1000,"Close Price >= 1,000원",0,1000,0,2528,158,75,2295,233,90.78,180,4,0,176,4,97.78,164,4,12,0,42,0,9,0,15,0
PRICE_2000,"Close Price >= 2,000원",0,2000,0,2528,158,420,1950,578,77.14,180,4,8,168,12,93.33,156,12,12,0,41,1,9,0,14,1
PRICE_3000,"Close Price >= 3,000원",0,3000,0,2528,158,719,1651,877,65.31,180,4,18,158,22,87.78,146,22,12,0,38,4,9,0,11,4
PRICE_5000,"Close Price >= 5,000원",0,5000,0,2528,158,1089,1281,1247,50.67,180,4,38,138,42,76.67,128,40,10,2,34,8,9,0,8,7
TV20_100M,20D Avg TV >= 1억원,0,0,1,2528,160,473,1895,633,74.96,180,4,21,155,25,86.11,143,25,12,0,36,6,9,0,10,5
TV20_300M,20D Avg TV >= 3억원,0,0,3,2528,160,983,1385,1143,54.79,180,4,58,118,62,65.56,107,61,11,1,23,19,8,1,5,10
TV20_500M,20D Avg TV >= 5억원,0,0,5,2528,160,1226,1142,1386,45.17,180,4,85,91,89,50.56,82,86,9,3,16,26,7,2,2,13
TV20_1B,20D Avg TV >= 10억원,0,0,10,2528,160,1536,832,1696,32.91,180,4,107,69,111,38.33,62,106,7,5,14,28,6,3,2,13
COMBO_M500_P1000,"MCap >= 500억 & Price >= 1,000원",500,1000,0,2528,158,615,1755,773,69.42,180,4,16,160,20,88.89,149,19,11,1,38,4,9,0,11,4
COMBO_M500_TV500M,MCap >= 500억 & 20D TV >= 5억원,500,0,5,2528,160,1293,1075,1453,42.52,180,4,85,91,89,50.56,82,86,9,3,16,26,7,2,2,13
COMBO_M500_P1000_TV500M,"MCap >= 500억 & Price >= 1,000원 & 20D TV >= 5억원",500,1000,5,2528,160,1296,1072,1456,42.41,180,4,85,91,89,50.56,82,86,9,3,16,26,7,2,2,13
COMBO_M1000_P2000_TV1B,"MCap >= 1,000억 & Price >= 2,000원 & 20D TV >= 10억원",1000,2000,10,2528,160,1644,724,1804,28.64,180,4,113,63,117,35.0,56,112,7,5,12,30,6,3,0,15
