scenario_id,description,market_cap_min,tv20_min,price_min,universe_total,universe_remaining,universe_remaining_pct,candidate_total,candidate_remaining,candidate_remaining_pct,candidate_unavailable,candidate_threshold_failed,transition_remaining,early_remaining,early_preservation_pct,human42_remaining,human42_good_remaining,human42_good_preservation_pct,human42_borderline_remaining,human42_not_fit_remaining,human42_not_fit_removed,human42_not_fit_removal_pct,low_price_under_1000_remaining,low_price_under_2000_remaining,low_price_under_3000_remaining,low_price_under_5000_remaining,median_market_cap_remaining,median_tv20_remaining,median_tv60_remaining
BASE_ALL,Raw Candidate Pool (No Filter),0,0,0,2528,2528,100.0,180,180,100.0,0,0,168,12,100.0,42,9,100.0,18,15,0,0.0,0,8,18,38,2288.79,5.35,7.22
MCAP_300,Market Cap >= 300억원,300,0,0,2528,2168,85.76,180,172,95.56,0,8,160,12,100.0,41,9,100.0,18,14,1,6.67,0,5,11,30,2389.71,5.81,8.02
MCAP_500,Market Cap >= 500억원,500,0,0,2528,1838,72.71,180,163,90.56,0,17,152,11,91.67,38,9,100.0,18,11,4,26.67,0,4,9,22,2564.28,6.57,8.79
MCAP_1000,"Market Cap >= 1,000억원 (Primary Hypothesis)",1000,0,0,2528,1299,51.38,180,135,75.0,0,45,125,10,83.33,27,9,100.0,12,6,9,60.0,0,2,4,10,3731.41,8.31,11.91
MCAP_2000,"Market Cap >= 2,000억원",2000,0,0,2528,872,34.49,180,97,53.89,0,83,89,8,66.67,16,7,77.78,9,0,15,100.0,0,0,0,4,6625.0,20.3,24.21
TV20_100M,20D Avg TV >= 1억원,0,1,0,2528,1895,74.96,180,155,86.11,4,21,143,12,100.0,36,9,100.0,17,10,5,33.33,0,5,12,27,2950.09,7.1,11.58
TV20_300M,20D Avg TV >= 3억원,0,3,0,2528,1385,54.79,180,118,65.56,4,58,107,11,91.67,23,8,88.89,10,5,10,66.67,0,3,7,16,4357.47,16.55,21.76
TV20_500M,20D Avg TV >= 5억원,0,5,0,2528,1142,45.17,180,91,50.56,4,85,82,9,75.0,16,7,77.78,7,2,13,86.67,0,3,5,7,8160.05,43.08,39.61
TV20_1B,20D Avg TV >= 10억원 (Aggressive Reference),0,10,0,2528,832,32.91,180,69,38.33,4,107,62,7,58.33,14,6,66.67,6,2,13,86.67,0,1,3,3,15099.01,61.78,73.12
COMBO_M1000_TV100M,"MCap >= 1,000억 & 20D TV >= 1억원",1000,1,0,2528,1223,48.38,180,127,70.56,4,49,117,10,83.33,24,9,100.0,12,3,12,80.0,0,2,4,10,3959.98,9.77,13.25
COMBO_M1000_TV300M,"MCap >= 1,000억 & 20D TV >= 3억원 (Recommended Policy)",1000,3,0,2528,1081,42.76,180,103,57.22,4,73,93,10,83.33,18,8,88.89,9,1,14,93.33,0,1,3,7,6139.7,19.99,24.02
COMBO_M1000_TV500M,"MCap >= 1,000억 & 20D TV >= 5억원",1000,5,0,2528,950,37.58,180,83,46.11,4,93,74,9,75.0,14,7,77.78,7,0,15,100.0,0,1,2,3,9370.64,44.33,39.61
COMBO_M1000_TV1B,"MCap >= 1,000억 & 20D TV >= 10억원",1000,10,0,2528,733,29.0,180,63,35.0,4,113,56,7,58.33,12,6,66.67,6,0,15,100.0,0,0,1,1,16574.88,61.78,70.16
