sample_id,ticker,name,reference_date,weekly_stage_at_reference,human_label,human_confidence,source_cohort,source_reason,daily_feature_status,daily_feature_missing_count,completed_daily_bars_at_reference,effective_daily_as_of,daily_ma5,daily_ma20,daily_ma60,daily_ma120,daily_ma200,close_vs_dma5_pct,close_vs_dma20_pct,close_vs_dma60_pct,close_vs_dma120_pct,close_vs_dma200_pct,dma5_vs_dma20_pct,dma20_vs_dma60_pct,dma60_vs_dma120_pct,dma5_slope_1d,dma20_slope_1d,daily_return_5d,daily_return_10d,daily_return_20d,recent_5d_max_runup,recent_10d_max_runup,consecutive_positive_days,distance_to_prior_10d_high_pct,distance_to_prior_20d_high_pct,close_above_prior_20d_high,high_above_prior_20d_high,close_breakout_strength_20d,days_since_20d_close_breakout,post_breakout_min_close_vs_level_pct_20d,post_breakout_min_low_vs_level_pct_20d,post_breakout_close_hold_ratio_20d,days_closed_above_breakout_level_20d,close_back_below_breakout_level_20d,pullback_from_20d_high_pct,close_vs_recent_5d_high_pct,days_since_20d_high,higher_daily_low_count_5d,rolling_low_5d_change,days_since_10d_low,days_since_20d_low,daily_low_slope_10d,higher_daily_low_count_10d,range_position_10d,range_position_20d,daily_true_range_pct,atr_14_pct,realized_volatility_20d,gap_from_prev_close_pct,recent_5d_max_gap_abs_pct,volume_vs_20d_avg,volume_5d_vs_prior_20d,up_day_volume_ratio_10d,close_location_in_daily_range,daily_body_pct,upper_wick_pct,lower_wick_pct,MONTHLY_range_position_24m,MONTHLY_drawdown_from_12m_high,MONTHLY_close_vs_ma24_pct,MONTHLY_ma_alignment_score,MONTHLY_monthly_down_month_ratio_12m,MONTHLY_higher_monthly_low_count_12m,MONTHLY_recent_3m_return,WEEKLY_post_breakout_min_low_vs_level_pct_26w,WEEKLY_close_vs_wma200_pct,WEEKLY_distance_to_prior_26w_high_pct,WEEKLY_higher_weekly_low_count_13w,WEEKLY_wma52_slope_1w,WEEKLY_wma12_vs_wma26_pct,WEEKLY_rolling_low_4w_change
000050_20251024,000050,경방,2025-10-24,WATCH,TOO_EARLY,,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,PARTIAL,6,1024,2025-10-24,6840.0,6924.0,7159.166666666667,7479.166666666667,7059.6,-0.0014619883040936088,-0.013575967648757903,-0.045978349435455756,-0.08679665738161568,-0.03252308912686275,-0.012131715771230511,-0.03284832964730533,-0.042785515320334255,0.004110393423370606,-0.0020178725857595836,0.020926756352765308,-0.0029197080291970545,-0.039381153305203975,0.013254786450662692,0.0284005979073243,0.0,-0.015850144092218965,-0.06052269601100413,0.0,0.0,-0.06052269601100413,,,,,,,-0.056629834254143696,-0.010144927536231862,19.0,2.0,0.0015313935681469104,5.0,5.0,0.00043923865300146415,5.0,0.8108108108108109,0.4225352112676056,0.017569546120058566,0.02457644844174859,0.010594694606154741,0.0029069767441860517,0.00589101620029453,1.948101292248596,0.5149180809555591,0.5292427061155868,0.4166666666666667,0.010248901903367497,0.0,0.007320644216691069,0.2690839694656488,-0.3507326007326007,-0.0306482852911017,0.0,0.4166666666666667,6.0,-0.0744125326370757,-0.2720178372352285,-0.2782568264434863,-0.3745421245421245,3.0,0.0009486342456963,-0.0494797050513404,-0.0549927641099855
000250_20251226,000250,삼천당제약,2025-12-26,EXTENDED,TOO_EXTENDED,,RECENT_SYSTEMATIC,AMBIGUOUS_STRUCTURE,OK,0,1068,2025-12-26,227200.0,226100.0,219398.33333333334,206332.5,187865.5,-0.027288732394366244,-0.022556390977443663,0.007300268157612866,0.07108671682842016,0.17637352254671557,0.0048651039363114545,0.030545658961250055,0.06332416528338158,-0.003945637878123631,0.002549606473783328,-0.019955654101995512,-0.0675105485232067,0.054892601431980825,0.09885057471264358,0.09885057471264358,1.0,-0.1124497991967871,-0.1124497991967871,0.0,0.0,-0.1124497991967871,11.0,-0.08995815899581594,-0.11087866108786615,0.0,0.0,1.0,-0.1124497991967871,-0.0961145194274029,11.0,1.0,-0.040632054176072185,0.0,13.0,-0.009728506787330317,4.0,0.2328767123287671,0.37777777777777777,0.04751131221719457,0.06383322559793148,0.03658635845542658,0.0045977011494253706,0.012552301255230214,1.3369541220667727,0.5518445983214986,0.488501451931169,0.8095238095238095,0.011312217194570135,0.00904977375565611,0.027149321266968326,0.7483059051306873,-0.1936685288640596,0.4348834640450678,1.0,0.3333333333333333,7.0,0.1252598752598752,-0.1863529411764706,1.1026542441980776,-0.1769087523277467,6.0,0.0077240227545534,0.0656150748993422,0.0277078085642317
000370_20250509,000370,한화손해보험,2025-05-09,SETUP,BORDERLINE_TRIGGER,,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,PARTIAL,6,912,2025-05-09,4004.0,3912.0,4015.0833333333335,4125.291666666667,4587.7,-0.008491508491508482,0.014826175869120606,-0.01122849255930769,-0.03764380296342695,-0.13464263138391785,0.023517382413087873,-0.025674020879599913,-0.026715282757784786,-0.003732271709380397,0.002884060757546658,-0.018541409147095234,0.006337135614702172,0.060080106809078826,0.029003783102143688,0.034220532319391594,0.0,-0.03406326034063256,-0.03406326034063256,0.0,0.0,-0.03406326034063256,,,,,,,-0.03406326034063256,-0.03406326034063256,4.0,1.0,0.003816793893129722,6.0,19.0,0.0007556675062972292,4.0,0.2222222222222222,0.7021276595744681,0.011335012594458438,0.01943145016192875,0.014127825063745493,0.005037783375314797,0.005037783375314797,1.1783988726240688,-0.14712226604021184,0.5227782331068151,0.5555555555555556,0.005037783375314861,0.0,0.006297229219143577,0.1947565543071161,-0.3451043338683788,-0.0855862165569407,0.0,0.5,4.0,0.0036900369003689,,,-0.2059999999999999,8.0,-0.0045063667934513,-0.025183408577878,0.0357142857142858
000650_20250926,000650,천일고속,2025-09-26,WATCH,TOO_EARLY,,RECENT_SYSTEMATIC,AMBIGUOUS_STRUCTURE,PARTIAL,6,1009,2025-09-26,40400.0,40812.5,41681.666666666664,40978.333333333336,39638.5,-0.004950495049504955,-0.015007656967840788,-0.035547203006917494,-0.01899377719933304,0.014165520895089267,-0.010107197549770297,-0.02085249310248305,0.017163541709033003,-0.0014829461196242955,-0.001590116812427378,-0.007407407407407418,-0.01831501831501836,-0.031325301204819245,0.011194029850746245,0.023631840796019876,0.0,-0.03481392557022811,-0.06293706293706292,0.0,0.0,-0.06293706293706292,,,,,,,-0.049645390070921946,-0.021897810218978075,19.0,1.0,-0.0024968789013732895,0.0,0.0,-0.0006218905472636816,3.0,0.1724137931034483,0.10638297872340426,0.021144278606965175,0.01990049751243781,0.008486832484927069,-0.006165228113440224,0.008610086100861003,1.7617526243724326,0.43024390243902433,0.4316205533596838,0.29411764705882354,0.0024875621890547263,0.012437810945273632,0.006218905472636816,0.2065217391304347,-0.2110266159695817,-0.050614812696597,0.0,0.5,6.0,0.022167487684729,,-0.2138034215196866,-0.1446808510638297,5.0,-0.0003886324993928,0.0164621628821712,0.0088383838383838
000650_20251226,000650,천일고속,2025-12-26,EXTENDED,TOO_EXTENDED,,RECENT_SYSTEMATIC,FAILED_BREAKOUT,OK,0,1065,2025-12-26,336700.0,349920.0,144964.16666666666,93402.5,71895.5,0.06920106920106917,0.028806584362139898,1.483372327644188,2.85428655549905,4.007267492402167,-0.037780064014631964,1.4138379024701506,0.5520373294790466,-0.04210526315789476,0.03736863169441018,-0.17050691244239635,-0.004149377593360981,2.336422613531047,0.3285198555956679,0.651624548736462,0.0,-0.25311203319502074,-0.30501930501930496,0.0,0.0,-0.30501930501930496,15.0,-0.09771986970684043,-0.17263843648208466,0.9333333333333333,14.0,0.0,-0.30501930501930496,-0.19732441471571904,14.0,3.0,-0.26801152737752165,3.0,18.0,0.006666666666666667,5.0,0.4649122807017544,0.6020151133501259,0.11944444444444445,0.23720238095238097,0.18026630086874867,0.036684782608695565,0.036684782608695565,0.5055704830846389,0.45301132652122744,0.7747493406063727,0.0,0.059722222222222225,0.059722222222222225,0.0,1.0,0.0,3.66526938725188,1.0,0.4166666666666667,7.0,4.698795180722891,0.0739957716701902,5.26934681242898,-0.3050193050193049,4.0,0.0972434915773354,0.6878568853982889,5.684782608695652
000700_20260109,000700,유수홀딩스,2026-01-09,SETUP,BORDERLINE_TRIGGER,LOW,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,OK,0,1076,2026-01-09,5714.0,5969.0,5764.666666666667,5817.666666666667,5793.15,0.00630031501575079,-0.036689562740827575,-0.0025442349947959464,-0.01163123818254741,-0.007448452051129317,-0.04272072373931979,0.035445819359315234,-0.009110181630665237,0.0035124692658938805,-0.0015890273479970407,0.017699115044247815,-0.04485049833887045,-0.03198653198653201,0.014109347442680775,0.07787610619469021,1.0,-0.06045751633986929,-0.08439490445859876,0.0,0.0,-0.08439490445859876,17.0,-0.07072368421052633,-0.07236842105263153,0.4117647058823529,7.0,1.0,-0.08439490445859876,-0.020442930153321992,14.0,2.0,0.0,5.0,5.0,-0.006434782608695652,4.0,0.2391304347826087,0.171875,0.02608695652173913,0.02857142857142857,0.016823179856811758,0.005291005291005346,0.015706806282722585,0.8186651324355774,-0.19546538151508397,0.3831677643658701,0.6666666666666666,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.4588859416445623,-0.1114503816793893,0.0398272909997767,1.0,0.5833333333333334,5.0,0.0210526315789474,,-0.0321087404788957,-0.1221374045801526,7.0,0.001278385197645,-0.0016410053084869,0.0386740331491712
000810_20180629,000810,삼성화재,2018-06-29,SETUP,TOO_EARLY,LOW,HISTORICAL_COVERAGE,RANGE_BOUND,OK,0,1006,2018-06-29,264600.0,262550.0,264750.0,272245.8333333333,271822.5,-0.0022675736961451642,0.005522757569986769,-0.0028328611898017497,-0.030288189289704448,-0.02877797091852219,0.007808036564463938,-0.008309726156751629,-0.02753332619109561,-0.0007552870090634656,0.0023861792497852363,-0.0037735849056603765,0.013435700575815668,0.0497017892644136,0.013307984790874583,0.041984732824427384,0.0,-0.03825136612021862,-0.03825136612021862,0.0,0.0,-0.03825136612021862,8.0,-0.02420856610800748,-0.03724394785847296,0.125,1.0,1.0,-0.03825136612021862,-0.02402957486136781,8.0,2.0,0.011627906976744207,9.0,18.0,0.0022727272727272726,5.0,0.36363636363636365,0.58,0.03409090909090909,0.028409090909090908,0.014598718310297645,0.013133208255159401,0.013133208255159401,0.9300529637775,-0.3258723779117687,0.5029265832140976,0.2777777777777778,0.022727272727272728,0.001893939393939394,0.00946969696969697,0.008695652173913,-0.1853658536585366,-0.0865304261946365,0.0,0.5833333333333334,4.0,-0.1332179930795848,,-0.0641549766199064,-0.1126050420168067,7.0,-0.0012472382581427,-0.0272954905156734,0.0180360721442884
000850_20250919,000850,화천기공,2025-09-19,WATCH,TOO_EARLY,,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,PARTIAL,6,1004,2025-09-19,31890.0,30852.5,31945.833333333332,30934.166666666668,29539.25,0.0065851364063969076,0.04043432460902685,0.004825877135776757,0.037687562296274235,0.08668974330763302,0.03362774491532283,-0.03422459893048124,0.03270386034858963,0.004093198992443314,0.003170216225004019,0.020667726550079424,0.06115702479338836,0.06467661691542292,0.011023622047244164,0.06115702479338836,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,-0.0031055900621117516,-0.0031055900621117516,0.0,3.0,0.03161397670549082,9.0,16.0,0.005451713395638629,8.0,0.9534883720930233,0.9583333333333334,0.01557632398753894,0.019915442812639076,0.007009393061946734,0.0,0.007874015748031482,1.1586534888905402,0.01467147457953688,0.8799920819517989,0.8,0.004672897196261682,0.003115264797507788,0.00778816199376947,0.3027522935779816,-0.2648845686512758,0.0046357157683525,0.0,0.3333333333333333,6.0,-0.0396825396825396,-0.1130952380952381,-0.0011590910858894,-0.0762589928057554,6.0,0.0024168984240497,0.0345064699631181,-0.0033444816053511
001210_20250314,001210,금호전기,2025-03-14,WATCH,NO_SETUP,,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,PARTIAL,6,875,2025-03-14,3463.0,3727.0,4250.083333333333,4039.4583333333335,3845.525,0.012128212532486193,-0.059565334048832796,-0.17531028803356796,-0.13230940617038178,-0.08855097808491685,-0.07083445130131472,-0.12307601811729174,0.05214189196158725,0.0008670520231213175,-0.009171872923036006,0.004297994269341077,-0.07275132275132279,-0.16448152562574492,0.027737226277372296,0.039416058394160514,0.0,-0.09781209781209776,-0.17041420118343198,0.0,0.0,-0.17041420118343198,,,,,,,-0.16348448687350836,-0.01128349788434413,19.0,3.0,-0.004524886877828038,3.0,3.0,-0.007417974322396576,5.0,0.4270833333333333,0.2303370786516854,0.015691868758915834,0.046464234766659875,0.020125965699550472,-0.0028409090909090606,0.026162790697674465,0.125081289527627,-0.6487853884366177,0.19664062741223332,0.8888888888888888,0.0014265335235378032,0.0,0.011412268188302425,0.1361079865016873,-0.4736842105263158,-0.1374335611237661,0.0,0.6666666666666666,4.0,0.1269841269841269,-0.3373493975903614,,-0.480355819125278,5.0,-0.0011554595463564,0.0531036446469248,-0.1592356687898088
001260_20250926,001260,남광토건,2025-09-26,WATCH,NO_SETUP,,PATTERN_A_HISTORICAL_CONTEXT,PATTERN_A_PRE_TRANSITION,PARTIAL,6,1009,2025-09-26,7962.0,8378.5,8940.333333333334,8887.833333333334,8550.6,-0.024114544084400946,-0.07262636510115172,-0.13090488796092625,-0.12577118532825782,-0.09129183916918115,-0.04971056871755086,-0.06284254874911455,0.00590695145048481,-0.0007530120481927804,-0.008226799242424199,-0.0038461538461538325,-0.06272617611580222,-0.15174672489082974,0.05920205920205923,0.05920205920205923,0.0,-0.09334889148191361,-0.18210526315789477,0.0,0.0,-0.18210526315789477,,,,,,,-0.18210526315789477,-0.05818181818181822,17.0,2.0,-0.0012870012870013214,4.0,4.0,-0.004890604890604891,4.0,0.018518518518518517,0.005747126436781609,0.023166023166023165,0.03456517742232028,0.019729424434647695,-0.005037783375314908,0.011249999999999982,0.4518253262515321,-0.14362571213587016,0.3056550025022135,0.06666666666666667,0.01673101673101673,0.001287001287001287,0.001287001287001287,0.5319148936170213,-0.2516339869281045,0.2044707429322814,1.0,0.4166666666666667,7.0,0.0292134831460673,-0.1958549222797927,-0.138948453265513,-0.3651960784313726,4.0,0.0027430377981307,0.0060229625447016,-0.125140924464487
