ticker,name,fast_trigger_event_date,fast_trigger_event_sequence,fast_trigger_event_status,fast_score_at_event,fast_monthly_state_at_event,fast_daily_risk_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_was_active_before_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_days,lead_weeks,analysis_end,censor_status
000050,경방,2025-04-25,1,OBSERVED,64.63,EARLY_REGIME,NORMAL,READY,False,NO,,,2025-12-12,FAST_EARLIER_PATTERN_A_LATER,231.0,33.0,2026-08-14,NOT_CENSORED
000050,경방,2025-12-12,2,OBSERVED,66.44,PERMITTED_REGIME,EXTREME,READY,True,NO,,,2025-12-12,SAME_WEEK,0.0,0.0,2026-08-14,NOT_CENSORED
000250,삼천당제약,2024-03-29,1,OBSERVED,56.75,PERMITTED_REGIME,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-08-14,DATA_UNAVAILABLE
000250,삼천당제약,2024-06-21,2,OBSERVED,72.07,PERMITTED_REGIME,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-08-14,DATA_UNAVAILABLE
000250,삼천당제약,2024-07-05,3,OBSERVED,63.55,LATE_OR_EXTENDED_REGIME,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-08-14,DATA_UNAVAILABLE
000250,삼천당제약,2025-02-07,4,OBSERVED,65.5,PERMITTED_REGIME,EXTREME,READY,False,NO,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,,2026-08-14,RIGHT_CENSORED
000250,삼천당제약,2025-03-07,5,OBSERVED,77.82,PERMITTED_REGIME,NORMAL,READY,False,NO,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,,2026-08-14,RIGHT_CENSORED
000250,삼천당제약,2025-07-25,6,OBSERVED,76.94,PERMITTED_REGIME,NORMAL,READY,False,NO,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,,2026-08-14,RIGHT_CENSORED
000370,한화손해보험,2024-02-16,1,OBSERVED,73.75,PERMITTED_REGIME,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-05-08,DATA_UNAVAILABLE
000370,한화손해보험,2025-06-13,2,OBSERVED,72.74,PERMITTED_REGIME,ELEVATED,READY,True,YES,2025-01-24,,2025-06-13,SAME_WEEK,0.0,0.0,2026-05-08,NOT_CENSORED
000700,유수홀딩스,2025-02-21,1,OBSERVED,62.38,EARLY_REGIME,NORMAL,READY,False,NO,,,2025-06-13,FAST_EARLIER_PATTERN_A_LATER,112.0,16.0,2026-08-14,NOT_CENSORED
000700,유수홀딩스,2025-08-08,2,OBSERVED,79.8,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-08-01,2025-06-13,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
000700,유수홀딩스,2026-02-13,3,OBSERVED,74.05,PERMITTED_REGIME,ELEVATED,READY,True,YES,2025-08-01,2025-06-13,2026-02-13,SAME_WEEK,0.0,0.0,2026-08-14,NOT_CENSORED
000700,유수홀딩스,2026-03-13,4,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-03-06,2026-02-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
000700,유수홀딩스,2026-04-10,5,OBSERVED,75.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-04-03,2026-02-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
000810,삼성화재,2018-09-28,1,OBSERVED,79.3,PERMITTED_REGIME,NORMAL,READY,True,YES,2018-09-21,2018-08-31,,PATTERN_A_ALREADY_ACTIVE,,,2019-06-28,NOT_CENSORED
000810,삼성화재,2019-02-22,2,OBSERVED,79.3,PERMITTED_REGIME,NORMAL,READY,False,YES,2018-10-26,2018-08-31,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2019-06-28,NOT_CENSORED
000850,화천기공,2025-06-13,1,OBSERVED,79.3,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2025-07-04,FAST_EARLIER_PATTERN_A_LATER,21.0,3.0,2026-08-14,NOT_CENSORED
000850,화천기공,2025-09-12,2,OBSERVED,70.3,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-08-08,2025-07-04,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
000850,화천기공,2025-12-05,3,OBSERVED,80.24,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-08-08,2025-07-04,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
000850,화천기공,2026-01-23,4,OBSERVED,77.99,PERMITTED_REGIME,ELEVATED,READY,True,YES,2026-01-16,2025-12-12,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001210,금호전기,2023-06-30,1,OBSERVED,,UNAVAILABLE,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-13,DATA_UNAVAILABLE
001210,금호전기,2025-01-10,2,OBSERVED,70.06,PERMITTED_REGIME,NORMAL,READY,True,NO,,,2025-01-10,SAME_WEEK,0.0,0.0,2026-03-13,NOT_CENSORED
001260,남광토건,2024-11-15,1,OBSERVED,60.25,EARLY_REGIME,EXTREME,READY,False,NO,,,2024-11-22,FAST_EARLIER_PATTERN_A_LATER,7.0,1.0,2026-08-14,NOT_CENSORED
