rank,ticker,name,market,market_cap,market_cap_eok,entry_found,entry_grade,signal_date,signal_year,execution_date,entry_open,fast_score_at_entry,fast_score_status,fast_stage_at_entry,monthly_regime_at_entry,daily_risk_at_entry,pattern_a_score_at_entry,pattern_a_stage_at_entry,pattern_a_candidate_state_at_entry,weeks_from_window_start_to_entry,return_4w,return_8w,return_12w,return_26w,mfe_4w,mfe_8w,mfe_12w,mfe_26w,mae_4w,mae_8w,mae_12w,mae_26w,followup_status_4w,followup_status_8w,followup_status_12w,followup_status_26w,no_entry_reason
1,005930,삼성전자,KOSPI,1604803477896000,16048034.78,True,Grade A,2023-02-17,2023,2023-02-20,62900.0,73.85,READY,TRIGGER,PERMITTED_REGIME,NORMAL,32.994155751045476,weak,non_candidate,78.9,-2.54,3.5,8.74,6.68,0.16,5.88,8.74,17.01,-6.2,-6.2,-6.2,-6.2,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
2,000660,SK하이닉스,KOSPI,1201659940425000,12016599.4,True,Grade A,2022-01-07,2022,2022-01-10,126500.0,76.04,READY,TRIGGER,PERMITTED_REGIME,NORMAL,83.9890294708343,progressed,non_candidate,20.9,-1.58,-1.58,-8.3,-25.06,2.77,5.93,5.93,5.93,-12.25,-12.25,-12.25,-31.78,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
3,402340,SK스퀘어,KOSPI,152279977444000,1522799.77,True,Grade A,2023-12-15,2023,2023-12-18,50500.0,80.88,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,121.9,-2.87,37.23,56.44,106.34,4.55,46.14,60.4,111.09,-7.52,-7.52,-7.52,-7.52,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
4,009150,삼성전기,KOSPI,116372778368000,1163727.78,True,Grade A,2022-01-07,2022,2022-01-10,185500.0,74.99,READY,TRIGGER,PERMITTED_REGIME,NORMAL,77.34269646143092,progressed,non_candidate,20.9,-6.74,-10.78,-12.94,-27.49,4.85,4.85,4.85,4.85,-9.16,-13.48,-19.14,-32.61,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
5,005380,현대차,KOSPI,92755267998000,927552.68,True,Grade A,2023-04-07,2023,2023-04-10,186000.0,81.55,READY,TRIGGER,PERMITTED_REGIME,NORMAL,28.329232918732878,transition,candidate,85.9,12.1,5.97,9.68,-1.34,13.71,13.71,13.71,13.71,-0.97,-0.97,-0.97,-1.83,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
6,373220,LG에너지솔루션,KOSPI,86463000000000,864630.0,True,Grade A,2025-10-31,2025,2025-11-03,480000.0,75.31,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,38.37883223121289,transition,candidate,219.9,-15.0,-20.1,-14.17,-0.73,3.12,3.12,3.12,3.12,-15.0,-23.85,-25.31,-27.92,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
7,207940,삼성바이오로직스,KOSPI,71658392148000,716583.92,True,Grade A,2022-07-29,2022,2022-08-01,1261285.0,79.1,READY,TRIGGER,PERMITTED_REGIME,NORMAL,77.54370184436429,transition,candidate,49.9,-1.17,-5.83,2.22,-5.72,7.58,7.58,7.58,7.58,-4.08,-13.65,-13.65,-13.65,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
8,032830,삼성생명,KOSPI,60200000000000,602000.0,True,Grade A,2022-05-27,2022,2022-05-30,69500.0,69.35,READY,TRIGGER,PERMITTED_REGIME,NORMAL,92.5415126148046,transition,candidate,40.9,-7.34,-14.24,-10.5,-0.29,1.15,1.15,1.15,5.61,-9.78,-19.42,-19.42,-19.42,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
9,028260,삼성물산,KOSPI,59839837389000,598398.37,True,Grade A,2022-07-01,2022,2022-07-04,123000.0,72.04,READY,TRIGGER,PERMITTED_REGIME,NORMAL,83.41455772521387,transition,candidate,45.9,-2.03,-0.41,-15.85,-4.07,0.41,2.03,2.03,3.25,-10.16,-10.16,-17.07,-17.07,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
10,012450,한화에어로스페이스,KOSPI,59813545160000,598135.45,True,Grade A,2022-04-15,2022,2022-04-18,54292.0,78.49,READY,TRIGGER,PERMITTED_REGIME,NORMAL,59.57832800233162,progressed,non_candidate,34.9,-0.75,10.88,-16.32,10.7,8.07,14.07,14.07,62.86,-4.13,-5.63,-18.86,-23.36,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
11,105560,KB금융,KOSPI,59764883179000,597648.83,True,Grade A,2022-03-25,2022,2022-03-28,60000.0,78.38,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,82.24540202389555,progressed,non_candidate,31.9,3.17,-3.67,-13.17,-27.17,3.17,3.17,3.17,3.17,-4.83,-6.67,-14.5,-28.17,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
12,000270,기아,KOSPI,55321521816600,553215.22,True,Grade A,2023-03-31,2023,2023-04-03,81500.0,79.3,READY,TRIGGER,PERMITTED_REGIME,NORMAL,52.300713514133164,transition,candidate,84.9,3.68,4.54,8.59,3.31,10.06,12.76,12.76,12.76,-2.45,-2.45,-2.45,-6.01,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
13,329180,HD현대중공업,KOSPI,53530224750000,535302.25,True,Grade A,2024-04-26,2024,2024-04-29,140400.0,78.06,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,140.9,-4.56,4.2,17.02,41.1,3.99,8.69,24.64,58.48,-9.69,-10.33,-10.33,-10.33,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
14,034020,두산에너빌리티,KOSPI,52910350659600,529103.51,True,Grade A,2024-06-21,2024,2024-06-24,21100.0,77.82,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,148.9,-4.27,-11.14,-13.93,-16.73,18.48,18.48,18.48,18.48,-8.91,-28.2,-28.2,-28.2,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
15,055550,신한지주,KOSPI,50418955668600,504189.56,True,Grade A,2022-02-11,2022,2022-02-14,40750.0,78.25,READY,TRIGGER,PERMITTED_REGIME,NORMAL,44.55266986083163,base,non_candidate,25.9,-8.34,-1.23,3.68,-11.41,1.96,2.45,5.4,6.63,-10.92,-10.92,-10.92,-20.25,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
16,012330,현대모비스,KOSPI,49630722901000,496307.23,True,Grade A,2023-09-22,2023,2023-09-25,239500.0,76.37,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,109.9,-8.14,-2.92,-3.55,-2.09,3.13,3.13,3.13,12.73,-11.48,-13.36,-13.36,-17.33,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
17,068270,셀트리온,KOSPI,46756052376000,467560.52,True,Grade B,2023-12-22,2023,2023-12-26,164237.0,67.49,READY,TRIGGER,PERMITTED_REGIME,ELEVATED,11.026766506790452,transition,candidate,122.9,-2.72,-3.74,-5.23,0.8,28.67,28.67,28.67,28.67,-7.26,-8.01,-8.01,-9.4,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
18,034730,SK,KOSPI,42414081255000,424140.81,True,Grade A,2024-02-23,2024,2024-02-26,199800.0,72.74,READY,TRIGGER,PERMITTED_REGIME,NORMAL,13.947461746647507,transition,candidate,131.9,-10.61,-18.22,-25.53,-28.33,0.05,0.05,0.05,0.05,-10.76,-23.22,-25.68,-35.74,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
19,006400,삼성SDI,KOSPI,41582133480000,415821.33,True,Grade B,2026-01-30,2026,2026-02-02,380000.0,70.49,READY,TRIGGER,PERMITTED_REGIME,ELEVATED,0.0,weak,non_candidate,232.9,22.63,6.71,68.68,35.79,24.61,24.61,80.53,90.26,-6.45,-8.29,-8.29,-10.13,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
20,086790,하나금융지주,KOSPI,36490910484000,364909.1,True,Grade A,2023-01-06,2023,2023-01-09,48800.0,77.99,READY,TRIGGER,PERMITTED_REGIME,NORMAL,92.27479474261521,early_trend,candidate,72.9,-0.41,-9.84,-16.6,-19.47,9.22,9.22,9.22,9.22,-3.38,-11.27,-18.44,-23.16,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
21,035420,NAVER,KOSPI,35790889380000,357908.89,True,Grade A,2025-02-07,2025,2025-02-10,229500.0,72.74,READY,TRIGGER,PERMITTED_REGIME,NORMAL,76.75369573478496,transition,candidate,181.9,-7.19,-13.81,-13.99,-3.27,1.09,1.09,1.09,28.54,-10.89,-17.56,-23.22,-23.22,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
22,066570,LG전자,KOSPI,35020197170000,350201.97,True,Grade A,2023-03-03,2023,2023-03-06,112000.0,76.04,READY,TRIGGER,PERMITTED_REGIME,NORMAL,0.0,weak,non_candidate,80.9,2.95,-2.41,9.91,-11.79,8.39,8.39,12.05,18.21,-2.68,-5.09,-5.09,-12.86,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
23,010120,LS ELECTRIC,KOSPI,30975000000000,309750.0,True,Grade A,2024-04-05,2024,2024-04-08,23160.0,77.32,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,137.9,38.0,84.37,90.41,38.43,55.87,110.71,110.71,137.05,-1.64,-1.64,-1.64,-1.64,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
24,042660,한화오션,KOSPI,29354403145200,293544.03,True,Grade A,2023-04-21,2023,2023-04-24,24698.0,77.32,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,54.65665368393905,transition,candidate,87.9,3.06,35.43,58.27,-3.23,11.69,45.68,79.5,79.5,-11.87,-11.87,-11.87,-11.87,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
25,267260,HD현대일렉트릭,KOSPI,28945849405000,289458.49,True,Grade A,2024-03-08,2024,2024-03-11,127400.0,77.82,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,133.9,52.59,80.53,136.26,87.6,58.56,108.4,146.47,193.96,-0.47,-0.47,-0.47,-0.47,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
26,298040,효성중공업,KOSPI,27544714792000,275447.15,True,Grade B,2024-03-08,2024,2024-03-11,231500.0,72.81,PARTIAL,TRIGGER,PERMITTED_REGIME,ELEVATED,,,non_candidate,133.9,30.89,24.62,90.93,7.34,40.39,54.21,102.59,102.59,-4.32,-4.32,-4.32,-4.32,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
