panel,comparison,first,second,entry_stage,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,loss_30_count,loss_50_count,deep_loss_generalizable
SIMPLE_P1,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,1110,21,62.8451,72.6419,-9.7968,UNFAVORABLE,45.495,38.11,7.385,FAVORABLE,47.027,42.8571,4.1699,FAVORABLE,20.1802,23.8095,-3.6293,UNFAVORABLE,1.8919,0.0,1.8919,UNFAVORABLE,0.5405,0.0,0.5405,UNFAVORABLE,0.1802,0.0,0.1802,UNFAVORABLE,-8.9318,-3.6036,5.3153,0.9009,0.4748,-0.0252,2.0,5.0,EVALUABLE,21,6,True
SIMPLE_P1,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,1110,60,62.8451,86.6682,-23.8231,UNFAVORABLE,45.495,70.48,-24.985,UNFAVORABLE,47.027,60.0,-12.973,UNFAVORABLE,20.1802,30.0,-9.8198,UNFAVORABLE,1.8919,0.0,1.8919,UNFAVORABLE,0.5405,0.0,0.5405,UNFAVORABLE,0.1802,0.0,0.1802,UNFAVORABLE,-5.3604,-6.9369,3.6486,0.9009,0.4175,-0.0825,0.0,7.0,EVALUABLE,21,6,True
SIMPLE_P2-1,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,316,2,45.1593,51.195,-6.0357,UNFAVORABLE,30.03,51.195,-21.165,UNFAVORABLE,33.2278,50.0,-16.7722,UNFAVORABLE,13.2911,0.0,13.2911,FAVORABLE,0.9494,0.0,0.9494,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-17.7215,-50.0,6.6456,0.9494,0.3259,-0.1741,1.0,4.0,COUNTS_ONLY,3,0,False
SIMPLE_P2-1,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,316,11,45.1593,62.3918,-17.2325,UNFAVORABLE,30.03,63.95,-33.92,UNFAVORABLE,33.2278,54.5455,-21.3177,UNFAVORABLE,13.2911,27.2727,-13.9816,UNFAVORABLE,0.9494,0.0,0.9494,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-8.6306,-4.5455,6.6456,0.9494,0.4485,-0.0515,0.0,5.0,DESCRIPTIVE,3,0,False
SIMPLE_P2-2,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,505,4,58.3898,56.57,1.8198,FAVORABLE,40.39,51.195,-10.805,UNFAVORABLE,42.5743,50.0,-7.4257,UNFAVORABLE,18.8119,25.0,-6.1881,UNFAVORABLE,2.1782,0.0,2.1782,UNFAVORABLE,0.5941,0.0,0.5941,UNFAVORABLE,0.0,0.0,0.0,TIE,-17.4257,-17.3762,7.5248,1.3861,0.45,-0.05,1.0,5.0,COUNTS_ONLY,11,3,False
SIMPLE_P2-2,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,505,21,58.3898,86.7505,-28.3607,UNFAVORABLE,40.39,68.73,-28.34,UNFAVORABLE,42.5743,66.6667,-24.0924,UNFAVORABLE,18.8119,28.5714,-9.7595,UNFAVORABLE,2.1782,0.0,2.1782,UNFAVORABLE,0.5941,0.0,0.5941,UNFAVORABLE,0.0,0.0,0.0,TIE,-12.6638,-13.8048,7.5248,1.3861,0.3948,-0.1052,0.0,6.0,EVALUABLE,11,3,False
SIMPLE_P3-1,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,115,2,52.0911,51.195,0.8961,FAVORABLE,32.59,51.195,-18.605,UNFAVORABLE,40.8696,50.0,-9.1304,UNFAVORABLE,12.1739,0.0,12.1739,FAVORABLE,1.7391,0.0,1.7391,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-9.5652,-44.3478,4.3478,1.7391,0.387,-0.113,2.0,3.0,COUNTS_ONLY,2,0,False
SIMPLE_P3-1,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,115,5,52.0911,56.352,-4.2609,UNFAVORABLE,32.59,68.73,-36.14,UNFAVORABLE,40.8696,60.0,-19.1304,UNFAVORABLE,12.1739,20.0,-7.8261,UNFAVORABLE,1.7391,0.0,1.7391,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-9.5652,-4.3478,4.3478,1.7391,0.4487,-0.0513,0.0,5.0,COUNTS_ONLY,2,0,False
SIMPLE_P3-2,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,294,4,69.7413,56.57,13.1713,FAVORABLE,52.735,51.195,1.54,FAVORABLE,52.0408,50.0,2.0408,FAVORABLE,21.0884,25.0,-3.9116,UNFAVORABLE,2.0408,0.0,2.0408,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-13.2653,-10.034,6.4626,1.0204,0.5085,0.0085,3.0,2.0,COUNTS_ONLY,6,0,False
SIMPLE_P3-2,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,294,13,69.7413,82.2777,-12.5364,UNFAVORABLE,52.735,75.59,-22.855,UNFAVORABLE,52.0408,69.2308,-17.19,UNFAVORABLE,21.0884,23.0769,-1.9885,UNFAVORABLE,2.0408,0.0,2.0408,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-13.2653,-11.9571,6.4626,1.0204,0.4037,-0.0963,0.0,5.0,DESCRIPTIVE,6,0,False
SIMPLE_POOLED_DEDUP,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,1228,22,61.9886,71.5359,-9.5473,UNFAVORABLE,45.29,39.78,5.51,FAVORABLE,46.3355,40.9091,5.4264,FAVORABLE,19.8697,22.7273,-2.8576,UNFAVORABLE,1.873,0.0,1.873,UNFAVORABLE,0.4886,0.0,0.4886,UNFAVORABLE,0.1629,0.0,0.1629,UNFAVORABLE,-8.9724,-4.9896,5.2932,0.8958,0.4739,-0.0261,2.0,5.0,EVALUABLE,23,6,True
SIMPLE_POOLED_DEDUP,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,1228,63,61.9886,86.3483,-24.3597,UNFAVORABLE,45.29,72.23,-26.94,UNFAVORABLE,46.3355,61.9048,-15.5693,UNFAVORABLE,19.8697,30.1587,-10.289,UNFAVORABLE,1.873,0.0,1.873,UNFAVORABLE,0.4886,0.0,0.4886,UNFAVORABLE,0.1629,0.0,0.1629,UNFAVORABLE,-5.5814,-8.2364,3.7059,0.8958,0.4102,-0.0898,0.0,7.0,EVALUABLE,23,6,True
REALISTIC_P2-1_ELIGIBLE,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,56,1,42.3577,48.31,-5.9523,UNFAVORABLE,25.375,48.31,-22.935,UNFAVORABLE,32.1429,0.0,32.1429,FAVORABLE,12.5,0.0,12.5,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-14.2857,-57.1429,3.5714,0.0,0.3393,-0.1607,2.0,2.0,COUNTS_ONLY,0,0,False
REALISTIC_P2-1_ELIGIBLE,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,56,1,42.3577,2.61,39.7477,FAVORABLE,25.375,2.61,22.765,FAVORABLE,32.1429,0.0,32.1429,FAVORABLE,12.5,0.0,12.5,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-14.2857,42.8571,3.5714,0.0,0.8571,0.3571,4.0,0.0,COUNTS_ONLY,0,0,False
REALISTIC_P2-1_FILLED,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,25,1,47.4744,48.31,-0.8356,UNFAVORABLE,24.35,48.31,-23.96,UNFAVORABLE,28.0,0.0,28.0,FAVORABLE,16.0,0.0,16.0,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-8.0,-64.0,4.0,0.0,0.32,-0.18,2.0,2.0,COUNTS_ONLY,0,0,False
REALISTIC_P2-1_FILLED,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTS_ONLY,0,0,False
REALISTIC_P2-2_ELIGIBLE,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,120,2,68.4248,83.655,-15.2302,UNFAVORABLE,53.19,83.655,-30.465,UNFAVORABLE,51.6667,50.0,1.6667,FAVORABLE,25.0,50.0,-25.0,UNFAVORABLE,1.6667,0.0,1.6667,UNFAVORABLE,0.8333,0.0,0.8333,UNFAVORABLE,0.0,0.0,0.0,TIE,-13.3333,-39.1667,5.0,0.8333,0.3542,-0.1458,1.0,5.0,COUNTS_ONLY,2,1,False
REALISTIC_P2-2_ELIGIBLE,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,120,4,68.4248,73.7,-5.2752,UNFAVORABLE,53.19,81.77,-28.58,UNFAVORABLE,51.6667,75.0,-23.3333,UNFAVORABLE,25.0,25.0,0.0,TIE,1.6667,0.0,1.6667,UNFAVORABLE,0.8333,0.0,0.8333,UNFAVORABLE,0.0,0.0,0.0,TIE,-13.3333,-14.1667,5.0,0.8333,0.4083,-0.0917,0.0,5.0,COUNTS_ONLY,2,1,False
REALISTIC_P2-2_FILLED,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,52,2,75.9565,83.655,-7.6985,UNFAVORABLE,49.61,83.655,-34.045,UNFAVORABLE,48.0769,50.0,-1.9231,UNFAVORABLE,30.7692,50.0,-19.2308,UNFAVORABLE,3.8462,0.0,3.8462,UNFAVORABLE,1.9231,0.0,1.9231,UNFAVORABLE,0.0,0.0,0.0,TIE,-13.4615,-44.2308,7.6923,1.9231,0.375,-0.125,0.0,6.0,COUNTS_ONLY,2,1,False
REALISTIC_P2-2_FILLED,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,52,2,75.9565,81.77,-5.8135,UNFAVORABLE,49.61,81.77,-32.16,UNFAVORABLE,48.0769,100.0,-51.9231,UNFAVORABLE,30.7692,0.0,30.7692,FAVORABLE,3.8462,0.0,3.8462,UNFAVORABLE,1.9231,0.0,1.9231,UNFAVORABLE,0.0,0.0,0.0,TIE,-13.4615,-44.2308,7.6923,1.9231,0.3269,-0.1731,1.0,5.0,COUNTS_ONLY,2,1,False
REALISTIC_P3-2_ELIGIBLE,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,91,2,76.2046,83.655,-7.4504,UNFAVORABLE,64.39,83.655,-19.265,UNFAVORABLE,62.6374,50.0,12.6374,FAVORABLE,24.1758,50.0,-25.8242,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-8.7912,-28.5714,2.1978,0.0,0.4011,-0.0989,1.0,3.0,COUNTS_ONLY,0,0,False
REALISTIC_P3-2_ELIGIBLE,PURE_TRANSITION_vs_BASE,PURE_NORMAL_CYCLE_TRANSITION,ORIGIN_BASE,TRANSITION,91,3,76.2046,97.3967,-21.1921,UNFAVORABLE,64.39,81.91,-17.52,UNFAVORABLE,62.6374,100.0,-37.3626,UNFAVORABLE,24.1758,33.3333,-9.1575,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-8.7912,-28.5714,2.1978,0.0,0.2784,-0.2216,0.0,4.0,COUNTS_ONLY,0,0,False
REALISTIC_P3-2_FILLED,PURE_TRANSITION_vs_NON_WBT,PURE_NORMAL_CYCLE_TRANSITION,NON_WBT_ORIGIN,TRANSITION,47,2,78.9326,83.655,-4.7224,UNFAVORABLE,64.39,83.655,-19.265,UNFAVORABLE,59.5745,50.0,9.5745,FAVORABLE,23.4043,50.0,-26.5957,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-8.5106,-36.1702,2.1277,0.0,0.4043,-0.0957,1.0,3.0,COUNTS_ONLY,0,0,False
