panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
SIMPLE_P1,ORIGIN_TRANSITION,1438,1311,59.225,42.64,13.06,83.16,84.897,797.0,60.7933,591.0,45.0801,249.0,18.9931,84.0,6.4073,29.0,2.2121,13.0,0.9916,7.0,0.5339,3.0,0.2288,1.7544,98.2456,361.1434,175.0,127.8903,89.03,-14.3386,-9.9,68.6652,42.39,EXIT4_SCORE_DRAWDOWN_GE_15=77.7%; EXIT3_PROGRESSED_TO_TRANSITION=14.0%; EXIT3_PROGRESSED_TO_WEAK=4.8%; NO_EXIT_BEFORE_CUTOFF=1.8%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.1%; EXIT3_PROGRESSED_TO_BASE=0.6%,23.0
SIMPLE_P1,ORIGIN_BASE,1438,80,79.985,61.715,24.4625,102.64,87.5,54.0,67.5,45.0,56.25,21.0,26.25,3.0,3.75,1.0,1.25,1.0,1.25,0.0,0.0,0.0,0.0,5.0,95.0,638.975,257.5,163.4859,106.935,-21.7109,-14.235,83.5009,47.115,EXIT4_SCORE_DRAWDOWN_GE_15=82.5%; EXIT3_PROGRESSED_TO_TRANSITION=8.8%; NO_EXIT_BEFORE_CUTOFF=5.0%; EXIT3_PROGRESSED_TO_WEAK=2.5%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.2%,4.0
SIMPLE_P1,ORIGIN_WEAK,1438,14,108.7571,64.5,11.7175,193.26,85.7143,8.0,57.1429,8.0,57.1429,5.0,35.7143,2.0,14.2857,1.0,7.1429,1.0,7.1429,1.0,7.1429,1.0,7.1429,7.1429,92.8571,699.5,147.0,251.6043,103.68,-23.9821,-10.685,142.8471,63.39,EXIT4_SCORE_DRAWDOWN_GE_15=92.9%; NO_EXIT_BEFORE_CUTOFF=7.1%,1.0
SIMPLE_P1,ORIGIN_PROGRESSED,1438,29,66.309,35.73,21.33,74.8,89.6552,17.0,58.6207,11.0,37.931,6.0,20.6897,1.0,3.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,526.0,345.0,169.6941,103.67,-16.1955,-13.03,103.3852,62.25,EXIT4_SCORE_DRAWDOWN_GE_15=51.7%; EXIT3_PROGRESSED_TO_TRANSITION=27.6%; EXIT3_PROGRESSED_TO_WEAK=10.3%; EXIT3_PROGRESSED_TO_EARLY_TREND=10.3%,0.0
SIMPLE_P1,ORIGIN_OTHER,1438,4,14.39,7.405,-6.54,28.335,75.0,1.0,25.0,1.0,25.0,0.0,0.0,1.0,25.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,132.75,97.0,58.6125,43.61,-18.5175,-10.805,44.2225,31.295,EXIT4_SCORE_DRAWDOWN_GE_15=75.0%; EXIT3_PROGRESSED_TO_WEAK=25.0%,0.0
SIMPLE_P1,PURE_NORMAL_CYCLE_TRANSITION,1438,1311,59.225,42.64,13.06,83.16,84.897,797.0,60.7933,591.0,45.0801,249.0,18.9931,84.0,6.4073,29.0,2.2121,13.0,0.9916,7.0,0.5339,3.0,0.2288,1.7544,98.2456,361.1434,175.0,127.8903,89.03,-14.3386,-9.9,68.6652,42.39,EXIT4_SCORE_DRAWDOWN_GE_15=77.7%; EXIT3_PROGRESSED_TO_TRANSITION=14.0%; EXIT3_PROGRESSED_TO_WEAK=4.8%; NO_EXIT_BEFORE_CUTOFF=1.8%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.1%; EXIT3_PROGRESSED_TO_BASE=0.6%,23.0
SIMPLE_P1,WEAK_BASE_TRANSITION_ORIGIN,1438,1405,60.9007,43.4,13.37,85.11,85.0534,859.0,61.1388,644.0,45.8363,275.0,19.573,89.0,6.3345,31.0,2.2064,15.0,1.0676,8.0,0.5694,4.0,0.2847,1.9929,98.0071,380.3345,179.0,131.1498,90.0,-14.8545,-10.07,70.2491,42.74,EXIT4_SCORE_DRAWDOWN_GE_15=78.1%; EXIT3_PROGRESSED_TO_TRANSITION=13.6%; EXIT3_PROGRESSED_TO_WEAK=4.6%; NO_EXIT_BEFORE_CUTOFF=2.0%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.1%; EXIT3_PROGRESSED_TO_BASE=0.6%,28.0
SIMPLE_P1,NON_WBT_ORIGIN,1438,33,60.0158,34.17,19.2,74.8,87.8788,18.0,54.5455,12.0,36.3636,6.0,18.1818,2.0,6.0606,1.0,3.0303,1.0,3.0303,0.0,0.0,0.0,0.0,0.0,100.0,478.3333,284.0,156.2297,96.96,-16.477,-13.03,96.2139,56.29,EXIT4_SCORE_DRAWDOWN_GE_15=54.5%; EXIT3_PROGRESSED_TO_TRANSITION=24.2%; EXIT3_PROGRESSED_TO_WEAK=12.1%; EXIT3_PROGRESSED_TO_EARLY_TREND=9.1%,0.0
SIMPLE_P2-1,ORIGIN_TRANSITION,426,393,41.3278,26.99,6.26,60.54,80.4071,189.0,48.0916,126.0,32.0611,48.0,12.2137,33.0,8.3969,4.0,1.0178,4.0,1.0178,1.0,0.2545,1.0,0.2545,2.2901,97.7099,188.117,131.0,99.4002,67.53,-11.1782,-9.54,58.0723,35.52,EXIT4_SCORE_DRAWDOWN_GE_15=81.9%; EXIT3_PROGRESSED_TO_TRANSITION=11.2%; EXIT3_PROGRESSED_TO_WEAK=3.8%; NO_EXIT_BEFORE_CUTOFF=2.3%; EXIT3_PROGRESSED_TO_BASE=0.5%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.3%,9.0
SIMPLE_P2-1,ORIGIN_BASE,426,23,45.9113,18.73,3.32,77.45,82.6087,11.0,47.8261,11.0,47.8261,4.0,17.3913,3.0,13.0435,1.0,4.3478,1.0,4.3478,0.0,0.0,0.0,0.0,0.0,100.0,138.0435,141.0,81.867,71.95,-14.307,-13.1,35.9557,32.81,EXIT4_SCORE_DRAWDOWN_GE_15=95.7%; EXIT3_PROGRESSED_TO_WEAK=4.3%,0.0
