panel,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,loss_30_count,loss_50_count,deep_loss_generalizable
SIMPLE_P1,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,1171,342,52.9544,32.4874,20.467,FAVORABLE,38.67,18.095,20.575,FAVORABLE,41.4176,27.7778,13.6398,FAVORABLE,15.2007,11.1111,4.0896,FAVORABLE,1.8787,16.6667,-14.788,FAVORABLE,0.2562,9.3567,-9.1005,FAVORABLE,0.2562,7.8947,-7.6385,FAVORABLE,20.3734,17.7915,-17.4864,-12.5963,0.6334,0.1334,7,0,EVALUABLE,79,35,True
SIMPLE_P1,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,267,342,95.6418,32.4874,63.1544,FAVORABLE,73.05,18.095,54.955,FAVORABLE,64.0449,27.7778,36.2671,FAVORABLE,38.5768,11.1111,27.4657,FAVORABLE,3.7453,16.6667,-12.9214,FAVORABLE,1.8727,9.3567,-7.484,FAVORABLE,0.3745,7.8947,-7.5202,FAVORABLE,25.7704,36.2639,-18.3586,-11.2031,0.7451,0.2451,7,0,EVALUABLE,67,37,True
SIMPLE_P1,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,1171,267,52.9544,95.6418,-42.6874,UNFAVORABLE,38.67,73.05,-34.38,UNFAVORABLE,41.4176,64.0449,-22.6273,UNFAVORABLE,15.2007,38.5768,-23.3761,UNFAVORABLE,1.8787,3.7453,-1.8666,FAVORABLE,0.2562,1.8727,-1.6165,FAVORABLE,0.2562,0.3745,-0.1183,FAVORABLE,-5.397,-18.4724,0.8722,-1.3932,0.3454,-0.1546,3,4,EVALUABLE,32,8,True
SIMPLE_P1,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,1171,3544,52.9544,-11.3047,64.2591,FAVORABLE,38.67,-16.0,54.67,FAVORABLE,41.4176,2.8499,38.5677,FAVORABLE,15.2007,1.1005,14.1002,FAVORABLE,1.8787,2.1727,-0.294,FAVORABLE,0.2562,0.9594,-0.7032,FAVORABLE,0.2562,0.7619,-0.5057,FAVORABLE,76.3847,53.3815,-68.9613,-0.5568,0.9074,0.4074,7,0,EVALUABLE,99,37,True
SIMPLE_P2-1,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,402,178,38.6904,21.5496,17.1408,FAVORABLE,25.71,13.915,11.795,FAVORABLE,31.0945,19.6629,11.4316,FAVORABLE,10.6965,6.1798,4.5167,FAVORABLE,1.2438,11.7978,-10.554,FAVORABLE,0.2488,5.0562,-4.8074,FAVORABLE,0.2488,2.809,-2.5602,FAVORABLE,21.6725,13.1226,-14.1428,-8.3068,0.6222,0.1222,7,0,EVALUABLE,26,10,True
SIMPLE_P2-1,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,24,178,88.6067,21.5496,67.0571,FAVORABLE,73.975,13.915,60.06,FAVORABLE,62.5,19.6629,42.8371,FAVORABLE,41.6667,6.1798,35.4869,FAVORABLE,0.0,11.7978,-11.7978,FAVORABLE,0.0,5.0562,-5.0562,FAVORABLE,0.0,2.809,-2.809,FAVORABLE,29.073,41.8539,-23.5955,-9.5506,0.7937,0.2937,7,0,EVALUABLE,21,9,True
SIMPLE_P2-1,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,402,24,38.6904,88.6067,-49.9163,UNFAVORABLE,25.71,73.975,-48.265,UNFAVORABLE,31.0945,62.5,-31.4055,UNFAVORABLE,10.6965,41.6667,-30.9702,UNFAVORABLE,1.2438,0.0,1.2438,UNFAVORABLE,0.2488,0.0,0.2488,UNFAVORABLE,0.2488,0.0,0.2488,UNFAVORABLE,-7.4005,-28.7313,9.4527,1.2438,0.2848,-0.2152,0,7,EVALUABLE,5,1,False
SIMPLE_P2-1,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,402,1374,38.6904,-7.8067,46.4971,FAVORABLE,25.71,-15.64,41.35,FAVORABLE,31.0945,3.4207,27.6738,FAVORABLE,10.6965,0.8006,9.8959,FAVORABLE,1.2438,2.329,-1.0852,FAVORABLE,0.2488,0.7278,-0.479,FAVORABLE,0.2488,0.3639,-0.1151,FAVORABLE,62.9234,39.6457,-57.3595,-0.139,0.8453,0.3453,7,0,EVALUABLE,37,11,True
SIMPLE_P2-2,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,590,228,49.5396,27.9982,21.5414,FAVORABLE,31.87,16.55,15.32,FAVORABLE,38.3051,25.4386,12.8665,FAVORABLE,14.4068,9.2105,5.1963,FAVORABLE,1.6949,13.1579,-11.463,FAVORABLE,0.1695,7.4561,-7.2866,FAVORABLE,0.1695,5.2632,-5.0937,FAVORABLE,18.9057,14.9926,-12.6776,-9.3399,0.6228,0.1228,7,0,EVALUABLE,40,18,True
SIMPLE_P2-2,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,73,228,85.0227,27.9982,57.0245,FAVORABLE,69.85,16.55,53.3,FAVORABLE,64.3836,25.4386,38.945,FAVORABLE,38.3562,9.2105,29.1457,FAVORABLE,6.8493,13.1579,-6.3086,FAVORABLE,4.1096,7.4561,-3.3465,FAVORABLE,0.0,5.2632,-5.2632,FAVORABLE,17.1714,36.2533,-10.5323,-6.4167,0.7257,0.2257,7,0,EVALUABLE,35,20,True
