panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
SIMPLE_P1,FIRST_PROGRESSED_NORMAL,4982,1171,52.9544,38.67,10.835,76.32,84.1161,674,57.5576,485,41.4176,178,15.2007,76,6.4902,22,1.8787,10,0.854,3,0.2562,3,0.2562,1.8787,98.1213,199.5867,150.0,114.6064,81.53,-10.5133,-8.91,61.652,39.2,EXIT4_SCORE_DRAWDOWN_GE_15=77.8%; EXIT3_PROGRESSED_TO_TRANSITION=13.9%; EXIT3_PROGRESSED_TO_WEAK=4.4%; NO_EXIT_BEFORE_CUTOFF=1.9%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.5%; EXIT3_PROGRESSED_TO_BASE=0.6%,22
SIMPLE_P1,LATE_NORMALIZED,4982,267,95.6418,73.05,33.65,138.95,89.5131,203,76.03,171,64.0449,103,38.5768,15,5.618,10,3.7453,6,2.2472,5,1.8727,1,0.3745,2.2472,97.7528,1185.1648,1120.0,206.8053,146.65,-34.0944,-30.0,111.1635,69.5,EXIT4_SCORE_DRAWDOWN_GE_15=76.4%; EXIT3_PROGRESSED_TO_TRANSITION=13.5%; EXIT3_PROGRESSED_TO_WEAK=6.7%; NO_EXIT_BEFORE_CUTOFF=2.2%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.7%; EXIT3_PROGRESSED_TO_BASE=0.4%,6
SIMPLE_P1,NEVER_NORMALIZED_COVERAGE,4982,3544,-11.3047,-16.0,-17.47,-15.01,7.7314,148,4.1761,101,2.8499,39,1.1005,2674,75.4515,77,2.1727,50,1.4108,34,0.9594,27,0.7619,6.3488,93.6512,151.4097,51.0,24.5693,10.83,-18.6248,-17.31,35.8739,26.6,LOSS_GUARD_CLOSE_LE_NEG_15=88.1%; EXIT4_SCORE_DRAWDOWN_GE_15=5.6%; NO_EXIT_BEFORE_CUTOFF=4.1%; NO_PROGRESSED_BEFORE_CUTOFF=2.3%,225
SIMPLE_P1,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,4982,342,32.4874,18.095,-13.8625,54.9125,63.7427,136,39.7661,95,27.7778,38,11.1111,82,23.9766,57,16.6667,46,13.4503,32,9.3567,27,7.8947,42.1053,57.8947,649.4708,236.5,108.3968,66.26,-24.0802,-14.465,75.9094,50.75,EXIT4_SCORE_DRAWDOWN_GE_15=57.9%; NO_EXIT_BEFORE_CUTOFF=42.1%,144
SIMPLE_P1,C2_NO_PROGRESSED_WHILE_HELD,4982,3202,-15.982,-16.13,-17.49,-15.2,1.7489,12,0.3748,6,0.1874,1,0.0312,2592,80.9494,20,0.6246,4,0.1249,2,0.0625,0,0.0,2.5297,97.4703,98.2127,44.0,15.6158,9.155,-18.0421,-17.37,31.5978,25.62,LOSS_GUARD_CLOSE_LE_NEG_15=97.5%; NO_PROGRESSED_BEFORE_CUTOFF=2.5%,81
SIMPLE_P2-1,FIRST_PROGRESSED_NORMAL,1800,402,38.6904,25.71,5.5,60.235,80.0995,186,46.2687,125,31.0945,43,10.6965,38,9.4527,5,1.2438,5,1.2438,1,0.2488,1,0.2488,1.4925,98.5075,155.4577,128.5,93.2997,65.765,-10.9056,-9.415,54.6093,35.195,EXIT4_SCORE_DRAWDOWN_GE_15=83.6%; EXIT3_PROGRESSED_TO_TRANSITION=10.7%; EXIT3_PROGRESSED_TO_WEAK=3.5%; NO_EXIT_BEFORE_CUTOFF=1.5%; EXIT3_PROGRESSED_TO_BASE=0.5%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.2%,6
SIMPLE_P2-1,LATE_NORMALIZED,1800,24,88.6067,73.975,40.52,135.9475,87.5,18,75.0,15,62.5,10,41.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12.5,87.5,689.5417,702.5,181.1004,153.345,-22.0004,-18.49,92.4937,53.2,EXIT4_SCORE_DRAWDOWN_GE_15=70.8%; NO_EXIT_BEFORE_CUTOFF=12.5%; EXIT3_PROGRESSED_TO_WEAK=8.3%; EXIT3_PROGRESSED_TO_TRANSITION=8.3%,3
SIMPLE_P2-1,NEVER_NORMALIZED_COVERAGE,1800,1374,-7.8067,-15.64,-16.99,-14.0825,17.1761,91,6.623,47,3.4207,11,0.8006,918,66.8122,32,2.329,19,1.3828,10,0.7278,5,0.3639,16.6667,83.3333,112.5116,47.0,21.979,10.59,-17.1353,-16.88,29.7857,23.225,LOSS_GUARD_CLOSE_LE_NEG_15=75.7%; NO_PROGRESSED_BEFORE_CUTOFF=11.4%; EXIT4_SCORE_DRAWDOWN_GE_15=7.6%; NO_EXIT_BEFORE_CUTOFF=5.3%,229
SIMPLE_P2-1,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,1800,178,21.5496,13.915,-14.8,36.2975,58.427,59,33.1461,35,19.6629,11,6.1798,42,23.5955,21,11.7978,17,9.5506,9,5.0562,5,2.809,41.0112,58.9888,354.3933,178.0,70.1405,49.445,-20.3275,-14.515,48.591,38.375,EXIT4_SCORE_DRAWDOWN_GE_15=59.0%; NO_EXIT_BEFORE_CUTOFF=41.0%,73
SIMPLE_P2-1,C2_NO_PROGRESSED_WHILE_HELD,1800,1196,-12.1757,-15.83,-17.0325,-14.8675,11.0368,32,2.6756,12,1.0033,0,0.0,876,73.2441,11,0.9197,2,0.1672,1,0.0836,0,0.0,13.0435,86.9565,76.5125,37.5,14.8112,8.71,-16.6602,-16.925,26.9869,22.465,LOSS_GUARD_CLOSE_LE_NEG_15=87.0%; NO_PROGRESSED_BEFORE_CUTOFF=13.0%,156
