panel,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,loss_30_count,loss_50_count,deep_loss_generalizable
SIMPLE_P1,PASS_vs_FAIL,STRICT_PASS,STRICT_FAIL,176,280,34.9339,5.2952,29.6387,FAVORABLE,20.08,-15.405,35.485,FAVORABLE,32.3864,12.1429,20.2435,FAVORABLE,11.3636,4.6429,6.7207,FAVORABLE,5.6818,2.1429,3.5389,UNFAVORABLE,0.5682,0.7143,-0.1461,FAVORABLE,0.5682,0.7143,-0.1461,FAVORABLE,45.1623,24.1884,-43.7338,1.0552,0.7233,0.2233,6.0,1.0,EVALUABLE,16,3,False
SIMPLE_P1,PURE_ENTRY_CYCLE_vs_FAIL,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,STRICT_FAIL,145,280,33.9181,5.2952,28.6229,FAVORABLE,20.73,-15.405,36.135,FAVORABLE,31.7241,12.1429,19.5812,FAVORABLE,11.7241,4.6429,7.0812,FAVORABLE,5.5172,2.1429,3.3743,UNFAVORABLE,0.6897,0.7143,-0.0246,FAVORABLE,0.6897,0.7143,-0.0246,FAVORABLE,45.2955,24.2119,-43.7808,0.2833,0.7246,0.2246,6.0,1.0,EVALUABLE,14,3,False
SIMPLE_P1,PURE_ENTRY_CYCLE_vs_PASS_OTHER_ORIGIN,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,PASS_NON_TRANSITION_ORIGIN,145,31,33.9181,39.6855,-5.7674,UNFAVORABLE,20.73,17.27,3.46,FAVORABLE,31.7241,35.4839,-3.7598,UNFAVORABLE,11.7241,9.6774,2.0467,FAVORABLE,5.5172,6.4516,-0.9344,FAVORABLE,0.6897,0.0,0.6897,UNFAVORABLE,0.6897,0.0,0.6897,UNFAVORABLE,0.7564,0.1335,-0.2669,-4.3826,0.4937,-0.0063,3.0,4.0,EVALUABLE,10,1,False
SIMPLE_P2-1,PASS_vs_FAIL,STRICT_PASS,STRICT_FAIL,74,99,24.3507,-1.6515,26.0022,FAVORABLE,14.89,-15.3,30.19,FAVORABLE,28.3784,8.0808,20.2976,FAVORABLE,8.1081,1.0101,7.098,FAVORABLE,2.7027,2.0202,0.6825,UNFAVORABLE,1.3514,2.0202,-0.6688,FAVORABLE,1.3514,2.0202,-0.6688,FAVORABLE,43.3388,25.7166,-32.9239,0.6825,0.6826,0.1826,6.0,1.0,EVALUABLE,4,3,False
SIMPLE_P2-1,PURE_ENTRY_CYCLE_vs_FAIL,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,STRICT_FAIL,58,99,26.0353,-1.6515,27.6868,FAVORABLE,15.765,-15.3,31.065,FAVORABLE,29.3103,8.0808,21.2295,FAVORABLE,8.6207,1.0101,7.6106,FAVORABLE,1.7241,2.0202,-0.2961,FAVORABLE,1.7241,2.0202,-0.2961,FAVORABLE,1.7241,2.0202,-0.2961,FAVORABLE,44.131,29.2581,-35.58,-0.2961,0.707,0.207,7.0,0.0,EVALUABLE,3,3,False
SIMPLE_P2-1,PURE_ENTRY_CYCLE_vs_PASS_OTHER_ORIGIN,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,PASS_NON_TRANSITION_ORIGIN,58,16,26.0353,18.2437,7.7916,FAVORABLE,15.765,12.555,3.21,FAVORABLE,29.3103,25.0,4.3103,FAVORABLE,8.6207,6.25,2.3707,FAVORABLE,1.7241,6.25,-4.5259,FAVORABLE,1.7241,0.0,1.7241,UNFAVORABLE,1.7241,0.0,1.7241,UNFAVORABLE,3.6638,16.3793,-12.2845,-4.5259,0.5614,0.0614,5.0,2.0,DESCRIPTIVE,2,1,False
SIMPLE_P2-2,PASS_vs_FAIL,STRICT_PASS,STRICT_FAIL,95,125,24.2541,3.101,21.1531,FAVORABLE,15.79,-15.3,31.09,FAVORABLE,27.3684,13.6,13.7684,FAVORABLE,8.4211,2.4,6.0211,FAVORABLE,4.2105,1.6,2.6105,UNFAVORABLE,1.0526,0.0,1.0526,UNFAVORABLE,1.0526,0.0,1.0526,UNFAVORABLE,38.0211,16.5895,-33.6,2.3579,0.6665,0.1665,4.0,3.0,EVALUABLE,6,1,False
SIMPLE_P2-2,PURE_ENTRY_CYCLE_vs_FAIL,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,STRICT_FAIL,76,125,25.9967,3.101,22.8957,FAVORABLE,17.295,-15.3,32.595,FAVORABLE,28.9474,13.6,15.3474,FAVORABLE,9.2105,2.4,6.8105,FAVORABLE,3.9474,1.6,2.3474,UNFAVORABLE,1.3158,0.0,1.3158,UNFAVORABLE,1.3158,0.0,1.3158,UNFAVORABLE,39.3368,18.9579,-35.1789,1.8316,0.6831,0.1831,4.0,3.0,EVALUABLE,5,1,False
SIMPLE_P2-2,PURE_ENTRY_CYCLE_vs_PASS_OTHER_ORIGIN,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,PASS_NON_TRANSITION_ORIGIN,76,19,25.9967,17.2837,8.713,FAVORABLE,17.295,9.32,7.975,FAVORABLE,28.9474,21.0526,7.8948,FAVORABLE,9.2105,5.2632,3.9473,FAVORABLE,3.9474,5.2632,-1.3158,FAVORABLE,1.3158,0.0,1.3158,UNFAVORABLE,1.3158,0.0,1.3158,UNFAVORABLE,6.5789,11.8421,-7.8947,-2.6316,0.563,0.063,5.0,2.0,DESCRIPTIVE,4,1,False
SIMPLE_P3-1,PASS_vs_FAIL,STRICT_PASS,STRICT_FAIL,28,66,40.4446,3.4259,37.0187,FAVORABLE,47.06,-15.23,62.29,FAVORABLE,50.0,10.6061,39.3939,FAVORABLE,17.8571,4.5455,13.3116,FAVORABLE,3.5714,1.5152,2.0562,UNFAVORABLE,0.0,1.5152,-1.5152,FAVORABLE,0.0,1.5152,-1.5152,FAVORABLE,44.697,35.3896,-33.1169,2.0562,0.7121,0.2121,6.0,1.0,EVALUABLE,2,1,False
