panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
SIMPLE_P1,STRICT_PASS,660,176,34.9339,20.08,-2.935,59.775,71.5909,74.0,42.0455,57.0,32.3864,20.0,11.3636,28.0,15.9091,10.0,5.6818,5.0,2.8409,1.0,0.5682,1.0,0.5682,0.5682,99.4318,137.25,105.0,80.2631,60.86,-13.5411,-10.24,45.3291,31.24,EXIT4_SCORE_DRAWDOWN_GE_15=73.9%; EXIT3_PROGRESSED_TO_TRANSITION=13.6%; EXIT3_PROGRESSED_TO_WEAK=6.8%; EXIT3_PROGRESSED_TO_EARLY_TREND=4.0%; EXIT3_PROGRESSED_TO_BASE=1.1%; NO_EXIT_BEFORE_CUTOFF=0.6%,1.0
SIMPLE_P1,STRICT_FAIL,660,280,5.2952,-15.405,-16.8225,4.97,26.4286,50.0,17.8571,34.0,12.1429,13.0,4.6429,167.0,59.6429,6.0,2.1429,5.0,1.7857,2.0,0.7143,2.0,0.7143,5.7143,94.2857,316.2643,113.0,50.2986,22.495,-18.2438,-16.68,45.0034,33.32,LOSS_GUARD_CLOSE_LE_NEG_15=68.6%; EXIT4_SCORE_DRAWDOWN_GE_15=19.3%; EXIT3_PROGRESSED_TO_TRANSITION=5.7%; NO_EXIT_BEFORE_CUTOFF=3.9%; NO_PROGRESSED_BEFORE_CUTOFF=1.8%; EXIT3_PROGRESSED_TO_WEAK=0.4%; EXIT3_PROGRESSED_TO_BASE=0.4%,16.0
SIMPLE_P1,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,660,204,-17.0588,-16.325,-17.9625,-15.1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,76.4706,3.0,1.4706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.2549,19.0,9.0245,6.09,-18.6884,-17.875,26.0833,23.2,LOSS_GUARD_CLOSE_LE_NEG_15=100.0%,0.0
SIMPLE_P1,PURE_ENTRY_CYCLE_TRANSITION_ET_PASS,660,145,33.9181,20.73,-2.82,58.38,71.7241,61.0,42.069,46.0,31.7241,17.0,11.7241,23.0,15.8621,8.0,5.5172,3.0,2.069,1.0,0.6897,1.0,0.6897,0.6897,99.3103,139.9448,105.0,79.3978,61.08,-13.5034,-10.2,45.4797,31.27,EXIT4_SCORE_DRAWDOWN_GE_15=73.1%; EXIT3_PROGRESSED_TO_TRANSITION=15.9%; EXIT3_PROGRESSED_TO_WEAK=6.2%; EXIT3_PROGRESSED_TO_EARLY_TREND=2.8%; EXIT3_PROGRESSED_TO_BASE=1.4%; NO_EXIT_BEFORE_CUTOFF=0.7%,1.0
SIMPLE_P1,PASS_NON_TRANSITION_ORIGIN,660,31,39.6855,17.27,-2.415,71.365,70.9677,13.0,41.9355,11.0,35.4839,3.0,9.6774,5.0,16.129,2.0,6.4516,2.0,6.4516,0.0,0.0,0.0,0.0,0.0,100.0,124.6452,105.0,84.3103,60.64,-13.7174,-11.71,44.6248,26.85,EXIT4_SCORE_DRAWDOWN_GE_15=77.4%; EXIT3_PROGRESSED_TO_EARLY_TREND=9.7%; EXIT3_PROGRESSED_TO_WEAK=9.7%; EXIT3_PROGRESSED_TO_TRANSITION=3.2%,0.0
SIMPLE_P1,PASS_ORIGIN_TRANSITION,660,145,33.9181,20.73,-2.82,58.38,71.7241,61.0,42.069,46.0,31.7241,17.0,11.7241,23.0,15.8621,8.0,5.5172,3.0,2.069,1.0,0.6897,1.0,0.6897,0.6897,99.3103,139.9448,105.0,79.3978,61.08,-13.5034,-10.2,45.4797,31.27,EXIT4_SCORE_DRAWDOWN_GE_15=73.1%; EXIT3_PROGRESSED_TO_TRANSITION=15.9%; EXIT3_PROGRESSED_TO_WEAK=6.2%; EXIT3_PROGRESSED_TO_EARLY_TREND=2.8%; EXIT3_PROGRESSED_TO_BASE=1.4%; NO_EXIT_BEFORE_CUTOFF=0.7%,1.0
SIMPLE_P1,PASS_ORIGIN_BASE,660,14,44.245,30.285,-3.6225,74.69,64.2857,7.0,50.0,6.0,42.8571,2.0,14.2857,2.0,14.2857,1.0,7.1429,1.0,7.1429,0.0,0.0,0.0,0.0,0.0,100.0,116.3571,83.5,83.5936,71.93,-15.0914,-10.05,39.3486,24.43,EXIT4_SCORE_DRAWDOWN_GE_15=85.7%; EXIT3_PROGRESSED_TO_EARLY_TREND=7.1%; EXIT3_PROGRESSED_TO_WEAK=7.1%,0.0
SIMPLE_P1,PASS_ORIGIN_WEAK,660,5,31.156,15.79,6.84,76.61,80.0,2.0,40.0,2.0,40.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,113.8,119.0,72.692,54.14,-10.436,-11.71,41.536,39.21,EXIT4_SCORE_DRAWDOWN_GE_15=100.0%,0.0
SIMPLE_P1,PASS_ORIGIN_PROGRESSED,660,8,49.685,26.81,9.8325,49.7175,75.0,3.0,37.5,2.0,25.0,1.0,12.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,141.875,123.5,105.675,57.04,-10.9637,-9.055,55.99,26.085,EXIT4_SCORE_DRAWDOWN_GE_15=50.0%; EXIT3_PROGRESSED_TO_EARLY_TREND=25.0%; EXIT3_PROGRESSED_TO_TRANSITION=12.5%; EXIT3_PROGRESSED_TO_WEAK=12.5%,0.0
SIMPLE_P1,PASS_ORIGIN_OTHER,660,4,14.39,7.405,-6.54,28.335,75.0,1.0,25.0,1.0,25.0,0.0,0.0,1.0,25.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,132.75,97.0,58.6125,43.61,-18.5175,-10.805,44.2225,31.295,EXIT4_SCORE_DRAWDOWN_GE_15=75.0%; EXIT3_PROGRESSED_TO_WEAK=25.0%,0.0
