note,panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P1,CUTOFF_PASS,660,216,25.3187,9.1,-15.3,50.6675,58.3333,74.0,34.2593,57.0,26.3889,20.0,9.2593,56.0,25.9259,11.0,5.0926,5.0,2.3148,1.0,0.463,1.0,0.463,0.463,99.537,116.1667,86.0,67.1992,45.52,-14.5964,-12.67,41.8805,28.66,EXIT4_SCORE_DRAWDOWN_GE_15=60.2%; LOSS_GUARD_CLOSE_LE_NEG_15=18.5%; EXIT3_PROGRESSED_TO_TRANSITION=11.1%; EXIT3_PROGRESSED_TO_WEAK=5.6%; EXIT3_PROGRESSED_TO_EARLY_TREND=3.2%; EXIT3_PROGRESSED_TO_BASE=0.9%; NO_EXIT_BEFORE_CUTOFF=0.5%,1.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P1,CUTOFF_FAIL,660,443,-2.9334,-15.66,-17.295,-14.435,16.7043,50.0,11.2867,34.0,7.6749,13.0,2.9345,294.0,66.3657,8.0,1.8059,5.0,1.1287,2.0,0.4515,2.0,0.4515,3.6117,96.3883,208.8555,58.0,35.0067,11.93,-18.3567,-17.09,37.9401,26.94,LOSS_GUARD_CLOSE_LE_NEG_15=80.1%; EXIT4_SCORE_DRAWDOWN_GE_15=12.2%; EXIT3_PROGRESSED_TO_TRANSITION=3.6%; NO_EXIT_BEFORE_CUTOFF=2.5%; NO_PROGRESSED_BEFORE_CUTOFF=1.1%; EXIT3_PROGRESSED_TO_WEAK=0.2%; EXIT3_PROGRESSED_TO_BASE=0.2%,16.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P1,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,660,1,-18.34,-18.34,-18.34,-18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.0,43.0,27.89,27.89,-19.1,-19.1,46.23,46.23,LOSS_GUARD_CLOSE_LE_NEG_15=100.0%,0.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-1,CUTOFF_PASS,265,90,16.9474,7.12,-16.225,43.2875,58.8889,28.0,31.1111,21.0,23.3333,6.0,6.6667,27.0,30.0,2.0,2.2222,2.0,2.2222,1.0,1.1111,1.0,1.1111,1.1111,98.8889,100.8222,83.5,49.8192,37.26,-15.9427,-15.28,32.8718,24.17,EXIT4_SCORE_DRAWDOWN_GE_15=66.7%; LOSS_GUARD_CLOSE_LE_NEG_15=17.8%; EXIT3_PROGRESSED_TO_TRANSITION=11.1%; EXIT3_PROGRESSED_TO_WEAK=3.3%; NO_EXIT_BEFORE_CUTOFF=1.1%,1.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-1,CUTOFF_FAIL,265,169,-7.8498,-15.61,-16.91,-14.26,16.568,12.0,7.1006,8.0,4.7337,1.0,0.5917,109.0,64.497,3.0,1.7751,2.0,1.1834,2.0,1.1834,2.0,1.1834,5.9172,94.0828,104.6272,49.0,22.7373,9.85,-17.2791,-16.96,30.5871,23.61,LOSS_GUARD_CLOSE_LE_NEG_15=75.1%; EXIT4_SCORE_DRAWDOWN_GE_15=15.4%; NO_PROGRESSED_BEFORE_CUTOFF=3.0%; NO_EXIT_BEFORE_CUTOFF=3.0%; EXIT3_PROGRESSED_TO_TRANSITION=2.4%; EXIT3_PROGRESSED_TO_WEAK=0.6%; EXIT3_PROGRESSED_TO_BASE=0.6%,10.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-1,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,265,6,1.3783,4.19,-0.1725,5.56,66.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3333,16.6667,26.5,24.5,16.3133,17.85,-8.64,-8.315,14.935,8.21,NO_PROGRESSED_BEFORE_CUTOFF=83.3%; LOSS_GUARD_CLOSE_LE_NEG_15=16.7%,5.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-2,CUTOFF_PASS,320,115,17.0998,6.48,-15.655,43.215,56.5217,34.0,29.5652,26.0,22.6087,8.0,6.9565,32.0,27.8261,4.0,3.4783,3.0,2.6087,1.0,0.8696,1.0,0.8696,1.7391,98.2609,100.8609,85.0,54.439,39.56,-15.5446,-14.69,37.3392,28.41,EXIT4_SCORE_DRAWDOWN_GE_15=66.1%; LOSS_GUARD_CLOSE_LE_NEG_15=17.4%; EXIT3_PROGRESSED_TO_TRANSITION=9.6%; EXIT3_PROGRESSED_TO_WEAK=5.2%; NO_EXIT_BEFORE_CUTOFF=1.7%,2.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-2,CUTOFF_FAIL,320,204,-4.4591,-15.505,-16.9025,-14.0125,18.6275,24.0,11.7647,17.0,8.3333,3.0,1.4706,124.0,60.7843,3.0,1.4706,1.0,0.4902,0.0,0.0,0.0,0.0,4.4118,95.5882,140.1275,53.5,27.0664,10.83,-18.049,-16.905,31.5255,24.215,LOSS_GUARD_CLOSE_LE_NEG_15=74.5%; EXIT4_SCORE_DRAWDOWN_GE_15=17.2%; EXIT3_PROGRESSED_TO_TRANSITION=2.5%; NO_EXIT_BEFORE_CUTOFF=2.5%; NO_PROGRESSED_BEFORE_CUTOFF=2.0%; EXIT3_PROGRESSED_TO_WEAK=1.0%; EXIT3_PROGRESSED_TO_BASE=0.5%,9.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P2-2,NO_NEXT_STAGE_BEFORE_EXIT_OR_CUTOFF,320,1,-18.34,-18.34,-18.34,-18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.0,43.0,27.89,27.89,-19.1,-19.1,46.23,46.23,LOSS_GUARD_CLOSE_LE_NEG_15=100.0%,0.0
POST_EXIT_OBSERVATIONS_INCLUDED_SENSITIVITY_ONLY,SIMPLE_P3-1,CUTOFF_PASS,159,35,28.6691,17.27,-15.79,62.805,60.0,15.0,42.8571,14.0,40.0,5.0,14.2857,11.0,31.4286,1.0,2.8571,1.0,2.8571,0.0,0.0,0.0,0.0,2.8571,97.1429,96.0857,90.0,61.8554,50.98,-14.1969,-16.2,33.1863,31.27,EXIT4_SCORE_DRAWDOWN_GE_15=60.0%; LOSS_GUARD_CLOSE_LE_NEG_15=20.0%; EXIT3_PROGRESSED_TO_TRANSITION=11.4%; EXIT3_PROGRESSED_TO_WEAK=5.7%; NO_EXIT_BEFORE_CUTOFF=2.9%,1.0
