panel,ticker,isu_cd,trade_id,pair_id,entry_signal_date,entry_pattern_a_stage,lifecycle_class,trade_status,exit_type,exit_signal_date,terminal_return,holding_end,holding_group,holding_subgroup,handoff_origin,months_first_progressed_to_handoff,strict_class,strict_class_through_cutoff,entry_origin,last_pre_entry_month_stage,held_path,post_entry_path_to_cutoff,filled
SIMPLE_P1,000020,KR7000020008,000020_01,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_01,2014-04-18,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-29,-15.61,2014-07-29,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,,,,TRANSITION,TRANSITION(4),TRANSITION(5)>WEAK(2)>TRANSITION(2)>BASE(3)>EARLY_TREND(4)>PROGRESSED(10)>EARLY_TREND(3)>TRANSITION(10)>BASE(2)>TRANSITION(2)>UNAVAILABLE(3)>EARLY_TREND>TRANSITION>EARLY_TREND(2)>TRANSITION(15)>WEAK(9)>TRANSITION>EARLY_TREND(2)>PROGRESSED(13)>TRANSITION(6)>WEAK(23)>BASE>WEAK(14)>BASE>WEAK(15),
SIMPLE_P1,000020,KR7000020008,000020_02,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_02,2014-10-31,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-08,-15.9,2014-12-08,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,,,,WEAK,TRANSITION(3),TRANSITION(3)>BASE(3)>EARLY_TREND(4)>PROGRESSED(10)>EARLY_TREND(3)>TRANSITION(10)>BASE(2)>TRANSITION(2)>UNAVAILABLE(3)>EARLY_TREND>TRANSITION>EARLY_TREND(2)>TRANSITION(15)>WEAK(9)>TRANSITION>EARLY_TREND(2)>PROGRESSED(13)>TRANSITION(6)>WEAK(23)>BASE>WEAK(14)>BASE>WEAK(15),
SIMPLE_P1,000020,KR7000020008,000020_03,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_03,2015-03-13,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-31,4.87,2015-08-31,FIRST_PROGRESSED_NORMAL,FIRST_PROGRESSED_NORMAL,TRANSITION,,,,,BASE,TRANSITION>EARLY_TREND(4)>PROGRESSED(2),TRANSITION>EARLY_TREND(4)>PROGRESSED(10)>EARLY_TREND(3)>TRANSITION(10)>BASE(2)>TRANSITION(2)>UNAVAILABLE(3)>EARLY_TREND>TRANSITION>EARLY_TREND(2)>TRANSITION(15)>WEAK(9)>TRANSITION>EARLY_TREND(2)>PROGRESSED(13)>TRANSITION(6)>WEAK(23)>BASE>WEAK(14)>BASE>WEAK(15),
SIMPLE_P1,000020,KR7000020008,000020_04,000020|KR7000020008|KOSPI|2010-01-04|2026-09-01|000020_04,2018-01-26,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-23,-14.77,2018-10-23,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,STRICT_FAIL,STRICT_FAIL,TRANSITION,TRANSITION,EARLY_TREND(2)>TRANSITION>EARLY_TREND(2)>TRANSITION(5),EARLY_TREND(2)>TRANSITION>EARLY_TREND(2)>TRANSITION(15)>WEAK(9)>TRANSITION>EARLY_TREND(2)>PROGRESSED(13)>TRANSITION(6)>WEAK(23)>BASE>WEAK(14)>BASE>WEAK(15),
SIMPLE_P1,000050,KR7000050005,000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,2014-08-08,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-30,59.69,2015-04-30,FIRST_PROGRESSED_NORMAL,FIRST_PROGRESSED_NORMAL,TRANSITION,,,,,TRANSITION,TRANSITION>EARLY_TREND(2)>PROGRESSED(7),TRANSITION>EARLY_TREND(2)>PROGRESSED(18)>TRANSITION(6)>UNAVAILABLE(4)>WEAK(8)>UNAVAILABLE(3)>WEAK>BASE>WEAK>BASE>WEAK>BASE>WEAK(16)>BASE>WEAK(5)>TRANSITION(2)>BASE(5)>TRANSITION(5)>EARLY_TREND(2)>TRANSITION(9)>EARLY_TREND>TRANSITION(7)>BASE(4)>WEAK(27)>TRANSITION>BASE(2)>WEAK>BASE>TRANSITION(5)>PROGRESSED(2)>TRANSITION(2),
SIMPLE_P1,000050,KR7000050005,000050_02,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_02,2016-10-07,TRANSITION,PROGRESSED_WITHOUT_DIRECT_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-01,-18.18,2016-11-01,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,,,,TRANSITION,TRANSITION>UNAVAILABLE,TRANSITION>UNAVAILABLE(4)>WEAK(8)>UNAVAILABLE(3)>WEAK>BASE>WEAK>BASE>WEAK>BASE>WEAK(16)>BASE>WEAK(5)>TRANSITION(2)>BASE(5)>TRANSITION(5)>EARLY_TREND(2)>TRANSITION(9)>EARLY_TREND>TRANSITION(7)>BASE(4)>WEAK(27)>TRANSITION>BASE(2)>WEAK>BASE>TRANSITION(5)>PROGRESSED(2)>TRANSITION(2),
SIMPLE_P1,000050,KR7000050005,000050_03,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_03,2020-05-29,TRANSITION,PROGRESSED_WITHOUT_DIRECT_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,-16.07,2020-06-15,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,,,,WEAK,TRANSITION(2),TRANSITION(3)>BASE(5)>TRANSITION(5)>EARLY_TREND(2)>TRANSITION(9)>EARLY_TREND>TRANSITION(7)>BASE(4)>WEAK(27)>TRANSITION>BASE(2)>WEAK>BASE>TRANSITION(5)>PROGRESSED(2)>TRANSITION(2),
SIMPLE_P1,000050,KR7000050005,000050_04,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_04,2021-05-28,EARLY_TREND,PROGRESSED_WITHOUT_DIRECT_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,-16.67,2021-08-20,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,STRICT_FAIL,STRICT_FAIL,TRANSITION,TRANSITION,EARLY_TREND(3)>TRANSITION,EARLY_TREND(3)>TRANSITION(9)>EARLY_TREND>TRANSITION(7)>BASE(4)>WEAK(27)>TRANSITION>BASE(2)>WEAK>BASE>TRANSITION(5)>PROGRESSED(2)>TRANSITION(2),
SIMPLE_P1,000050,KR7000050005,000050_05,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_05,2022-04-29,EARLY_TREND,PROGRESSED_WITHOUT_DIRECT_HANDOFF,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,-15.92,2022-06-17,NEVER_NORMALIZED_COVERAGE,C2_NO_PROGRESSED_WHILE_HELD,,,STRICT_FAIL,STRICT_FAIL,TRANSITION,TRANSITION,EARLY_TREND(2)>TRANSITION,EARLY_TREND(2)>TRANSITION(7)>BASE(4)>WEAK(27)>TRANSITION>BASE(2)>WEAK>BASE>TRANSITION(5)>PROGRESSED(2)>TRANSITION(2),
SIMPLE_P1,000060,KR7000060004,000060_01,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,2015-05-08,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,2018-08-31,30.63,2018-08-31,FIRST_PROGRESSED_NORMAL,FIRST_PROGRESSED_NORMAL,TRANSITION,,STRICT_FAIL,STRICT_FAIL,TRANSITION,TRANSITION,EARLY_TREND(5)>TRANSITION(7)>EARLY_TREND>TRANSITION(11)>EARLY_TREND(6)>UNAVAILABLE(3)>PROGRESSED(7)>TRANSITION,EARLY_TREND(5)>TRANSITION(7)>EARLY_TREND>TRANSITION(11)>EARLY_TREND(6)>UNAVAILABLE(3)>PROGRESSED(7)>TRANSITION(11)>BASE(6)>WEAK(5)>TRANSITION>WEAK>BASE(2)>TRANSITION>WEAK(4)>TRANSITION(3)>BASE>EARLY_TREND(2)>PROGRESSED(17),
