window,layer,market,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,panel_favorable,loss_30_count,loss_50_count,deep_loss_generalizable
P2-1,ELIGIBLE,KOSPI,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,81,56,24.838,11.3845,13.4535,FAVORABLE,12.19,-6.765,18.955,FAVORABLE,20.9877,16.0714,4.9163,FAVORABLE,9.8765,3.5714,6.3051,FAVORABLE,0.0,5.3571,-5.3571,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,19.0035,-0.8598,-10.4718,-1.7857,0.5743,0.0743,5,0,A_EVALUABLE,True,3,0,False
P2-1,ELIGIBLE,KOSPI,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,81,25,24.838,4.1808,20.6572,FAVORABLE,12.19,-15.2,27.39,FAVORABLE,20.9877,12.0,8.9877,FAVORABLE,9.8765,4.0,5.8765,FAVORABLE,0.0,12.0,-12.0,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,29.4321,5.9259,-28.5432,-4.0,0.6538,0.1538,5,0,A_EVALUABLE,True,3,0,False
P2-1,ELIGIBLE,KOSPI,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,81,31,24.838,17.1939,7.6441,FAVORABLE,12.19,13.81,-1.62,UNFAVORABLE,20.9877,19.3548,1.6329,FAVORABLE,9.8765,3.2258,6.6507,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,10.5934,-6.3322,4.102,0.0,0.5102,0.0102,3,1,A_EVALUABLE,True,3,0,False
P2-1,ELIGIBLE,KOSPI,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,25,31,4.1808,17.1939,-13.0131,UNFAVORABLE,-15.2,13.81,-29.01,UNFAVORABLE,12.0,19.3548,-7.3548,UNFAVORABLE,4.0,3.2258,0.7742,FAVORABLE,12.0,0.0,12.0,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-18.8387,-12.2581,32.6452,4.0,0.3381,-0.1619,1,4,A_EVALUABLE,False,3,0,False
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,78,38,24.1753,6.0008,18.1745,FAVORABLE,11.89,-14.61,26.5,FAVORABLE,19.2308,13.1579,6.0729,FAVORABLE,10.2564,2.6316,7.6248,FAVORABLE,0.0,2.6316,-2.6316,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,27.2605,0.6748,-17.7463,0.0,0.6154,0.1154,5,0,A_EVALUABLE,True,1,0,False
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,78,17,24.1753,-2.6641,26.8394,FAVORABLE,11.89,-15.38,27.27,FAVORABLE,19.2308,5.8824,13.3484,FAVORABLE,10.2564,0.0,10.2564,FAVORABLE,0.0,5.8824,-5.8824,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,34.6908,6.7119,-34.4645,0.0,0.6976,0.1976,5,0,B_DESCRIPTIVE,True,1,0,False
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,78,21,24.1753,13.0152,11.1601,FAVORABLE,11.89,-14.14,26.03,FAVORABLE,19.2308,19.0476,0.1832,FAVORABLE,10.2564,4.7619,5.4945,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,21.2455,-4.2124,-4.2124,0.0,0.5488,0.0488,4,0,A_EVALUABLE,True,1,0,False
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,17,21,-2.6641,13.0152,-15.6793,UNFAVORABLE,-15.38,-14.14,-1.24,UNFAVORABLE,5.8824,19.0476,-13.1652,UNFAVORABLE,0.0,4.7619,-4.7619,UNFAVORABLE,5.8824,0.0,5.8824,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-13.4453,-10.9243,30.2521,0.0,0.3291,-0.1709,0,5,B_DESCRIPTIVE,False,1,0,False
P2-1,ELIGIBLE,KOSDAQ,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,17,13,29.3082,-19.1554,48.4636,FAVORABLE,31.38,-16.89,48.27,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,30.7692,-30.7692,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,57.0136,45.2489,-45.7014,-7.6923,0.8462,0.3462,5,0,B_DESCRIPTIVE,True,5,0,False
P2-1,ELIGIBLE,KOSDAQ,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,17,7,29.3082,-17.9929,47.3011,FAVORABLE,31.38,-16.89,48.27,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,42.8571,-42.8571,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,50.4202,38.6555,-62.1849,-14.2857,0.8319,0.3319,5,0,C_TOO_SMALL,True,5,0,False
