window,layer,market,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-1,ELIGIBLE,KOSPI,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,81,24.838,12.19,-14.03,31.96,65.4321,21,25.9259,17,20.9877,8,9.8765,19,23.4568,0,0.0,0,0.0,0,0.0,0,0.0,3.7037,96.2963,205.9877,123.0,58.9106,40.71,-11.9242,-11.24,34.0726,22.17
P2-1,ELIGIBLE,KOSPI,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,25,4.1808,-15.2,-19.47,28.65,36.0,5,20.0,3,12.0,1,4.0,13,52.0,3,12.0,1,4.0,0,0.0,0,0.0,32.0,68.0,332.44,139.0,36.124,29.52,-22.2244,-19.33,31.9432,26.31
P2-1,ELIGIBLE,KOSPI,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,31,17.1939,13.81,-14.68,34.715,54.8387,10,32.2581,6,19.3548,1,3.2258,6,19.3548,0,0.0,0,0.0,0,0.0,0,0.0,32.2581,67.7419,322.7419,248.0,46.5032,41.76,-12.9058,-15.12,29.3094,24.39
P2-1,ELIGIBLE,KOSPI,ALL,COVERAGE_PATH_COMBINED,PRIMARY,56,11.3845,-6.765,-15.86,30.7225,46.4286,15,26.7857,9,16.0714,2,3.5714,19,33.9286,3,5.3571,1,1.7857,0,0.0,0,0.0,32.1429,67.8571,327.0714,239.5,41.8696,36.255,-17.0659,-16.51,30.4852,25.105
P2-1,ELIGIBLE,KOSPI,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,152,-5.8101,-15.56,-16.53,-13.59,22.3684,12,7.8947,7,4.6053,0,0.0,101,66.4474,0,0.0,0,0.0,0,0.0,0,0.0,23.0263,76.9737,128.1513,65.0,17.3814,10.46,-15.2345,-16.49,23.1915,20.08
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,78,24.1753,11.89,-14.63,29.2725,64.1026,19,24.359,15,19.2308,8,10.2564,19,24.359,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,174.8333,115.5,58.7241,40.65,-11.7144,-11.235,34.5488,22.195
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,17,-2.6641,-15.38,-19.47,11.89,29.4118,3,17.6471,1,5.8824,0,0.0,10,58.8235,1,5.8824,0,0.0,0,0.0,0,0.0,0.0,100.0,113.0,76.0,25.8959,18.85,-18.2347,-17.22,28.56,26.31
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,21,13.0152,-14.14,-15.22,31.03,42.8571,6,28.5714,4,19.0476,1,4.7619,6,28.5714,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,183.0,192.0,37.5914,22.34,-13.5033,-16.43,24.5762,24.39
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,38,6.0008,-14.61,-16.34,28.86,36.8421,9,23.6842,5,13.1579,1,2.6316,16,42.1053,1,2.6316,0,0.0,0,0.0,0,0.0,0.0,100.0,151.6842,128.5,32.3592,19.29,-15.62,-16.58,26.3584,25.105
P2-1,ELIGIBLE,KOSPI,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,117,-16.1732,-15.96,-16.72,-15.3,0.0,0,0.0,0,0.0,0,0.0,101,86.3248,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,103.453,54.0,11.4995,6.64,-17.1517,-16.87,27.6726,22.38
P2-1,ELIGIBLE,KOSDAQ,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,17,29.3082,31.38,-12.91,58.69,64.7059,9,52.9412,5,29.4118,1,5.8824,4,23.5294,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,109.2353,100.0,60.1824,54.64,-11.6171,-9.95,30.8741,24.81
P2-1,ELIGIBLE,KOSDAQ,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,7,-17.9929,-16.89,-34.595,-15.805,14.2857,1,14.2857,0,0.0,0,0.0,6,85.7143,3,42.8571,1,14.2857,0,0.0,0,0.0,42.8571,57.1429,332.7143,86.0,21.5843,24.61,-30.3171,-18.24,39.5771,22.79
P2-1,ELIGIBLE,KOSDAQ,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,6,-20.5117,-19.26,-23.9025,-14.85,0.0,0,0.0,0,0.0,0,0.0,3,50.0,1,16.6667,0,0.0,0,0.0,0,0.0,0.0,100.0,71.5,72.5,22.66,16.585,-23.3267,-23.16,43.1717,44.005
P2-1,ELIGIBLE,KOSDAQ,ALL,COVERAGE_PATH_COMBINED,PRIMARY,13,-19.1554,-16.89,-31.2,-14.88,7.6923,1,7.6923,0,0.0,0,0.0,9,69.2308,4,30.7692,1,7.6923,0,0.0,0,0.0,23.0769,76.9231,212.1538,76.0,22.0808,22.51,-27.0908,-22.33,41.2362,34.3
P2-1,ELIGIBLE,KOSDAQ,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,36,-11.6725,-15.475,-16.3325,-14.155,13.8889,1,2.7778,0,0.0,0,0.0,22,61.1111,1,2.7778,0,0.0,0,0.0,0,0.0,13.8889,86.1111,61.1667,28.5,16.7522,9.25,-17.0081,-16.955,28.4247,21.365
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,17,29.3082,31.38,-12.91,58.69,64.7059,9,52.9412,5,29.4118,1,5.8824,4,23.5294,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,109.2353,100.0,60.1824,54.64,-11.6171,-9.95,30.8741,24.81
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,4,-1.7775,-15.805,-16.5975,-0.985,25.0,1,25.0,0,0.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,39.0,28.0,15.1775,3.89,-14.6525,-16.545,16.955,17.3
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,6,-20.5117,-19.26,-23.9025,-14.85,0.0,0,0.0,0,0.0,0,0.0,3,50.0,1,16.6667,0,0.0,0,0.0,0,0.0,0.0,100.0,71.5,72.5,22.66,16.585,-23.3267,-23.16,43.1717,44.005
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,10,-13.018,-15.805,-21.9525,-14.85,10.0,1,10.0,0,0.0,0,0.0,6,60.0,1,10.0,0,0.0,0,0.0,0,0.0,0.0,100.0,58.5,54.0,19.667,9.095,-19.857,-17.665,32.685,22.48
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,31,-16.5606,-15.66,-16.98,-14.9,0.0,0,0.0,0,0.0,0,0.0,22,70.9677,1,3.2258,0,0.0,0,0.0,0,0.0,0.0,100.0,60.6452,28.0,15.1635,7.54,-18.1342,-17.12,31.7242,23.38
P2-1,FILLED,KOSPI,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,48,25.9656,14.155,-15.25,27.9325,64.5833,11,22.9167,9,18.75,6,12.5,14,29.1667,0,0.0,0,0.0,0,0.0,0,0.0,4.1667,95.8333,207.6667,100.5,57.3933,38.37,-11.9483,-11.795,31.4277,21.01
P2-1,FILLED,KOSPI,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,14,3.5343,-14.88,-18.505,19.435,35.7143,3,21.4286,2,14.2857,1,7.1429,7,50.0,2,14.2857,1,7.1429,0,0.0,0,0.0,28.5714,71.4286,370.7143,116.5,35.8229,24.625,-25.2543,-18.275,32.2886,26.32
P2-1,FILLED,KOSPI,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,14,5.7857,-14.295,-15.8575,13.005,35.7143,3,21.4286,1,7.1429,1,7.1429,5,35.7143,0,0.0,0,0.0,0,0.0,0,0.0,28.5714,71.4286,276.3571,148.0,34.3014,16.85,-14.5857,-15.97,28.5157,23.195
P2-1,FILLED,KOSPI,ALL,COVERAGE_PATH_COMBINED,PRIMARY,28,4.66,-14.505,-16.16,18.11,35.7143,6,21.4286,3,10.7143,2,7.1429,12,42.8571,2,7.1429,1,3.5714,0,0.0,0,0.0,28.5714,71.4286,323.5357,136.5,35.0621,19.79,-19.92,-16.65,30.4021,25.985
P2-1,FILLED,KOSPI,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,92,-5.2027,-15.52,-16.4775,-1.04,25.0,7,7.6087,4,4.3478,0,0.0,60,65.2174,0,0.0,0,0.0,0,0.0,0,0.0,26.087,73.913,130.2391,65.0,17.1249,10.46,-14.792,-16.415,22.3276,19.055
P2-1,FILLED,KOSPI,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,46,25.5767,14.155,-15.25,27.0825,63.0435,10,21.7391,8,17.3913,6,13.0435,14,30.4348,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,172.5,97.0,57.3367,36.025,-11.6124,-11.795,31.76,21.01
P2-1,FILLED,KOSPI,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,10,0.134,-14.88,-15.5525,5.4825,30.0,2,20.0,1,10.0,0,0.0,5,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,108.3,71.0,29.839,19.29,-17.05,-17.18,29.705,26.32
P2-1,FILLED,KOSPI,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,10,3.121,-15.085,-16.34,-14.2175,20.0,2,20.0,1,10.0,1,10.0,5,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,125.3,109.5,29.787,11.07,-15.529,-16.53,26.666,23.195
P2-1,FILLED,KOSPI,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,20,1.6275,-15.075,-16.16,-7.3325,25.0,4,20.0,2,10.0,1,5.0,10,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,116.8,85.0,29.813,13.385,-16.2895,-16.65,28.1855,25.985
P2-1,FILLED,KOSPI,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,68,-16.2116,-15.955,-16.6825,-15.295,0.0,0,0.0,0,0.0,0,0.0,60,88.2353,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,106.6029,54.0,11.361,6.425,-17.1494,-16.71,27.5726,21.855
P2-1,FILLED,KOSDAQ,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,7,17.0671,17.54,-14.025,38.865,57.1429,3,42.8571,1,14.2857,0,0.0,2,28.5714,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,84.4286,74.0,47.7214,51.47,-11.3157,-11.84,30.6543,21.64
P2-1,FILLED,KOSDAQ,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,2,-25.845,-25.845,-31.2125,-20.4775,0.0,0,0.0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,50.0,50.0,485.5,485.5,14.015,14.015,-38.66,-38.66,39.86,39.86
P2-1,FILLED,KOSDAQ,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,3,-20.1867,-14.84,-23.02,-14.68,0.0,0,0.0,0,0.0,0,0.0,1,33.3333,1,33.3333,0,0.0,0,0.0,0,0.0,0.0,100.0,44.3333,30.0,12.4567,7.53,-22.7533,-15.87,32.6433,22.17
