window,broad_slice,trades,PASSES_BOTH_FILTERS,MCAP_LT_1T_ONLY,NON_SURVIVOR_ONLY,NON_SURVIVOR_AND_MCAP_LT_1T,EXCLUDED_EXISTING_POLICY,MCAP_UNKNOWN,passes_both_pct
P2-1,ALL,1800,330,1413,9,48,0,0,18.3333
P2-1,WIN_50,187,36,145,2,4,0,0,19.2513
P2-1,WIN_100,64,10,53,0,1,0,0,15.625
P2-1,LOSS_30,37,6,28,0,3,0,0,16.2162
P2-1,LOSS_50,11,0,10,0,1,0,0,0.0
P2-1,LOSS_60,6,0,5,0,1,0,0,0.0
P2-1,COVERAGE_LOSS_30,23,5,17,0,1,0,0,21.7391
P2-1,COVERAGE_ALL,323,63,244,4,12,0,0,19.5046
P2-2,ALL,2424,452,1872,12,58,30,0,18.6469
P2-2,WIN_50,336,90,234,2,5,5,0,26.7857
P2-2,WIN_100,134,39,91,0,2,2,0,29.1045
P2-2,LOSS_30,57,7,43,0,4,3,0,12.2807
P2-2,LOSS_50,22,3,15,0,1,3,0,13.6364
P2-2,LOSS_60,13,1,9,0,1,2,0,7.6923
P2-2,COVERAGE_LOSS_30,31,3,23,0,2,3,0,9.6774
P2-2,COVERAGE_ALL,474,80,364,3,18,9,0,16.8776
