window,layer,version,metric,realistic_diff,broad_same_window_diff,broad_pooled_diff,ratio_vs_broad_same_window,classification,realistic_normal_n,realistic_coverage_n,filled_descriptive_only
P2-1,ELIGIBLE,ALL,mean_return,19.9829,19.4763,19.8357,1.026,MAINTAINED,98,69,False
P2-1,ELIGIBLE,ALL,median_return,28.675,23.25,1.25,1.2333,MAINTAINED,98,69,False
P2-1,ELIGIBLE,ALL,ge_50_rate_pct,9.4055,12.0026,12.0976,0.7836,MAINTAINED,98,69,False
P2-1,ELIGIBLE,ALL,ge_100_rate_pct,6.2851,5.2404,5.57,1.1994,MAINTAINED,98,69,False
P2-1,ELIGIBLE,ALL,le_neg_30_rate_pct,-10.1449,-6.305,-4.7549,1.609,MAINTAINED,98,69,False
P2-1,ELIGIBLE,ALL,le_neg_50_rate_pct,0.0,-2.6233,-2.8747,0.0,VANISHED,98,69,False
P2-1,ELIGIBLE,ALL,le_neg_60_rate_pct,0.0,-1.3849,-2.345,0.0,VANISHED,98,69,False
P2-1,ELIGIBLE,ALL,return_auc_effect,0.1332,0.137,0.1142,0.9723,MAINTAINED,98,69,False
P2-1,ELIGIBLE,CLOSED_ONLY,mean_return,23.0553,18.728,20.0846,1.2311,MAINTAINED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,median_return,28.85,22.225,1.18,1.2981,MAINTAINED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,ge_50_rate_pct,10.6359,10.9854,12.0798,0.9682,MAINTAINED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,ge_100_rate_pct,7.3904,4.8437,5.5038,1.5258,MAINTAINED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,le_neg_30_rate_pct,-4.1667,-0.7722,0.6281,5.3959,MAINTAINED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,le_neg_50_rate_pct,0.0,0.1656,0.2466,0.0,VANISHED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,le_neg_60_rate_pct,0.0,0.1656,0.0925,0.0,VANISHED,95,48,False
P2-1,ELIGIBLE,CLOSED_ONLY,return_auc_effect,0.1612,0.1285,0.1077,1.2545,MAINTAINED,95,48,False
P2-1,FILLED,ALL,mean_return,24.2807,19.4763,19.8357,1.2467,MAINTAINED,55,33,False
P2-1,FILLED,ALL,median_return,29.16,23.25,1.25,1.2542,MAINTAINED,55,33,True
P2-1,FILLED,ALL,ge_50_rate_pct,9.0909,12.0026,12.0976,0.7574,MAINTAINED,55,33,False
P2-1,FILLED,ALL,ge_100_rate_pct,4.8485,5.2404,5.57,0.9252,MAINTAINED,55,33,False
P2-1,FILLED,ALL,le_neg_30_rate_pct,-12.1212,-6.305,-4.7549,1.9225,MAINTAINED,55,33,True
P2-1,FILLED,ALL,le_neg_50_rate_pct,0.0,-2.6233,-2.8747,0.0,VANISHED,55,33,True
P2-1,FILLED,ALL,le_neg_60_rate_pct,0.0,-1.3849,-2.345,0.0,VANISHED,55,33,True
P2-1,FILLED,ALL,return_auc_effect,0.1606,0.137,0.1142,1.1723,MAINTAINED,55,33,False
P2-1,FILLED,CLOSED_ONLY,mean_return,26.2495,18.728,20.0846,1.4016,MAINTAINED,53,24,False
P2-1,FILLED,CLOSED_ONLY,median_return,29.35,22.225,1.18,1.3206,MAINTAINED,53,24,True
P2-1,FILLED,CLOSED_ONLY,ge_50_rate_pct,8.6478,10.9854,12.0798,0.7872,MAINTAINED,53,24,False
P2-1,FILLED,CLOSED_ONLY,ge_100_rate_pct,7.1541,4.8437,5.5038,1.477,MAINTAINED,53,24,False
P2-1,FILLED,CLOSED_ONLY,le_neg_30_rate_pct,-4.1667,-0.7722,0.6281,5.3959,MAINTAINED,53,24,True
P2-1,FILLED,CLOSED_ONLY,le_neg_50_rate_pct,0.0,0.1656,0.2466,0.0,VANISHED,53,24,True
P2-1,FILLED,CLOSED_ONLY,le_neg_60_rate_pct,0.0,0.1656,0.0925,0.0,VANISHED,53,24,True
P2-1,FILLED,CLOSED_ONLY,return_auc_effect,0.1745,0.1285,0.1077,1.358,MAINTAINED,53,24,False
P2-2,ELIGIBLE,ALL,mean_return,20.781,22.0264,19.8357,0.9435,MAINTAINED,273,89,False
P2-2,ELIGIBLE,ALL,median_return,14.33,15.66,1.25,0.9151,MAINTAINED,273,89,False
P2-2,ELIGIBLE,ALL,ge_50_rate_pct,11.3265,13.3016,12.0976,0.8515,MAINTAINED,273,89,False
P2-2,ELIGIBLE,ALL,ge_100_rate_pct,6.4452,6.1402,5.57,1.0497,MAINTAINED,273,89,False
P2-2,ELIGIBLE,ALL,le_neg_30_rate_pct,-1.9056,-5.0434,-4.7549,0.3778,WEAKENED,273,89,False
