window,layer,comparison,best_entry_feature,best_entry_auc_effect_abs,normal_handoff_auc_effect_abs,lifecycle_larger
P2-1,ELIGIBLE,WIN_50_vs_REST,post_breakout_min_low_vs_level_pct_26w,0.1263,0.1696,True
P2-1,ELIGIBLE,WIN_100_vs_REST,range_position_24m,0.1355,0.2797,True
P2-1,ELIGIBLE,LOSS_ANY_vs_POSITIVE,wma52_slope_1w,0.1002,0.1706,True
P2-1,FILLED,WIN_50_vs_REST,post_breakout_min_low_vs_level_pct_26w,0.1594,0.1705,True
P2-1,FILLED,LOSS_ANY_vs_POSITIVE,range_position_24m,0.1099,0.1684,True
P2-2,ELIGIBLE,WIN_50_vs_REST,atr_14_pct,0.1013,0.154,True
P2-2,ELIGIBLE,WIN_100_vs_REST,market_cap_eok,0.1317,0.1611,True
P2-2,ELIGIBLE,LOSS_ANY_vs_POSITIVE,atr_14_pct,0.1008,0.1602,True
P2-2,FILLED,WIN_50_vs_REST,atr_14_pct,0.1654,0.1623,False
P2-2,FILLED,WIN_100_vs_REST,market_cap_eok,0.1748,0.1614,False
P2-2,FILLED,LOSS_ANY_vs_POSITIVE,atr_14_pct,0.1245,0.162,True
