window,layer,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,evaluable,filled_key_favorable,filled_key_unfavorable
P2-1,ELIGIBLE,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,98,69,25.6135,5.6306,19.9829,FAVORABLE,14.155,-14.52,28.675,FAVORABLE,22.449,13.0435,9.4055,FAVORABLE,9.1837,2.8986,6.2851,FAVORABLE,0.0,10.1449,-10.1449,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,26.1757,7.4238,-17.1103,-2.8986,0.6332,0.1332,5,0,True,,
P2-1,ELIGIBLE,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,98,32,25.6135,-0.6697,26.2832,FAVORABLE,14.155,-15.495,29.65,FAVORABLE,22.449,9.375,13.074,FAVORABLE,9.1837,3.125,6.0587,FAVORABLE,0.0,18.75,-18.75,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,34.0561,11.8622,-35.9056,-6.25,0.6971,0.1971,5,0,True,,
P2-1,ELIGIBLE,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,98,37,25.6135,11.0795,14.534,FAVORABLE,14.155,-11.36,25.515,FAVORABLE,22.449,16.2162,6.2328,FAVORABLE,9.1837,2.7027,6.481,FAVORABLE,0.0,2.7027,-2.7027,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,19.3602,3.5852,-0.8549,0.0,0.578,0.078,5,0,True,,
P2-1,ELIGIBLE,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,32,37,-0.6697,11.0795,-11.7492,UNFAVORABLE,-15.495,-11.36,-4.135,UNFAVORABLE,9.375,16.2162,-6.8412,UNFAVORABLE,3.125,2.7027,0.4223,FAVORABLE,18.75,2.7027,16.0473,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-14.6959,-8.277,35.0507,6.25,0.3463,-0.1537,1,4,True,,
P2-1,ELIGIBLE,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,95,48,25.0938,2.0385,23.0553,FAVORABLE,13.99,-14.86,28.85,FAVORABLE,21.0526,10.4167,10.6359,FAVORABLE,9.4737,2.0833,7.3904,FAVORABLE,0.0,4.1667,-4.1667,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,32.9605,8.6404,-21.6228,0.0,0.6612,0.1612,5,0,True,,
P2-1,ELIGIBLE,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,95,21,25.0938,-2.4952,27.589,FAVORABLE,13.99,-15.38,29.37,FAVORABLE,21.0526,4.7619,16.2907,FAVORABLE,9.4737,0.0,9.4737,FAVORABLE,0.0,4.7619,-4.7619,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,35.6391,10.4261,-37.6943,0.0,0.7033,0.2033,5,0,True,,
P2-1,ELIGIBLE,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,95,27,25.0938,5.5648,19.529,FAVORABLE,13.99,-14.66,28.65,FAVORABLE,21.0526,14.8148,6.2378,FAVORABLE,9.4737,3.7037,5.77,FAVORABLE,0.0,3.7037,-3.7037,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,30.8772,7.2515,-9.1228,0.0,0.6285,0.1285,5,0,True,,
P2-1,ELIGIBLE,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,21,27,-2.4952,5.5648,-8.06,UNFAVORABLE,-15.38,-14.66,-0.72,UNFAVORABLE,4.7619,14.8148,-10.0529,UNFAVORABLE,0.0,3.7037,-3.7037,UNFAVORABLE,4.7619,3.7037,1.0582,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-4.7619,-3.1746,28.5715,0.0,0.3959,-0.1041,0,5,True,,
P2-1,FILLED,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,55,33,24.8331,0.5524,24.2807,FAVORABLE,14.32,-14.84,29.16,FAVORABLE,18.1818,9.0909,9.0909,FAVORABLE,10.9091,6.0606,4.8485,FAVORABLE,0.0,12.1212,-12.1212,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,33.3334,7.2727,-16.3636,-3.0303,0.6606,0.1606,5,0,True,3.0,0.0
P2-1,FILLED,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,55,16,24.8331,-0.1381,24.9712,FAVORABLE,14.32,-15.155,29.475,FAVORABLE,18.1818,12.5,5.6818,FAVORABLE,10.9091,6.25,4.6591,FAVORABLE,0.0,18.75,-18.75,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,32.3864,6.7045,-27.1591,-6.25,0.6761,0.1761,5,0,True,3.0,0.0
