window,layer,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-1,ELIGIBLE,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,98,25.6135,14.155,-13.75,46.905,65.3061,30,30.6122,22,22.449,9,9.1837,23,23.4694,0,0.0,0,0.0,0,0.0,0,0.0,3.0612,96.9388,189.2041,116.5,59.1312,42.39,-11.8709,-11.235,33.5178,22.75
P2-1,ELIGIBLE,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,32,-0.6697,-15.495,-20.0275,23.625,31.25,6,18.75,3,9.375,1,3.125,19,59.375,6,18.75,2,6.25,0,0.0,0,0.0,34.375,65.625,332.5,134.5,32.9434,27.165,-23.9947,-18.785,33.6131,25.985
P2-1,ELIGIBLE,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,37,11.0795,-11.36,-14.95,31.03,45.9459,10,27.027,6,16.2162,1,2.7027,9,24.3243,1,2.7027,0,0.0,0,0.0,0,0.0,27.027,72.973,282.0,197.0,42.6368,37.54,-14.5957,-15.86,31.5573,24.59
P2-1,ELIGIBLE,ALL,COVERAGE_PATH_COMBINED,PRIMARY,69,5.6306,-14.52,-16.56,28.93,39.1304,16,23.1884,9,13.0435,2,2.8986,28,40.5797,7,10.1449,2,2.8986,0,0.0,0,0.0,30.4348,69.5652,305.4203,192.0,38.1413,29.52,-18.9546,-16.7,32.5107,25.62
P2-1,ELIGIBLE,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,188,-6.9327,-15.535,-16.53,-13.9825,20.7447,13,6.9149,7,3.7234,0,0.0,123,65.4255,1,0.5319,0,0.0,0,0.0,0,0.0,21.2766,78.7234,115.3245,61.0,17.2609,10.1,-15.5741,-16.56,24.1936,20.275
P2-1,ELIGIBLE,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,95,25.0938,13.99,-14.43,45.52,64.2105,28,29.4737,20,21.0526,9,9.4737,23,24.2105,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,163.0947,113.0,58.9851,40.93,-11.6969,-11.23,33.8913,23.16
P2-1,ELIGIBLE,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,21,-2.4952,-15.38,-17.05,11.89,28.5714,4,19.0476,1,4.7619,0,0.0,13,61.9048,1,4.7619,0,0.0,0,0.0,0,0.0,0.0,100.0,98.9048,66.0,23.8543,12.45,-17.5524,-17.18,26.3495,22.79
P2-1,ELIGIBLE,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,27,5.5648,-14.66,-16.25,27.67,33.3333,6,22.2222,4,14.8148,1,3.7037,9,33.3333,1,3.7037,0,0.0,0,0.0,0,0.0,0.0,100.0,158.2222,133.0,34.2733,22.34,-15.6863,-16.46,28.7085,24.59
P2-1,ELIGIBLE,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,48,2.0385,-14.86,-16.515,26.97,31.25,10,20.8333,5,10.4167,1,2.0833,22,45.8333,2,4.1667,0,0.0,0,0.0,0,0.0,0.0,100.0,132.2708,94.0,29.715,16.35,-16.5027,-16.65,27.6765,24.49
P2-1,ELIGIBLE,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,148,-16.2543,-15.92,-16.75,-15.2725,0.0,0,0.0,0,0.0,0,0.0,123,83.1081,1,0.6757,0,0.0,0,0.0,0,0.0,0.0,100.0,94.4865,48.0,12.267,6.66,-17.3575,-16.925,28.5213,22.46
