window,layer,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,net_realized_closed_n,net_realized_mean,net_realized_median
P2-2,FILLED,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,138,29.2386,-7.93,-15.8,53.2225,47.1014,42,30.4348,36,26.087,19,13.7681,53,38.4058,4,2.8986,2,1.4493,1,0.7246,0,0.0,4.3478,95.6522,219.6739,101.5,67.2921,33.475,-15.4049,-15.71,38.0535,24.395,132,27.6742,-10.5512
P2-2,FILLED,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,12,-10.4192,-15.495,-17.3625,-14.355,8.3333,1,8.3333,1,8.3333,0,0.0,8,66.6667,1,8.3333,1,8.3333,1,8.3333,0,0.0,16.6667,83.3333,186.0,62.5,22.6958,10.825,-21.7717,-17.195,33.115,25.985,10,-6.621,-15.8636
P2-2,FILLED,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,25,11.5264,-13.35,-16.21,24.11,36.0,6,24.0,4,16.0,3,12.0,10,40.0,0,0.0,0,0.0,0,0.0,0,0.0,20.0,80.0,294.88,197.0,46.6756,22.54,-15.2256,-16.14,35.1492,25.42,20,6.9173,-15.6078
P2-2,FILLED,ALL,COVERAGE_PATH_COMBINED,PRIMARY,37,4.4089,-14.84,-16.24,16.67,27.027,7,18.9189,5,13.5135,3,8.1081,18,48.6486,1,2.7027,1,2.7027,1,2.7027,0,0.0,18.9189,81.0811,259.5676,93.0,38.8984,11.92,-17.3486,-16.61,34.4895,25.66,30,2.4045,-15.8636
P2-2,FILLED,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,67,-10.3955,-15.64,-16.425,-14.74,11.9403,2,2.9851,2,2.9851,0,0.0,45,67.1642,1,1.4925,0,0.0,0,0.0,0,0.0,16.4179,83.5821,112.9851,54.0,18.6579,9.94,-16.4451,-16.67,29.0534,23.44,56,-16.6554,-16.2208
P2-2,FILLED,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,132,28.2179,-10.15,-15.95,50.4325,45.4545,39,29.5455,33,25.0,18,13.6364,53,40.1515,4,3.0303,2,1.5152,1,0.7576,0,0.0,0.0,100.0,220.2424,97.0,61.4773,30.525,-15.6319,-15.87,33.2595,23.89,132,27.6742,-10.5512
P2-2,FILLED,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,10,-6.209,-15.495,-16.4325,-14.6975,10.0,1,10.0,1,10.0,0,0.0,7,70.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,84.0,62.5,25.606,11.425,-18.312,-17.195,31.815,25.985,10,-6.621,-15.8636
P2-2,FILLED,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,20,7.38,-15.215,-16.4425,-1.0225,25.0,4,20.0,3,15.0,3,15.0,10,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,207.15,94.0,40.3405,10.19,-15.0635,-16.59,32.9605,23.79,20,6.9173,-15.6078
P2-2,FILLED,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,30,2.8503,-15.485,-16.5775,-11.445,20.0,5,16.6667,4,13.3333,3,10.0,17,56.6667,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,166.1,75.5,35.429,10.825,-16.1463,-16.72,32.5787,24.66,30,2.4045,-15.8636
P2-2,FILLED,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,56,-16.2932,-15.885,-16.6075,-15.185,0.0,0,0.0,0,0.0,0,0.0,45,80.3571,1,1.7857,0,0.0,0,0.0,0,0.0,0.0,100.0,87.9821,50.0,14.4387,8.53,-17.6061,-16.835,30.732,24.54,56,-16.6554,-16.2208
