sample_id,ticker,name,completed_weekly_reference_date,outcome_review_end,human_outcome,entry_found,entry_grade,signal_date,execution_date,entry_open,fast_score_at_entry,fast_score_status,fast_stage_at_entry,monthly_regime_at_entry,daily_risk_at_entry,pattern_a_score_at_entry,pattern_a_stage_at_entry,pattern_a_candidate_state_at_entry,weeks_from_reference_to_entry,return_4w,return_8w,return_12w,return_26w,mfe_4w,mfe_8w,mfe_12w,mfe_26w,mae_4w,mae_8w,mae_12w,mae_26w,followup_status_4w,followup_status_8w,followup_status_12w,followup_status_26w,no_entry_reason
INV_OOS_B_001,178920,PI첨단소재,2023-06-30,2024-07-26,TOO_EARLY,True,Grade A,2024-07-19,2024-07-22,31000.0,71.57,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,55.0,,,,,,,,,,,,,CENSORED,CENSORED,CENSORED,CENSORED,
INV_OOS_B_002,281740,레이크머티리얼즈,2023-03-31,2024-05-03,GOOD_TRIGGER,True,Grade A,2024-02-23,2024-02-26,21950.0,79.57,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,47.0,11.62,-1.59,,,50.8,50.8,,,-12.12,-12.12,,,COMPLETED,COMPLETED,CENSORED,CENSORED,
INV_OOS_B_003,060230,소니드,2023-06-30,2024-07-26,NO_SETUP,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_004,064350,현대로템,2022-09-30,2023-10-20,BORDERLINE_TRIGGER,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_SCORE_UNAVAILABLE
INV_OOS_B_005,000720,현대건설,2021-06-25,2022-07-01,TOO_LATE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_LATE_OR_EXTENDED_REGIME
INV_OOS_B_006,138040,메리츠금융지주,2025-06-27,2025-12-30,TOO_LATE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_LATE_OR_EXTENDED_REGIME
INV_OOS_B_007,036710,심텍홀딩스,2023-06-30,2024-07-26,FALSE_TRIGGER,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_008,200130,콜마비앤에이치,2023-12-22,2025-01-10,NO_SETUP,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_EARLY_REGIME
INV_OOS_B_009,402030,코난테크놀로지,2025-06-27,2026-07-24,FALSE_TRIGGER,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_010,022100,포스코DX,2024-09-27,2025-10-17,TOO_EARLY,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_011,048410,현대바이오,2024-09-27,2025-10-17,NO_SETUP,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_012,214320,이노션,2023-12-22,2025-01-10,FALSE_TRIGGER,True,Grade B,2024-05-03,2024-05-07,23800.0,70.62,PARTIAL,TRIGGER,PERMITTED_REGIME,ELEVATED,,,non_candidate,19.0,-8.61,-9.87,-17.02,-15.13,0.0,0.0,0.0,0.0,-9.03,-12.39,-17.77,-23.53,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_013,119830,아이텍,2024-06-28,2025-07-04,TOO_EARLY,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_EARLY_REGIME
INV_OOS_B_014,053080,케이엔솔,2023-09-22,2024-10-18,TOO_EXTENDED,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_015,079940,가비아,2024-12-27,2026-01-16,GOOD_TRIGGER,True,Grade A,2025-04-18,2025-04-21,21350.0,75.07,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,83.90706213476666,early_trend,candidate,16.0,-4.92,14.05,16.16,25.06,6.09,15.46,34.43,46.6,-12.18,-12.18,-12.18,-12.18,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_016,256940,케이피에스,2022-12-23,2024-01-19,BORDERLINE_TRIGGER,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_SCORE_UNAVAILABLE
INV_OOS_B_017,074600,원익QnC,2023-09-22,2024-10-18,BORDERLINE_TRIGGER,True,Grade A,2024-01-05,2024-01-08,31950.0,70.81,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,15.0,-11.58,-9.86,3.76,5.79,7.67,7.67,10.8,28.33,-14.87,-18.31,-18.31,-18.31,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_018,033780,KT&G,2023-09-22,2024-10-18,GOOD_TRIGGER,True,Grade A,2024-03-08,2024-03-11,93300.0,78.63,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,24.0,-2.68,-1.29,-10.5,19.4,2.89,2.89,2.89,21.65,-3.86,-6.22,-10.5,-10.5,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_019,051900,LG생활건강,2025-06-27,2026-07-24,NO_SETUP,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_020,271560,오리온,2023-12-22,2025-01-10,TOO_EARLY,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_TRIGGER
INV_OOS_B_021,214150,클래시스,2021-06-25,2022-07-01,BORDERLINE_TRIGGER,True,Grade A,2021-06-25,2021-06-28,17800.0,80.07,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,0.0,25.56,36.8,17.7,4.78,27.25,52.81,52.81,52.81,-0.84,-0.84,-0.84,-5.62,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_022,010140,삼성중공업,2024-03-29,2025-03-28,GOOD_TRIGGER,True,Grade A,2024-03-29,2024-04-01,8600.0,77.82,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,,,non_candidate,0.0,14.53,12.21,3.37,18.37,17.67,19.77,19.77,42.79,-3.6,-3.6,-3.6,-3.6,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_023,125210,아모그린텍,2023-03-31,2024-05-03,FALSE_TRIGGER,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIGGER_BUT_SCORE_UNAVAILABLE
INV_OOS_B_024,004020,현대제철,2024-12-27,2026-01-16,TOO_EARLY,True,Grade A,2025-03-07,2025-03-10,31350.0,72.31,PARTIAL,TRIGGER,PERMITTED_REGIME,NORMAL,21.800470915563,weak,non_candidate,10.0,-22.97,-21.21,-10.05,19.62,0.16,0.16,0.16,22.65,-26.16,-31.74,-31.74,-31.74,COMPLETED,COMPLETED,COMPLETED,COMPLETED,
INV_OOS_B_025,028050,삼성엔지니어링,2022-03-25,2023-04-07,BORDERLINE_TRIGGER,True,Grade A,2023-02-17,2023-02-20,28250.0,74.49,READY,TRIGGER,PERMITTED_REGIME,NORMAL,85.58996965928716,transition,candidate,47.0,5.84,,,,7.96,,,,-7.96,,,,COMPLETED,CENSORED,CENSORED,CENSORED,
INV_OOS_B_026,101530,해태제과식품,2024-09-27,2025-10-17,BORDERLINE_TRIGGER,True,Grade A,2025-06-13,2025-06-16,7080.0,76.04,READY,TRIGGER,PERMITTED_REGIME,NORMAL,86.34345903929355,transition,candidate,37.0,10.88,0.28,-2.97,,25.71,25.71,25.71,,-5.08,-5.08,-9.6,,COMPLETED,COMPLETED,COMPLETED,CENSORED,
INV_OOS_B_027,084370,유진테크,2024-12-27,2026-01-16,TOO_EARLY,True,Grade A,2025-08-22,2025-08-25,48750.0,76.04,READY,TRIGGER,PERMITTED_REGIME,NORMAL,73.31117480962104,early_trend,candidate,34.0,32.72,88.51,58.56,,34.77,92.82,123.59,,-8.72,-8.72,-8.72,,COMPLETED,COMPLETED,COMPLETED,CENSORED,
