ticker,isu_cd,entry_signal_date,entry_execution_date,name,market,representative_window,observed_windows,n_windows_observed,same_cutoff_return_spread,trade_id,pair_id,trade_status,exit_type,terminal_return,enrichment_status
000880,KR7000880005,2014-01-03,2014-01-06,880,KOSPI,P1,P1,1,0.0,000880_01,000880|KR7000880005|KOSPI|2010-01-04|2026-09-01|000880_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.3,READY
001720,KR7001720002,2014-01-03,2014-01-06,1720,KOSPI,P1,P1,1,0.0,001720_01,001720|KR7001720002|KOSPI|2010-01-04|2026-09-01|001720_01,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,41.86,READY
002170,KR7002170009,2014-01-03,2014-01-06,2170,KOSPI,P1,P1,1,0.0,002170_01,002170|KR7002170009|KOSPI|2010-01-04|2026-09-01|002170_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,148.43,READY
002300,KR7002300002,2014-01-03,2014-01-06,2300,KOSPI,P1,P1,1,0.0,002300_01,002300|KR7002300002|KOSPI|2010-01-04|2020-07-10|002300_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.0,READY
002790,KR7002790004,2014-01-03,2014-01-06,2790,KOSPI,P1,P1,1,0.0,002790_01,002790|KR7002790004|KOSPI|2010-01-04|2026-09-01|002790_01,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,269.76,READY
003000,KR7003000007,2014-01-03,2014-01-06,3000,KOSPI,P1,P1,1,0.0,003000_01,003000|KR7003000007|KOSPI|2010-01-04|2026-09-01|003000_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,344.84,READY
003800,KR7003800000,2014-01-03,2014-01-06,3800,KOSDAQ,P1,P1,1,0.0,003800_01,003800|KR7003800000|KOSDAQ|2010-01-04|2026-09-01|003800_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-0.46,READY
003920,KR7003920006,2014-01-03,2014-01-06,3920,KOSPI,P1,P1,1,0.0,003920_01,003920|KR7003920006|KOSPI|2010-01-04|2026-09-01|003920_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.26,READY
004780,KR7004780003,2014-01-03,2014-01-06,4780,KOSDAQ,P1,P1,1,0.0,004780_01,004780|KR7004780003|KOSDAQ|2010-01-04|2026-09-01|004780_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,34.8,READY
004990,KR7004990008,2014-01-03,2014-01-06,4990,KOSPI,P1,P1,1,0.0,004990_01,004990|KR7004990008|KOSPI|2010-01-04|2026-09-01|004990_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-14.43,READY
006060,KR7006060008,2014-01-03,2014-01-06,6060,KOSPI,P1,P1,1,0.0,006060_01,006060|KR7006060008|KOSPI|2010-01-04|2026-09-01|006060_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,0.41,READY
006220,KR7006220008,2014-01-03,2014-01-06,6220,KOSPI,P1,P1,1,0.0,006220_01,006220|KR7006220008|KOSPI|2010-01-04|2026-09-01|006220_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,114.02,READY
006650,KR7006650006,2014-01-03,2014-01-06,6650,KOSPI,P1,P1,1,0.0,006650_01,006650|KR7006650006|KOSPI|2010-01-04|2026-09-01|006650_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.09,READY
006920,KR7006920003,2014-01-03,2014-01-06,6920,KOSDAQ,P1,P1,1,0.0,006920_01,006920|KR7006920003|KOSDAQ|2010-01-04|2026-09-01|006920_01,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,43.3,READY
007210,KR7007210008,2014-01-03,2014-01-06,7210,KOSPI,P1,P1,1,0.0,007210_01,007210|KR7007210008|KOSPI|2010-01-04|2026-09-01|007210_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,51.04,READY
007690,KR7007690001,2014-01-03,2014-01-06,7690,KOSPI,P1,P1,1,0.0,007690_01,007690|KR7007690001|KOSPI|2010-01-04|2026-09-01|007690_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.64,READY
009200,KR7009200007,2014-01-03,2014-01-06,9200,KOSPI,P1,P1,1,0.0,009200_01,009200|KR7009200007|KOSPI|2010-01-04|2026-09-01|009200_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-14.85,READY
013700,KR7013700000,2014-01-03,2014-01-06,13700,KOSPI,P1,P1,1,0.0,013700_01,013700|KR7013700000|KOSPI|2010-01-04|2026-09-01|013700_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,71.05,READY
014530,KR7014530000,2014-01-03,2014-01-06,14530,KOSPI,P1,P1,1,0.0,014530_01,014530|KR7014530000|KOSPI|2010-01-04|2026-09-01|014530_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,77.08,READY
014580,KR7014580005,2014-01-03,2014-01-06,14580,KOSPI,P1,P1,1,0.0,014580_01,014580|KR7014580005|KOSPI|2010-01-04|2026-09-01|014580_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,164.8,READY
016450,KR7016450009,2014-01-03,2014-01-06,16450,KOSPI,P1,P1,1,0.0,016450_01,016450|KR7016450009|KOSPI|2010-01-04|2026-09-01|016450_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,87.3,READY
027710,KR7027710003,2014-01-03,2014-01-06,27710,KOSDAQ,P1,P1,1,0.0,027710_01,027710|KR7027710003|KOSDAQ|2010-01-04|2026-09-01|027710_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.56,READY
030520,KR7030520001,2014-01-03,2014-01-06,30520,KOSDAQ,P1,P1,1,0.0,030520_01,030520|KR7030520001|KOSDAQ|2010-01-04|2026-09-01|030520_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.07,READY
030530,KR7030530000,2014-01-03,2014-01-07,30530,KOSDAQ,P1,P1,1,0.0,030530_01,030530|KR7030530000|KOSDAQ|2010-01-04|2026-09-01|030530_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,66.7,READY
036460,KR7036460004,2014-01-03,2014-01-06,36460,KOSPI,P1,P1,1,0.0,036460_01,036460|KR7036460004|KOSPI|2010-01-04|2026-09-01|036460_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.91,READY
036480,KR7036480002,2014-01-03,2014-01-06,36480,KOSDAQ,P1,P1,1,0.0,036480_01,036480|KR7036480002|KOSDAQ|2010-01-04|2026-09-01|036480_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,211.94,READY
038540,KR7038540001,2014-01-03,2014-01-06,38540,KOSDAQ,P1,P1,1,0.0,038540_01,038540|KR7038540001|KOSDAQ|2010-01-04|2026-09-01|038540_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,63.43,READY
047050,KR7047050000,2014-01-03,2014-01-06,47050,KOSPI,P1,P1,1,0.0,047050_01,047050|KR7047050000|KOSPI|2010-01-04|2026-09-01|047050_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.23,READY
050090,KR7050090000,2014-01-03,2014-01-06,50090,KOSDAQ,P1,P1,1,0.0,050090_01,050090|KR7050090000|KOSDAQ|2010-01-04|2026-09-01|050090_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-24.84,READY
053740,KR7053740007,2014-01-03,2014-01-06,53740,KOSDAQ,P1,P1,1,0.0,053740_01,053740|KR7053740007|KOSDAQ|2010-01-04|2015-02-09|053740_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,36.64,READY
063170,KR7063170005,2014-01-03,2014-01-06,63170,KOSDAQ,P1,P1,1,0.0,063170_01,063170|KR7063170005|KOSDAQ|2010-01-04|2026-09-01|063170_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,218.4,READY
069140,KR7069140002,2014-01-03,2014-01-06,69140,KOSDAQ,P1,P1,1,0.0,069140_01,069140|KR7069140002|KOSDAQ|2010-10-26|2026-09-01|069140_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-17.03,READY
