ticker,isu_cd,identity_effective_from,entry_signal_date,ledger_entry_pattern_a_stage,ledger_fast_score,enrichment_status,enrichment_error,reconstructed_pattern_a_stage,pattern_a_score,pattern_a_evaluation_status,reconstructed_fast_score,fast_weekly_core_score,fast_conditional_status,reconstructed_fast_machine_stage,range_position_24m,monthly_down_month_ratio_12m,distance_to_prior_26w_high_pct,close_vs_wma200_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,weeks_since_26w_close_breakout,post_breakout_min_low_vs_level_pct_26w,recent_5d_max_gap_abs_pct,atr_14_pct,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,stage_match,fast_score_match
000020,KR7000020008,2010-01-04,2014-04-18,TRANSITION,76.85,READY,,TRANSITION,75.6678,READY,76.85,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.398089,0.5,0.008375,0.124167,8.0,-0.000493,0.045715,0.0,,0.008264,0.024798,1681.47,5.22,5.7,INVESTABLE,True,True
000020,KR7000020008,2010-01-04,2014-10-31,TRANSITION,78.49,READY,,TRANSITION,57.8287,READY,78.49,82.75,EVENT_OBSERVED,TRIGGER,0.574879,0.416667,-0.052795,0.124289,9.0,0.001824,0.00318,2.0,-0.02269,0.009677,0.038876,1703.82,9.48,6.0,INVESTABLE,True,True
000020,KR7000020008,2010-01-04,2015-03-13,TRANSITION,79.3,READY,,TRANSITION,64.7254,READY,79.3,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.623188,0.416667,0.025758,0.222938,8.0,0.003336,0.017033,0.0,,0.012365,0.02701,1890.96,7.02,5.56,INVESTABLE,True,True
000020,KR7000020008,2010-01-04,2018-01-26,EARLY_TREND,75.49,READY,,EARLY_TREND,94.0023,READY,75.49,82.75,EVENT_OBSERVED,TRIGGER,0.550102,0.416667,-0.069264,0.348893,8.0,0.005203,0.07988,10.0,-0.113171,0.014286,0.034751,3002.63,22.18,26.52,INVESTABLE,True,True
000050,KR7000050005,2010-01-04,2014-08-08,TRANSITION,76.94,READY,,TRANSITION,85.489,READY,76.94,81.25,EVENT_NOT_OBSERVED,TRIGGER,0.762802,0.583333,0.085106,0.635526,8.0,0.005138,-0.024122,0.0,,0.021053,0.047157,4194.54,7.26,3.57,INVESTABLE,True,True
000050,KR7000050005,2010-01-04,2016-10-07,TRANSITION,76.85,READY,,TRANSITION,73.0583,READY,76.85,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.36,0.583333,0.007557,0.280271,7.0,-0.001112,0.024459,0.0,,0.010101,0.026429,5483.05,23.13,14.46,INVESTABLE,True,True
000050,KR7000050005,2010-01-04,2020-05-29,TRANSITION,72.74,READY,,TRANSITION,21.5774,READY,72.74,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.823864,0.583333,0.064639,0.080243,7.0,0.006839,0.039138,0.0,,0.042802,0.059235,3838.14,19.88,19.05,INVESTABLE,True,True
000050,KR7000050005,2010-01-04,2021-05-28,EARLY_TREND,77.99,READY,,EARLY_TREND,85.4535,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.757396,0.416667,0.006515,0.29018,8.0,0.00229,0.054011,0.0,,0.00639,0.042765,4235.66,12.6,7.75,INVESTABLE,True,True
000050,KR7000050005,2010-01-04,2022-04-29,EARLY_TREND,73.24,READY,,EARLY_TREND,98.1948,READY,73.24,82.75,EVENT_OBSERVED,TRIGGER,0.766709,0.416667,-0.053571,0.326387,8.0,0.003719,0.049515,3.0,-0.0375,0.038806,0.03796,4359.03,4.15,2.51,INVESTABLE,True,True
000060,KR7000060004,2010-01-04,2015-05-08,EARLY_TREND,78.49,READY,,EARLY_TREND,78.918,READY,78.49,82.75,EVENT_OBSERVED,TRIGGER,0.663158,0.583333,-0.050676,0.104338,6.0,0.001285,0.024038,3.0,-0.010949,0.006993,0.031774,14887.8,84.93,58.87,INVESTABLE,True,True
000060,KR7000060004,2010-01-04,2018-11-23,TRANSITION,72.24,READY,,TRANSITION,77.9754,READY,72.24,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.253521,0.75,0.004566,0.234196,7.0,-0.002446,-0.001322,0.0,,0.006818,0.043019,25009.6,54.08,39.41,INVESTABLE,True,True
000060,KR7000060004,2010-01-04,2021-04-02,TRANSITION,81.55,READY,,TRANSITION,14.5137,READY,81.55,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.618234,0.166667,0.013333,-0.002217,10.0,0.009056,0.051967,0.0,,0.007732,0.024436,22918.75,93.41,92.79,INVESTABLE,True,True
000070,KR7000070003,2010-01-04,2014-07-11,TRANSITION,74.6,READY,,TRANSITION,90.6194,READY,74.6,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.428553,0.666667,0.028665,0.035661,7.0,-0.000447,0.006215,0.0,,0.010142,0.025771,6454.67,6.52,5.19,INVESTABLE,True,True
000070,KR7000070003,2010-01-04,2021-01-22,TRANSITION,77.99,READY,,TRANSITION,30.3628,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.686436,0.583333,0.09297,0.071647,9.0,0.009818,0.052195,0.0,,0.012046,0.038479,7853.44,36.92,19.85,INVESTABLE,True,True
000070,KR7000070003,2010-01-04,2025-06-13,TRANSITION,80.99,READY,,TRANSITION,49.6667,READY,80.99,82.75,EVENT_OBSERVED,TRIGGER,0.580148,0.583333,-0.035845,0.143504,8.0,0.003895,0.021936,1.0,0.096858,0.003439,0.046875,7481.89,52.82,23.15,INVESTABLE,True,True
000080,KR7000080002,2010-01-04,2016-01-15,TRANSITION,80.99,READY,,TRANSITION,61.6259,READY,80.99,82.75,EVENT_OBSERVED,TRIGGER,0.41958,0.5,-0.029877,0.098464,6.0,0.004262,0.034188,1.0,0.068898,0.0161,0.036749,19356.88,98.49,63.9,INVESTABLE,True,True
000080,KR7000080002,2010-01-04,2017-06-02,TRANSITION,75.1,READY,,TRANSITION,65.3167,READY,75.1,79.25,EVENT_OBSERVED,TRIGGER,0.365145,0.666667,-0.006148,0.027455,7.0,-8.8e-05,0.010184,1.0,-0.018789,0.006198,0.026804,17007.4,115.23,64.93,INVESTABLE,True,True
000080,KR7000080002,2010-01-04,2019-04-26,TRANSITION,71.6,READY,,TRANSITION,47.8234,READY,71.6,71.75,EVENT_NOT_OBSERVED,TRIGGER,0.275,0.583333,0.055118,-0.091004,8.0,-0.001665,0.039303,0.0,,0.010204,0.024698,14096.86,67.31,46.02,INVESTABLE,True,True
000080,KR7000080002,2010-01-04,2021-07-02,TRANSITION,75.1,READY,,TRANSITION,82.3646,READY,75.1,79.25,EVENT_OBSERVED,TRIGGER,0.654982,0.666667,-0.09816,0.373651,6.0,-0.003294,0.023299,4.0,-0.060567,0.009284,0.022157,25774.1,195.23,200.26,INVESTABLE,True,True
000100,KR7000100008,2010-01-04,2014-10-17,TRANSITION,74.05,READY,,TRANSITION,86.3434,READY,74.05,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.527973,0.5,0.002741,0.206408,7.0,0.001533,0.010762,0.0,,0.049378,0.024566,21412.89,59.78,50.65,INVESTABLE,True,True
000100,KR7000100008,2010-01-04,2023-06-02,TRANSITION,79.3,READY,,TRANSITION,60.2989,READY,79.3,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.652402,0.5,0.008259,0.166861,9.0,0.00144,0.018459,0.0,,0.011805,0.021395,46826.22,107.76,114.36,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2014-04-04,TRANSITION,78.49,READY,,TRANSITION,96.7301,READY,78.49,82.75,EVENT_OBSERVED,TRIGGER,0.790373,0.5,-0.061224,0.253584,6.0,0.004219,0.109398,5.0,-0.017778,0.012712,0.034783,26234.2,45.28,57.08,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2017-06-02,TRANSITION,76.85,READY,,TRANSITION,53.347,READY,76.85,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.474684,0.5,0.039062,0.189525,9.0,-0.00157,0.009052,0.0,,0.007812,0.02381,45510.63,127.57,86.17,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2018-05-11,TRANSITION,69.24,READY,,TRANSITION,25.3976,READY,69.24,70.25,EVENT_NOT_OBSERVED,TRIGGER,0.323144,0.583333,0.073846,-0.031961,8.0,-0.000496,-0.00036,0.0,,0.013072,0.043799,39807.54,176.98,138.46,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2018-06-22,TRANSITION,65.54,READY,,TRANSITION,24.0917,READY,65.54,71.75,EVENT_OBSERVED,TRIGGER,0.262009,0.666667,-0.068182,-0.09159,7.0,-0.003054,0.072306,6.0,-0.101538,0.012987,0.038545,37412.24,130.5,137.05,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2020-05-29,TRANSITION,79.19,READY,,TRANSITION,67.0185,READY,79.19,81.25,EVENT_NOT_OBSERVED,TRIGGER,0.6,0.333333,0.003115,-0.000234,9.0,0.000199,-0.015415,0.0,,0.019481,0.034827,36727.87,150.4,123.26,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2024-01-05,TRANSITION,73.24,READY,,TRANSITION,30.8942,READY,73.24,75.25,EVENT_OBSERVED,TRIGGER,0.843478,0.583333,-0.034722,-0.025655,9.0,0.00822,0.130713,2.0,-0.013578,0.007752,0.040996,28538.24,156.72,123.47,INVESTABLE,True,True
000120,KR7000120006,2010-01-04,2026-01-30,TRANSITION,77.99,READY,,TRANSITION,22.522,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.376045,0.416667,0.002899,0.084838,9.0,0.005253,0.07834,0.0,,0.007064,0.035095,23679.21,82.65,80.17,INVESTABLE,True,True
000140,KR7000140004,2010-01-04,2014-03-07,TRANSITION,68.04,READY,,TRANSITION,67.238,READY,68.04,71.75,EVENT_NOT_OBSERVED,TRIGGER,0.410331,0.666667,0.056818,-0.043282,8.0,-0.003451,0.017404,0.0,,0.011628,0.030722,3237.34,6.29,4.37,INVESTABLE,True,True
000140,KR7000140004,2010-01-04,2015-04-17,TRANSITION,79.3,READY,,TRANSITION,15.4195,READY,79.3,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.312,0.583333,0.007117,0.123587,6.0,0.001079,0.004704,0.0,,0.007722,0.027764,3283.76,6.04,5.15,INVESTABLE,True,True
000140,KR7000140004,2010-01-04,2020-01-03,EARLY_TREND,77.74,READY,,EARLY_TREND,94.4504,READY,77.74,82.75,EVENT_OBSERVED,TRIGGER,0.814371,0.25,-0.098305,0.237117,8.0,0.012052,0.119812,8.0,-0.159011,0.007576,0.033029,3086.5,6.46,8.74,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2016-08-12,TRANSITION,73.24,READY,,TRANSITION,35.2196,READY,73.24,75.25,EVENT_OBSERVED,TRIGGER,0.5472,0.583333,-0.008613,-0.023816,8.0,0.003706,0.05151,2.0,-0.041287,0.013268,0.035714,24461.52,71.38,77.78,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2017-06-02,TRANSITION,77.44,READY,,TRANSITION,47.1202,READY,77.44,81.25,EVENT_OBSERVED,TRIGGER,0.610982,0.416667,-0.02965,0.016931,9.0,0.00327,-0.022029,1.0,-0.043294,0.021548,0.040547,23137.8,103.37,64.53,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2018-09-14,TRANSITION,77.99,READY,,TRANSITION,64.896,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.431821,0.583333,0.089158,0.295083,9.0,0.000932,0.005885,0.0,,0.018312,0.041941,26973.19,110.03,70.48,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2021-07-02,EARLY_TREND,78.49,READY,,EARLY_TREND,69.8224,READY,78.49,82.75,EVENT_OBSERVED,TRIGGER,0.845411,0.416667,-0.092166,0.346558,10.0,0.021348,0.218189,3.0,-0.032151,0.006403,0.039666,16275.98,199.43,163.8,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2022-11-25,TRANSITION,73.29,READY,,TRANSITION,60.1346,READY,73.29,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.307164,0.666667,0.021944,0.323278,6.0,-0.004756,0.069372,0.0,,0.004362,0.046524,16160.31,165.65,205.83,INVESTABLE,True,True
000150,KR7000150003,2010-01-04,2023-03-10,EARLY_TREND,73.29,READY,,EARLY_TREND,82.7825,READY,73.29,79.25,EVENT_NOT_OBSERVED,TRIGGER,0.535802,0.666667,0.028653,0.442239,8.0,-0.004219,0.030053,0.0,,0.017208,0.048747,17796.17,242.67,151.25,INVESTABLE,True,True
