comparison,group,reference,extreme_contrast,feature,feature_kind,level,n_group_rows,n_reference_rows,group_n,group_mean,group_median,group_q25,group_q75,reference_n,reference_mean,reference_median,reference_q25,reference_q75,median_difference,mean_difference,auc,effect,effect_unit,direction,grade,window_signs_P1_P21_P22_P31_P32,disjoint_signs_pre2021_from2021,qualifying_windows,windows_same_sign,disjoint_evaluable,disjoint_same_sign,group_share_pct,reference_share_pct,group_level_count,reference_level_count
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_score,numeric,,830,4550,830,76.189,76.94,73.335,78.49,4550,76.0805,76.85,73.24,78.49,0.09,0.1085,0.5096,0.0096,AUC-0.5,HIGHER_IN_GROUP,WEAK,+----,+-,5,1,True,1,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,pattern_a_score,numeric,,830,4550,830,59.937,61.2597,44.0469,78.318,4550,58.7251,60.2777,40.4933,77.7672,0.982,1.2119,0.5132,0.0132,AUC-0.5,HIGHER_IN_GROUP,WEAK,+++++,++,5,5,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,fast_weekly_core_score,numeric,,830,4550,830,80.5554,82.75,79.25,82.75,4550,80.5596,82.75,79.25,82.75,0.0,-0.0042,0.4993,-0.0007,AUC-0.5,LOWER_IN_GROUP,WEAK,++---,+-,5,3,True,1,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,range_position_24m,numeric,,830,4550,830,0.5493,0.5506,0.4158,0.6894,4550,0.5479,0.5426,0.4077,0.6859,0.008,0.0014,0.5033,0.0033,AUC-0.5,HIGHER_IN_GROUP,WEAK,-+-+-,++,5,2,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,monthly_down_month_ratio_12m,numeric,,830,4550,830,0.4817,0.5,0.4167,0.5833,4550,0.4761,0.5,0.4167,0.5833,0.0,0.0056,0.5108,0.0108,AUC-0.5,HIGHER_IN_GROUP,WEAK,+-+-+,++,5,3,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,distance_to_prior_26w_high_pct,numeric,,830,4550,830,0.0069,0.0081,-0.0419,0.0406,4550,0.0105,0.0104,-0.0438,0.0443,-0.0023,-0.0036,0.4887,-0.0113,AUC-0.5,LOWER_IN_GROUP,WEAK,-----,--,5,5,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,close_vs_wma200_pct,numeric,,830,4550,800,0.1785,0.1346,0.0297,0.2973,4317,0.2002,0.1629,0.0313,0.3279,-0.0283,-0.0217,0.4748,-0.0252,AUC-0.5,LOWER_IN_GROUP,WEAK,---+-,--,5,4,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,higher_weekly_low_count_13w,numeric,,830,4550,830,7.6,8.0,7.0,9.0,4550,7.6343,8.0,7.0,9.0,0.0,-0.0343,0.4961,-0.0039,AUC-0.5,LOWER_IN_GROUP,WEAK,-+-+-,+-,5,3,True,1,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma52_slope_1w,numeric,,830,4550,830,0.004,0.0033,0.0009,0.0067,4550,0.0045,0.0039,0.0012,0.0073,-0.0006,-0.0005,0.4689,-0.0311,AUC-0.5,LOWER_IN_GROUP,WEAK,-+-+-,--,5,3,True,2,,,,
WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,wma12_vs_wma26_pct,numeric,,830,4550,830,0.0519,0.042,0.0173,0.0752,4550,0.0575,0.0458,0.0225,0.0815,-0.0038,-0.0056,0.4676,-0.0324,AUC-0.5,LOWER_IN_GROUP,WEAK,-+-+-,--,5,3,True,2,,,,
