feature,quartile,trades,value_min,value_max,mean_terminal_return,WIN_50_count,WIN_50_rate_pct,WIN_100_count,WIN_100_rate_pct,LOSS_30_count,LOSS_30_rate_pct,LOSS_50_count,LOSS_50_rate_pct
atr_14_pct,Q1_LOW,1345,0.002807,0.032023,14.0757,247,18.3643,102,7.5836,16,1.1896,7,0.5204
atr_14_pct,Q2,1345,0.032035,0.041983,10.2788,217,16.1338,94,6.9888,25,1.8587,7,0.5204
atr_14_pct,Q3,1345,0.041985,0.05458,8.0351,199,14.7955,75,5.5762,28,2.0818,8,0.5948
atr_14_pct,Q4_HIGH,1345,0.054611,0.148421,7.4407,167,12.4164,75,5.5762,41,3.0483,19,1.4126
close_vs_wma200_pct,Q1_LOW,1280,-0.099954,0.030863,10.1313,204,15.9375,89,6.9531,23,1.7969,13,1.0156
close_vs_wma200_pct,Q2,1279,0.030954,0.156654,14.0079,233,18.2174,94,7.3495,21,1.6419,8,0.6255
close_vs_wma200_pct,Q3,1279,0.156654,0.324001,9.8023,185,14.4644,79,6.1767,26,2.0328,5,0.3909
close_vs_wma200_pct,Q4_HIGH,1279,0.324071,1.694581,7.7704,178,13.9171,73,5.7076,33,2.5801,12,0.9382
distance_to_prior_26w_high_pct,Q1_LOW,1345,-0.1,-0.043478,10.4251,202,15.0186,81,6.0223,33,2.4535,17,1.2639
distance_to_prior_26w_high_pct,Q2,1345,-0.04345,0.010072,11.8638,232,17.2491,100,7.4349,22,1.6357,8,0.5948
distance_to_prior_26w_high_pct,Q3,1345,0.010072,0.043636,8.0128,201,14.9442,84,6.2454,25,1.8587,9,0.6691
distance_to_prior_26w_high_pct,Q4_HIGH,1345,0.043668,0.6,9.5287,195,14.4981,81,6.0223,30,2.2305,7,0.5204
fast_score,Q1_LOW,1345,61.49,73.24,8.4183,198,14.7212,87,6.4684,18,1.3383,10,0.7435
fast_score,Q2,1345,73.29,76.85,9.1736,202,15.0186,88,6.5428,29,2.1561,12,0.8922
fast_score,Q3,1345,76.85,78.49,10.1813,214,15.9108,81,6.0223,31,2.3048,5,0.3717
fast_score,Q4_HIGH,1345,78.49,84.55,12.0572,216,16.0595,90,6.6914,32,2.3792,14,1.0409
fast_weekly_core_score,Q1_LOW,1345,66.75,79.25,10.6393,214,15.9108,96,7.1375,18,1.3383,10,0.7435
fast_weekly_core_score,Q2,1345,79.25,82.75,14.1092,256,19.0335,101,7.5093,25,1.8587,8,0.5948
fast_weekly_core_score,Q3,1345,82.75,82.75,8.4356,191,14.2007,82,6.0967,35,2.6022,15,1.1152
fast_weekly_core_score,Q4_HIGH,1345,82.75,82.75,6.6462,169,12.5651,67,4.9814,32,2.3792,8,0.5948
monthly_down_month_ratio_12m,Q1_LOW,1345,0.083333,0.416667,11.4656,207,15.3903,88,6.5428,33,2.4535,12,0.8922
monthly_down_month_ratio_12m,Q2,1345,0.416667,0.5,11.3544,225,16.7286,92,6.8401,31,2.3048,13,0.9665
monthly_down_month_ratio_12m,Q3,1345,0.5,0.583333,8.5397,194,14.4238,80,5.948,20,1.487,2,0.1487
monthly_down_month_ratio_12m,Q4_HIGH,1345,0.583333,0.833333,8.4707,204,15.1673,86,6.3941,26,1.9331,14,1.0409
pattern_a_score,Q1_LOW,1345,0.0,41.0733,8.0713,179,13.3086,74,5.5019,31,2.3048,13,0.9665
pattern_a_score,Q2,1345,41.0742,60.4026,11.4685,228,16.9517,98,7.2862,23,1.71,12,0.8922
pattern_a_score,Q3,1345,60.41,77.9097,9.524,207,15.3903,85,6.3197,28,2.0818,8,0.5948
pattern_a_score,Q4_HIGH,1345,77.9169,100.0,10.7666,216,16.0595,89,6.6171,28,2.0818,8,0.5948
post_breakout_min_low_vs_level_pct_26w,Q1_LOW,521,-0.508576,-0.093656,6.6513,74,14.2035,32,6.142,19,3.6468,7,1.3436
post_breakout_min_low_vs_level_pct_26w,Q2,521,-0.093623,-0.041935,12.4004,88,16.8906,34,6.5259,12,2.3033,5,0.9597
post_breakout_min_low_vs_level_pct_26w,Q3,520,-0.041825,-0.002574,12.0518,87,16.7308,39,7.5,8,1.5385,7,1.3462
post_breakout_min_low_vs_level_pct_26w,Q4_HIGH,521,-0.002492,0.378796,12.4001,76,14.5873,31,5.9501,9,1.7274,3,0.5758
range_position_24m,Q1_LOW,1345,0.250529,0.408946,6.6446,193,14.3494,83,6.171,15,1.1152,7,0.5204
range_position_24m,Q2,1345,0.409266,0.543478,11.2207,216,16.0595,96,7.1375,29,2.1561,11,0.8178
range_position_24m,Q3,1345,0.543689,0.686099,9.26,210,15.6134,84,6.2454,30,2.2305,11,0.8178
range_position_24m,Q4_HIGH,1345,0.686131,0.85,12.7051,211,15.6877,83,6.171,36,2.6766,12,0.8922
recent_5d_max_gap_abs_pct,Q1_LOW,1345,0.0,0.010304,11.0559,226,16.803,89,6.6171,12,0.8922,4,0.2974
recent_5d_max_gap_abs_pct,Q2,1345,0.010309,0.016287,11.7868,224,16.6543,85,6.3197,30,2.2305,12,0.8922
recent_5d_max_gap_abs_pct,Q3,1345,0.016293,0.025052,7.5968,179,13.3086,84,6.2454,45,3.3457,20,1.487
recent_5d_max_gap_abs_pct,Q4_HIGH,1345,0.025057,0.069982,9.3909,201,14.9442,88,6.5428,23,1.71,5,0.3717
wma12_vs_wma26_pct,Q1_LOW,1345,-0.100373,0.021742,13.7283,245,18.2156,98,7.2862,27,2.0074,12,0.8922
wma12_vs_wma26_pct,Q2,1345,0.02176,0.045225,9.1859,197,14.6468,89,6.6171,15,1.1152,7,0.5204
wma12_vs_wma26_pct,Q3,1345,0.045236,0.080711,7.7148,195,14.4981,86,6.3941,24,1.7844,6,0.4461
wma12_vs_wma26_pct,Q4_HIGH,1345,0.080736,0.556708,9.2013,193,14.3494,73,5.4275,44,3.2714,16,1.1896
wma52_slope_1w,Q1_LOW,1345,-0.012815,0.001086,10.6347,229,17.026,99,7.3606,18,1.3383,7,0.5204
wma52_slope_1w,Q2,1345,0.001087,0.003767,10.2302,223,16.5799,99,7.3606,17,1.2639,4,0.2974
wma52_slope_1w,Q3,1345,0.003767,0.007179,9.5718,194,14.4238,73,5.4275,24,1.7844,11,0.8178
wma52_slope_1w,Q4_HIGH,1345,0.007183,0.060096,9.3936,184,13.6803,75,5.5762,51,3.7918,19,1.4126
