comparison,group,reference,extreme_contrast,feature,feature_kind,level,n_group_rows,n_reference_rows,group_n,group_mean,group_median,group_q25,group_q75,reference_n,reference_mean,reference_median,reference_q25,reference_q75,median_difference,mean_difference,auc,effect,effect_unit,direction,grade,window_signs_P1_P21_P22_P31_P32,disjoint_signs_pre2021_from2021,qualifying_windows,windows_same_sign,disjoint_evaluable,disjoint_same_sign,group_share_pct,reference_share_pct,group_level_count,reference_level_count
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,fast_score,numeric,,830,110,830,76.189,76.94,73.335,78.49,110,76.8471,77.89,75.49,78.685,-0.95,-0.6581,0.449,-0.051,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-+---,--,5,4,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,pattern_a_score,numeric,,830,110,830,59.937,61.2597,44.0469,78.318,110,58.322,60.4733,38.0699,78.0219,0.7864,1.615,0.5206,0.0206,AUC-0.5,HIGHER_IN_GROUP,WEAK,+++++,-+,5,5,True,1,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,fast_weekly_core_score,numeric,,830,110,830,80.5554,82.75,79.25,82.75,110,81.3798,82.75,81.385,82.75,0.0,-0.8244,0.4405,-0.0595,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-+---,--,5,4,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,range_position_24m,numeric,,830,110,830,0.5493,0.5506,0.4158,0.6894,110,0.5942,0.5982,0.4743,0.7244,-0.0476,-0.0449,0.4209,-0.0791,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-+---,--,5,4,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,monthly_down_month_ratio_12m,numeric,,830,110,830,0.4817,0.5,0.4167,0.5833,110,0.4568,0.4167,0.4167,0.5,0.0833,0.0249,0.5593,0.0593,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+-+++,++,5,4,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,distance_to_prior_26w_high_pct,numeric,,830,110,830,0.0069,0.0081,-0.0419,0.0406,110,0.0115,0.0081,-0.0575,0.0469,0.0,-0.0046,0.4975,-0.0025,AUC-0.5,LOWER_IN_GROUP,WEAK,-++++,-+,5,1,True,1,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,close_vs_wma200_pct,numeric,,830,110,800,0.1785,0.1346,0.0297,0.2973,103,0.2453,0.2011,0.0505,0.3846,-0.0665,-0.0668,0.422,-0.078,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,higher_weekly_low_count_13w,numeric,,830,110,830,7.6,8.0,7.0,9.0,110,7.5636,8.0,7.0,9.0,0.0,0.0364,0.5074,0.0074,AUC-0.5,HIGHER_IN_GROUP,WEAK,++-++,+-,5,4,True,1,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,wma52_slope_1w,numeric,,830,110,830,0.004,0.0033,0.0009,0.0067,110,0.008,0.0068,0.0029,0.0107,-0.0035,-0.004,0.3305,-0.1695,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
WIN_50_vs_LOSS_30,WIN_50,LOSS_30,True,wma12_vs_wma26_pct,numeric,,830,110,830,0.0519,0.042,0.0173,0.0752,110,0.081,0.0636,0.0228,0.1176,-0.0216,-0.0291,0.4005,-0.0995,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
