group,field,level,count,share_pct
WIN_50,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,722,86.988
WIN_50,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,69,8.3133
WIN_50,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,33,3.9759
WIN_50,lifecycle_class,NEVER_PROGRESSED,6,0.7229
WIN_50,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,710,85.5422
WIN_50,exit_type,EXIT3_PROGRESSED_TO_TRANSITION,55,6.6265
WIN_50,exit_type,NO_EXIT_BEFORE_CUTOFF,40,4.8193
WIN_50,exit_type,EXIT3_PROGRESSED_TO_WEAK,10,1.2048
WIN_50,exit_type,EXIT3_PROGRESSED_TO_EARLY_TREND,9,1.0843
WIN_50,exit_type,NO_PROGRESSED_BEFORE_CUTOFF,6,0.7229
WIN_50,trade_status,REALIZED,784,94.4578
WIN_50,trade_status,OPEN_AT_CUTOFF,46,5.5422
WIN_100,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,307,88.7283
WIN_100,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,24,6.9364
WIN_100,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,15,4.3353
WIN_100,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,287,82.948
WIN_100,exit_type,EXIT3_PROGRESSED_TO_TRANSITION,29,8.3815
WIN_100,exit_type,NO_EXIT_BEFORE_CUTOFF,21,6.0694
WIN_100,exit_type,EXIT3_PROGRESSED_TO_WEAK,7,2.0231
WIN_100,exit_type,EXIT3_PROGRESSED_TO_EARLY_TREND,2,0.578
WIN_100,trade_status,REALIZED,325,93.9306
WIN_100,trade_status,OPEN_AT_CUTOFF,21,6.0694
LOSS_ANY,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,1910,51.5241
LOSS_ANY,lifecycle_class,NEVER_PROGRESSED,1010,27.2458
LOSS_ANY,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,584,15.754
LOSS_ANY,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,203,5.4761
LOSS_ANY,exit_type,LOSS_GUARD_CLOSE_LE_NEG_15,3309,89.2636
LOSS_ANY,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,166,4.478
LOSS_ANY,exit_type,NO_EXIT_BEFORE_CUTOFF,98,2.6436
LOSS_ANY,exit_type,EXIT3_PROGRESSED_TO_WEAK,50,1.3488
LOSS_ANY,exit_type,EXIT3_PROGRESSED_TO_TRANSITION,49,1.3218
LOSS_ANY,exit_type,NO_PROGRESSED_BEFORE_CUTOFF,27,0.7284
LOSS_ANY,exit_type,EXIT3_PROGRESSED_TO_BASE,7,0.1888
LOSS_ANY,exit_type,EXIT3_PROGRESSED_TO_EARLY_TREND,1,0.027
LOSS_ANY,trade_status,REALIZED,3582,96.628
LOSS_ANY,trade_status,OPEN_AT_CUTOFF,125,3.372
LOSS_30,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,39,35.4545
LOSS_30,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,38,34.5455
LOSS_30,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,23,20.9091
LOSS_30,lifecycle_class,NEVER_PROGRESSED,10,9.0909
LOSS_30,exit_type,NO_EXIT_BEFORE_CUTOFF,56,50.9091
LOSS_30,exit_type,EXIT3_PROGRESSED_TO_WEAK,25,22.7273
LOSS_30,exit_type,LOSS_GUARD_CLOSE_LE_NEG_15,19,17.2727
LOSS_30,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,7,6.3636
LOSS_30,exit_type,EXIT3_PROGRESSED_TO_TRANSITION,2,1.8182
LOSS_30,exit_type,EXIT3_PROGRESSED_TO_BASE,1,0.9091
LOSS_30,trade_status,OPEN_AT_CUTOFF,56,50.9091
LOSS_30,trade_status,REALIZED,54,49.0909
LOSS_50,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,17,41.4634
LOSS_50,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,15,36.5854
LOSS_50,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,8,19.5122
LOSS_50,lifecycle_class,NEVER_PROGRESSED,1,2.439
LOSS_50,exit_type,NO_EXIT_BEFORE_CUTOFF,32,78.0488
LOSS_50,exit_type,EXIT3_PROGRESSED_TO_WEAK,4,9.7561
LOSS_50,exit_type,EXIT4_SCORE_DRAWDOWN_GE_15,3,7.3171
LOSS_50,exit_type,LOSS_GUARD_CLOSE_LE_NEG_15,2,4.878
LOSS_50,trade_status,OPEN_AT_CUTOFF,32,78.0488
LOSS_50,trade_status,REALIZED,9,21.9512
LOSS_60,lifecycle_class,SKIPPED_EARLY_TREND_HANDOFF,13,46.4286
LOSS_60,lifecycle_class,PROGRESSED_WITHOUT_DIRECT_HANDOFF,12,42.8571
LOSS_60,lifecycle_class,NORMAL_EARLY_TREND_HANDOFF,3,10.7143
LOSS_60,exit_type,NO_EXIT_BEFORE_CUTOFF,25,89.2857
LOSS_60,exit_type,EXIT3_PROGRESSED_TO_WEAK,3,10.7143
LOSS_60,trade_status,OPEN_AT_CUTOFF,25,89.2857
LOSS_60,trade_status,REALIZED,3,10.7143
