window,path,status,certification_verdict,certification_file,strategy_id,row_count,trade_identity_columns,entry_signal_date_column,entry_execution_date_column,return_column,entry_feature_columns,sha256
P1,artifacts/backtests/p1_neg40_weak_protect_v01/run_20260925_standard_full_worker10_v01/control_trades.csv,SOURCE_RAW_OF_SELECTED_CERTIFICATION,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,5016,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,c139a92f6379d82ac2fd3238967d1d734e9bef52616fe208ac1437bc6774c61f
P1,artifacts/backtests/p1_neg40_weak_protect_v01/run_20260925_standard_full_worker10_v01/raw_only_exclusion_closure_v02/control_trades.csv,SELECTED,P1_CERTIFIED_PASS_WITH_AUTHORITATIVE_EXCLUSIONS,artifacts/backtests/p1_neg40_weak_protect_v01/run_20260925_standard_full_worker10_v01/raw_only_exclusion_closure_v02/p1_raw_only_certification_v02.json,PATTERN_A_FAST_FINAL_STRATEGY_V02,4983,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,0edcb9b87ccdc1e290c3431fb6e7e395bda910cf6dd69fa2d94426b7011eaeb0
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260923/candidate_replay_20260923_fix01/control_trades.csv,SUPERSEDED_OR_NOT_AUTHORITATIVE,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,1863,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,16d678d8c66115938b5aee8e25f4f16c67f0c2eb70a93526bbe29af2b5748c3c
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260923/candidate_replay_20260923_fix02/control_trades.csv,SUPERSEDED_OR_NOT_AUTHORITATIVE,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,1863,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,16d678d8c66115938b5aee8e25f4f16c67f0c2eb70a93526bbe29af2b5748c3c
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260923/control_trades.csv,SUPERSEDED_OR_NOT_AUTHORITATIVE,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,1863,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,16d678d8c66115938b5aee8e25f4f16c67f0c2eb70a93526bbe29af2b5748c3c
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260924_cutoff_contract_recert_v01/control_trades.csv,SUPERSEDED_OR_NOT_AUTHORITATIVE,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,1834,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,7c3b8ab63c7226890e67a2b69d412b191976a075bae5c81093aa8db38da04166
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/control_trades.csv,SOURCE_RAW_OF_SELECTED_CERTIFICATION,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,1834,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,e57ddacb2e1692e910fca7d3fce060f2aefcda3bef72df23603909999530aa1d
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/control_trades.csv,SELECTED,P2_1_CERTIFIED_PASS_WITH_AUTHORITATIVE_EXCLUSIONS,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/raw_only_lifecycle_closure_v01/p2_1_raw_only_certification_v01.json,PATTERN_A_FAST_FINAL_STRATEGY_V02,1801,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,47d49cfba42bb7d3f278f81227671f68ab7dc96a34b42a3976f591c2c5a8c790
P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_strategy_trades.csv,OUT_OF_SCOPE_REALISTIC_PORTFOLIO,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,355,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,1b88f763394e93ad0db5ce16f95bccff4c434eb7c01b9a4d57bd5229a9de4864
P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260923/control_trades.csv,SUPERSEDED_OR_NOT_AUTHORITATIVE,,,PATTERN_A_FAST_FINAL_STRATEGY_V02,2424,"ticker|isu_cd|entry_signal_date|entry_execution_date (pair_id, trade_id restart per window)",entry_signal_date,entry_execution_date,terminal_return,market|entry_open|entry_pattern_a_stage|fast_stage|monthly_regime|daily_risk|fast_score|fast_score_state|previous_exit_type,d76e8f72c676eacb3a830e368ecec51cd10afd4924174c76e06f9b223655172d
