version,lifecycle_group,tail,group_trades,group_trade_share_pct,tail_count_in_group,tail_total,tail_share_in_group_pct,concentration_ratio,tail_open_at_cutoff_count
ALL,NORMAL_EARLY_TREND_HANDOFF,ge_50,3276,60.8922,722,830,86.988,1.4286,21
ALL,NORMAL_EARLY_TREND_HANDOFF,ge_100,3276,60.8922,307,346,88.7283,1.4571,13
ALL,NORMAL_EARLY_TREND_HANDOFF,le_neg_30,3276,60.8922,39,110,35.4545,0.5823,0
ALL,NORMAL_EARLY_TREND_HANDOFF,le_neg_40,3276,60.8922,17,67,25.3731,0.4167,0
ALL,NORMAL_EARLY_TREND_HANDOFF,le_neg_50,3276,60.8922,8,41,19.5122,0.3204,0
ALL,NORMAL_EARLY_TREND_HANDOFF,le_neg_60,3276,60.8922,3,28,10.7143,0.176,0
ALL,SKIPPED_EARLY_TREND_HANDOFF,ge_50,284,5.2788,33,830,3.9759,0.7532,8
ALL,SKIPPED_EARLY_TREND_HANDOFF,ge_100,284,5.2788,15,346,4.3353,0.8213,4
ALL,SKIPPED_EARLY_TREND_HANDOFF,le_neg_30,284,5.2788,23,110,20.9091,3.9609,20
ALL,SKIPPED_EARLY_TREND_HANDOFF,le_neg_40,284,5.2788,18,67,26.8657,5.0893,18
ALL,SKIPPED_EARLY_TREND_HANDOFF,le_neg_50,284,5.2788,15,41,36.5854,6.9306,15
ALL,SKIPPED_EARLY_TREND_HANDOFF,le_neg_60,284,5.2788,13,28,46.4286,8.7953,13
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,ge_50,742,13.7918,69,830,8.3133,0.6028,11
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,ge_100,742,13.7918,24,346,6.9364,0.5029,4
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,le_neg_30,742,13.7918,38,110,34.5455,2.5048,36
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,le_neg_40,742,13.7918,29,67,43.2836,3.1384,29
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,le_neg_50,742,13.7918,17,41,41.4634,3.0064,17
ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,le_neg_60,742,13.7918,12,28,42.8571,3.1074,12
ALL,COVERAGE_PATH_COMBINED,ge_50,1026,19.0706,102,830,12.2892,0.6444,19
ALL,COVERAGE_PATH_COMBINED,ge_100,1026,19.0706,39,346,11.2717,0.591,8
ALL,COVERAGE_PATH_COMBINED,le_neg_30,1026,19.0706,61,110,55.4545,2.9079,56
ALL,COVERAGE_PATH_COMBINED,le_neg_40,1026,19.0706,47,67,70.1493,3.6784,47
ALL,COVERAGE_PATH_COMBINED,le_neg_50,1026,19.0706,32,41,78.0488,4.0926,32
ALL,COVERAGE_PATH_COMBINED,le_neg_60,1026,19.0706,25,28,89.2857,4.6818,25
ALL,NEVER_PROGRESSED,ge_50,1078,20.0372,6,830,0.7229,0.0361,6
ALL,NEVER_PROGRESSED,ge_100,1078,20.0372,0,346,0.0,0.0,0
ALL,NEVER_PROGRESSED,le_neg_30,1078,20.0372,10,110,9.0909,0.4537,0
ALL,NEVER_PROGRESSED,le_neg_40,1078,20.0372,3,67,4.4776,0.2235,0
ALL,NEVER_PROGRESSED,le_neg_50,1078,20.0372,1,41,2.439,0.1217,0
ALL,NEVER_PROGRESSED,le_neg_60,1078,20.0372,0,28,0.0,0.0,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,ge_50,3244,63.6328,701,784,89.4133,1.4051,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,ge_100,3244,63.6328,294,325,90.4615,1.4216,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,le_neg_30,3244,63.6328,39,54,72.2222,1.135,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,le_neg_40,3244,63.6328,17,20,85.0,1.3358,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,le_neg_50,3244,63.6328,8,9,88.8889,1.3969,0
CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,le_neg_60,3244,63.6328,3,3,100.0,1.5715,0
CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,ge_50,230,4.5116,25,784,3.1888,0.7068,0
CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,ge_100,230,4.5116,11,325,3.3846,0.7502,0
CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,le_neg_30,230,4.5116,3,54,5.5556,1.2314,0
CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,le_neg_40,230,4.5116,0,20,0.0,0.0,0
CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,le_neg_50,230,4.5116,0,9,0.0,0.0,0
